'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORUYA AIRPORT New South Wales for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORUYA AIRPORT,01/01/2011,10.3,0.0, ,41.8,17.7,100,18,4.17,32.35
MORUYA AIRPORT,02/01/2011,1.9,1.0, ,20.0,17.7,99,79,3.36,8.16
MORUYA AIRPORT,03/01/2011,1.7,1.6, ,16.9,15.1,99,87,3.12,9.81
MORUYA AIRPORT,04/01/2011,3.3,6.0, ,21.6,14.3,99,61,2.48,16.91
MORUYA AIRPORT,05/01/2011,4.4,0.0, ,22.8,10.7,99,60,2.30,26.78
MORUYA AIRPORT,06/01/2011,4.4,0.4, ,23.8,15.9,99,70,3.24,26.01
MORUYA AIRPORT,07/01/2011,5.3,0.2, ,25.6,12.1,99,58,2.83,30.87
MORUYA AIRPORT,08/01/2011,5.4,0.0, ,26.3,17.2,100,69,3.41,31.47
MORUYA AIRPORT,09/01/2011,2.2,0.2, ,22.6,16.1,100,93,2.42,12.63
MORUYA AIRPORT,10/01/2011,3.1,11.0, ,23.6,20.3,100,80,4.25,17.12
MORUYA AIRPORT,11/01/2011,3.6,2.4, ,26.2,20.1,100,73,2.79,17.87
MORUYA AIRPORT,12/01/2011,3.4,1.0, ,25.1,21.1,99,87,5.39,19.86
MORUYA AIRPORT,13/01/2011,2.5,0.2, ,24.0,21.5,99,83,5.58,12.42
MORUYA AIRPORT,14/01/2011,4.4,0.4, ,25.8,19.2,100,71,4.69,23.64
MORUYA AIRPORT,15/01/2011,5.5,2.0, ,25.2,18.2,100,70,2.45,32.06
MORUYA AIRPORT,16/01/2011,5.4,0.0, ,25.6,15.4,100,74,2.85,33.38
MORUYA AIRPORT,17/01/2011,2.3,0.0, ,20.6,18.4,100,74,3.74,10.57
MORUYA AIRPORT,18/01/2011,3.6,0.0, ,21.7,16.7,99,56,2.44,18.54
MORUYA AIRPORT,19/01/2011,2.4,0.0, ,21.2,15.9,99,72,2.75,11.07
MORUYA AIRPORT,20/01/2011,4.3,0.2, ,24.6,17.1,99,72,3.91,24.72
MORUYA AIRPORT,21/01/2011,5.1,0.0, ,26.7,16.8,99,69,4.59,28.65
MORUYA AIRPORT,22/01/2011,4.2,3.6, ,25.1,17.2,100,73,2.61,23.93
MORUYA AIRPORT,23/01/2011,5.0,0.6, ,27.3,18.9,100,66,1.86,26.95
MORUYA AIRPORT,24/01/2011,3.1,0.4, ,27.5,17.9,100,54,3.18,9.50
MORUYA AIRPORT,25/01/2011,4.9,1.2, ,24.4,17.1,99,69,1.94,28.94
MORUYA AIRPORT,26/01/2011,3.4,0.0, ,26.3,18.5,99,78,3.88,17.43
MORUYA AIRPORT,27/01/2011,4.6,0.0, ,26.2,20.2,89,76,4.49,24.03
MORUYA AIRPORT,28/01/2011,3.6,0.0, ,23.0,18.1,87,57,3.21,15.22
MORUYA AIRPORT,29/01/2011,5.2,0.0, ,25.0,12.7,99,61,4.38,31.41
MORUYA AIRPORT,30/01/2011,5.5,0.0, ,27.7,13.0,99,65,2.51,31.68
MORUYA AIRPORT,31/01/2011,6.5,0.0, ,31.7,17.5,99,51,3.18,31.26
Totals:,,130.5,32.4, ,,,,,, 
