'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOSS VALE New South Wales for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOSS VALE,01/04/2010,3.8,0.6, ,20.6,8.1,92,47,4.30,22.42
MOSS VALE,02/04/2010,3.2,0.0, ,18.6,11.6,91,54,3.38,21.09
MOSS VALE,03/04/2010,2.8,0.0, ,19.1,8.9,94,60,3.10,18.93
MOSS VALE,04/04/2010,2.6,1.6, ,17.2,9.6,93,65,3.22,18.59
MOSS VALE,05/04/2010,2.5,0.8, ,18.0,9.5,93,65,1.98,18.10
MOSS VALE,06/04/2010,2.5,0.2, ,19.6,10.0,93,66,4.63,13.91
MOSS VALE,07/04/2010,2.2,2.0, ,20.1,14.0,92,76,3.52,12.15
MOSS VALE,08/04/2010,4.0,3.0, ,21.2,15.1,92,46,6.44,19.80
MOSS VALE,09/04/2010,2.8,0.0, ,19.7,7.2,93,53,2.23,20.30
MOSS VALE,10/04/2010,3.8,0.0, ,23.4,8.4,93,41,3.86,20.12
MOSS VALE,11/04/2010,4.4,0.0, ,20.8,14.3,81,46,8.02,18.37
MOSS VALE,12/04/2010,4.2,0.0, ,16.8,6.4,76,35,7.55,20.67
MOSS VALE,13/04/2010,3.2,0.0, ,19.3,2.0,91,34,2.49,20.68
MOSS VALE,14/04/2010,2.8,0.0, ,23.3,0.5,94,27,1.14,20.29
MOSS VALE,15/04/2010,2.8,0.0, ,20.8,3.6,94,44,1.75,19.79
MOSS VALE,16/04/2010,2.4,0.4, ,20.5,7.9,94,56,1.87,16.91
MOSS VALE,17/04/2010,2.8,0.0, ,22.0,8.8,94,50,2.40,18.18
MOSS VALE,18/04/2010,2.8,0.2, ,22.0,7.6,94,54,2.82,18.21
MOSS VALE,19/04/2010,3.2,0.2, ,22.8,12.4,94,53,3.68,18.08
MOSS VALE,20/04/2010,3.5,0.2, ,22.3,11.8,94,46,4.35,18.90
MOSS VALE,21/04/2010,3.5,0.4, ,24.2,10.9,93,31,2.57,18.95
MOSS VALE,22/04/2010,2.7,0.2, ,25.1,7.3,94,33,1.25,17.92
MOSS VALE,23/04/2010,3.3,0.2, ,25.5,5.8,94,33,2.48,17.63
MOSS VALE,24/04/2010,3.1,0.0, ,22.4,13.3,86,50,5.16,10.37
MOSS VALE,25/04/2010,3.0,1.0, ,18.1,12.0,90,42,5.22,13.84
MOSS VALE,26/04/2010,2.8,4.2, ,17.0,3.2,93,33,2.91,18.48
MOSS VALE,27/04/2010,2.0,0.0, ,13.1,6.0,89,54,4.66,10.05
MOSS VALE,28/04/2010,3.7,0.0, ,18.7,7.0,82,41,6.91,17.84
MOSS VALE,29/04/2010,3.6,0.0, ,17.4,8.8,78,48,7.87,17.70
MOSS VALE,30/04/2010,1.6,0.0, ,14.9,6.9,92,67,2.56,12.30
Totals:,,91.6,15.2, ,,,,,, 
