'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BOYCE New South Wales for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BOYCE,01/06/2010,1.0,9.6, ,11.2,5.1,99,74,1.81,12.44
MOUNT BOYCE,02/06/2010,1.0,0.0, ,12.6,4.8,98,67,1.12,12.52
MOUNT BOYCE,03/06/2010,0.6,7.0, ,9.4,6.0,99,97,3.18,9.27
MOUNT BOYCE,04/06/2010,0.7,38.2, ,9.0,8.0,99,93,3.75,8.32
MOUNT BOYCE,05/06/2010,1.4,4.4, ,11.9,5.4,98,57,3.64,13.36
MOUNT BOYCE,06/06/2010,1.1,0.0, ,8.8,0.2,98,70,4.17,12.45
MOUNT BOYCE,07/06/2010,1.2,0.2, ,11.3,0.6,98,60,2.29,13.31
MOUNT BOYCE,08/06/2010,1.1,0.2, ,11.0,1.8,98,57,1.76,13.34
MOUNT BOYCE,09/06/2010,1.2,0.0, ,5.5,3.3,96,63,8.60,11.47
MOUNT BOYCE,10/06/2010,1.5,0.0, ,7.0,1.0,92,60,8.59,13.45
MOUNT BOYCE,11/06/2010,1.2,0.0, ,7.2,-0.1,94,66,6.59,13.45
MOUNT BOYCE,12/06/2010,1.3,0.0, ,9.1,1.1,94,54,3.52,13.39
MOUNT BOYCE,13/06/2010,1.1,0.2, ,10.8,0.9,96,58,1.78,13.43
MOUNT BOYCE,14/06/2010,1.1,0.0, ,11.6,2.0,98,60,1.62,13.40
MOUNT BOYCE,15/06/2010,1.2,0.0, ,13.3,3.7,98,46,1.72,12.90
MOUNT BOYCE,16/06/2010,1.3,0.2, ,13.5,4.7,91,45,2.05,11.95
MOUNT BOYCE,17/06/2010,1.6,0.0, ,9.0,7.7,97,56,8.63,7.04
MOUNT BOYCE,18/06/2010,1.6,0.8, ,8.4,2.7,87,60,7.89,13.01
MOUNT BOYCE,19/06/2010,1.2,0.0, ,8.5,1.7,93,69,7.69,11.37
MOUNT BOYCE,20/06/2010,1.4,0.0, ,11.4,3.7,91,64,4.50,12.59
MOUNT BOYCE,21/06/2010,0.7,0.0, ,9.4,4.1,98,82,1.29,9.18
MOUNT BOYCE,22/06/2010,0.6,2.8, ,8.3,6.1,99,96,2.15,8.49
MOUNT BOYCE,23/06/2010,0.5,9.8, ,7.6,4.7,99,98,2.30,8.34
MOUNT BOYCE,24/06/2010,1.0,4.8, ,11.7,5.8,99,72,2.34,11.46
MOUNT BOYCE,25/06/2010,1.0,0.0, ,11.3,6.1,97,78,3.95,9.81
MOUNT BOYCE,26/06/2010,1.4,4.4, ,9.0,6.5,98,56,6.35,10.78
MOUNT BOYCE,27/06/2010,1.1,0.2, ,7.9,-1.4,92,48,2.03,13.27
MOUNT BOYCE,28/06/2010,1.3,0.0, ,7.4,-1.4,91,49,2.95,13.38
MOUNT BOYCE,29/06/2010,1.4,0.0, ,6.3,-3.0,91,55,5.74,13.55
MOUNT BOYCE,30/06/2010,1.3,0.4, ,7.3,-2.4,91,61,6.26,12.48
Totals:,,34.1,83.2, ,,,,,, 
