'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BOYCE New South Wales for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BOYCE,01/10/2011,1.5,0.0, ,9.6,3.5,98,60,2.62,8.36
MOUNT BOYCE,02/10/2011,1.0,3.0, ,7.1,3.8,98,92,4.06,8.61
MOUNT BOYCE,03/10/2011,1.9,8.2, ,10.5,2.6,98,63,2.62,14.31
MOUNT BOYCE,04/10/2011,2.6,0.2, ,13.2,2.9,97,59,2.50,19.86
MOUNT BOYCE,05/10/2011,2.6,0.0, ,14.2,2.5,98,56,1.65,19.32
MOUNT BOYCE,06/10/2011,1.0,2.0, ,9.9,6.1,99,89,1.34,4.94
MOUNT BOYCE,07/10/2011,2.1,3.0, ,15.5,7.8,99,70,2.45,12.84
MOUNT BOYCE,08/10/2011,2.0,3.2, ,14.8,9.0,99,75,1.49,12.89
MOUNT BOYCE,09/10/2011,2.7,2.8, ,12.8,7.4,99,55,7.48,17.60
MOUNT BOYCE,10/10/2011,3.6,0.2, ,13.8,5.0,94,44,6.74,24.66
MOUNT BOYCE,11/10/2011,3.7,0.0, ,14.6,2.9,81,40,6.68,20.36
MOUNT BOYCE,12/10/2011,3.9,0.0, ,17.7,2.5,98,39,2.77,26.57
MOUNT BOYCE,13/10/2011,2.5,1.4, ,14.8,6.9,99,66,2.62,16.50
MOUNT BOYCE,14/10/2011,1.4,0.2, ,12.3,7.3,99,90,2.57,10.15
MOUNT BOYCE,15/10/2011,3.6,1.0, ,21.2,9.3,99,53,3.21,19.62
MOUNT BOYCE,16/10/2011,4.9,0.0, ,17.0,8.7,86,36,7.27,28.18
MOUNT BOYCE,17/10/2011,3.8,0.0, ,16.2,3.9,85,51,2.98,27.71
MOUNT BOYCE,18/10/2011,4.0,0.0, ,18.3,4.5,95,42,2.25,27.36
MOUNT BOYCE,19/10/2011,4.5,0.0, ,20.4,7.0,94,29,1.96,28.38
MOUNT BOYCE,20/10/2011,5.0,0.0, ,21.5,9.1,63,22,2.52,26.83
MOUNT BOYCE,21/10/2011,5.3,0.0, ,24.2,11.8,65,29,2.68,26.27
MOUNT BOYCE,22/10/2011,4.9,0.0, ,23.8,12.8,68,31,2.58,23.29
MOUNT BOYCE,23/10/2011,5.3,0.0, ,25.1,13.6,68,26,2.53,24.93
MOUNT BOYCE,24/10/2011,6.4,0.0, ,24.2,14.1,68,31,5.15,28.17
MOUNT BOYCE,25/10/2011,2.4,0.0, ,18.8,14.7,98,58,4.78,7.88
MOUNT BOYCE,26/10/2011,1.0,10.6, ,8.2,5.8,99,97,3.11,7.34
MOUNT BOYCE,27/10/2011,1.4,10.4, ,10.6,6.1,99,94,2.91,10.55
MOUNT BOYCE,28/10/2011,3.5,1.6, ,20.6,7.8,99,66,2.53,21.77
MOUNT BOYCE,29/10/2011,3.7,0.2, ,23.4,9.7,99,57,5.31,16.17
MOUNT BOYCE,30/10/2011,4.4,0.4, ,17.8,12.2,97,39,5.47,23.37
MOUNT BOYCE,31/10/2011,4.4,0.4, ,18.7,5.8,96,48,2.71,29.74
Totals:,,101,48.8, ,,,,,, 
