'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BOYCE New South Wales for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BOYCE,01/10/2013, ,0.0, , ,15.2,87,22,10.23,22.17
MOUNT BOYCE,02/10/2013, , , ,16.4, ,73,36,7.17,29.18
MOUNT BOYCE,03/10/2013,2.8,0.0, ,9.8,3.8,89,45,7.36,18.72
MOUNT BOYCE,04/10/2013,4.5,0.8, ,17.8,1.8,92,29,2.72,29.84
MOUNT BOYCE,05/10/2013,5.8,0.2, ,19.2,6.1,72,20,5.86,28.76
MOUNT BOYCE,06/10/2013,7.8,0.0, ,24.2,11.6,50,19,6.99,30.00
MOUNT BOYCE,07/10/2013,5.0,0.0, ,19.0,6.3,89,33,4.48,29.64
MOUNT BOYCE,08/10/2013,3.9,0.0, ,16.6,5.1,97,37,3.15,27.11
MOUNT BOYCE,09/10/2013,6.2,0.0, ,22.2,5.8,93,22,5.70,31.14
MOUNT BOYCE,10/10/2013,9.1,0.0, ,26.5,11.3,48,13,8.03,30.58
MOUNT BOYCE,11/10/2013,6.7,0.0, ,20.3,10.4,62,16,5.67,31.49
MOUNT BOYCE,12/10/2013,6.7,0.0, ,24.7,8.5,47,12,3.24,31.93
MOUNT BOYCE,13/10/2013,7.3,0.0, ,24.3,16.4,95,12,8.11,28.05
MOUNT BOYCE,14/10/2013,3.9,0.4, ,12.2,2.9,86,47,7.75,31.54
MOUNT BOYCE,15/10/2013,5.3,0.2, ,17.2,1.1,86,23,4.91,32.48
MOUNT BOYCE,16/10/2013,7.3,0.0, ,21.6,6.0,51,15,6.29,32.68
MOUNT BOYCE,17/10/2013,8.6,0.0, ,22.5,11.4,55,13,10.44,30.72
MOUNT BOYCE,18/10/2013,4.0,0.0, ,15.7,2.0,95,40,3.23,29.41
MOUNT BOYCE,19/10/2013,5.0,0.0, ,20.1,4.7,97,29,2.96,30.59
MOUNT BOYCE,20/10/2013,6.1,0.2, ,24.7,7.9,97,28,3.56,32.35
MOUNT BOYCE,21/10/2013,7.5,0.0, ,29.3,15.0,51,20,3.79,30.92
MOUNT BOYCE,22/10/2013,3.3,0.0, ,21.0,15.9,97,39,4.10,10.87
MOUNT BOYCE,23/10/2013,5.7,4.8, ,20.5,14.2,93,41,9.70,29.88
MOUNT BOYCE,24/10/2013,4.6,0.0, ,12.5,6.9,88,30,8.64,31.24
MOUNT BOYCE,25/10/2013,5.4,0.0, ,17.0,1.0,68,26,5.17,32.51
MOUNT BOYCE,26/10/2013,5.9,0.0, ,19.4,5.5,94,16,5.36,31.66
MOUNT BOYCE,27/10/2013,5.3,0.0, ,20.7,4.6,96,19,2.85,31.21
MOUNT BOYCE,28/10/2013,4.6,0.0, ,21.7,8.6,94,32,3.29,23.36
MOUNT BOYCE,29/10/2013,5.0,0.0, ,23.4,11.0,96,21,3.92,19.84
MOUNT BOYCE,30/10/2013,5.1,6.2, ,19.2,4.1,96,32,2.69,32.82
MOUNT BOYCE,31/10/2013,5.5,0.0, ,22.9,6.3,98,26,2.56,31.53
Totals:,,163.9,12.8, ,,,,,, 
