'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT GININI New South Wales for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT GININI,01/03/2009,4.0,0.0, ,20.0,7.0,99,45,3.23,23.23
MOUNT GININI,02/03/2009,3.8,0.0, ,19.0,8.0,100,53,4.19,22.77
MOUNT GININI,03/03/2009,2.1,0.2, ,16.1,9.0,100,76,5.24,12.79
MOUNT GININI,04/03/2009,3.4,0.8, ,11.5,3.6,100,43,8.88,25.86
MOUNT GININI,05/03/2009,3.2,0.0, ,11.1,0.8,99,48,6.12,26.42
MOUNT GININI,06/03/2009,3.8,0.0, ,16.0,1.8,99,44,4.31,27.16
MOUNT GININI,07/03/2009,4.8,0.0, ,18.6,5.0,66,29,4.17,27.16
MOUNT GININI,08/03/2009,3.5,0.0, ,18.0,5.7,99,56,3.53,23.67
MOUNT GININI,09/03/2009,3.0,0.2, ,17.7,7.0,100,74,4.10,21.97
MOUNT GININI,10/03/2009,3.5,0.4, ,19.0,8.0,100,57,5.16,21.59
MOUNT GININI,11/03/2009,3.3,0.0, ,15.4,6.0,100,58,6.72,24.72
MOUNT GININI,12/03/2009,3.5,0.6, ,20.0,7.8,100,57,3.62,21.09
MOUNT GININI,13/03/2009,2.3,0.2, ,17.0,9.0,100,78,3.32,15.09
MOUNT GININI,14/03/2009,1.4,4.0, ,13.0,9.0,100,99,5.59,13.30
MOUNT GININI,15/03/2009,2.9,9.0, ,10.0,2.0,100,48,7.45,25.21
MOUNT GININI,16/03/2009,2.8,0.0, ,12.0,0.8,99,58,6.77,24.15
MOUNT GININI,17/03/2009,3.5,0.0, ,17.0,1.0,99,49,4.59,24.76
MOUNT GININI,18/03/2009,4.1,0.0, ,19.0,4.0,94,36,4.50,24.00
MOUNT GININI,19/03/2009,4.5,0.0, ,19.2,9.0,63,34,4.54,21.65
MOUNT GININI,20/03/2009, ,0.0, ,20.0,10.8,67,25,3.76, 
MOUNT GININI,21/03/2009, ,0.0, ,21.0,10.0,99,31,3.34, 
MOUNT GININI,22/03/2009, ,0.0, ,20.3,10.0,77,45,4.61, 
MOUNT GININI,23/03/2009,4.4,0.0, ,20.5,10.4,81,43,5.58,22.49
MOUNT GININI,24/03/2009,4.8,0.0, ,21.0,11.0,75,34,5.60,22.30
MOUNT GININI,25/03/2009,3.8,0.0, ,18.9,13.0,86,46,6.60,15.99
MOUNT GININI,26/03/2009,3.0,0.0, ,18.0,10.8,90,62,6.04,15.60
MOUNT GININI,27/03/2009, ,0.2, ,18.1,7.0,99,49,2.86, 
MOUNT GININI,28/03/2009, ,0.2, ,18.0,7.9,82,44,3.74, 
MOUNT GININI,29/03/2009, ,0.0, ,20.9,10.0,76,30,3.52, 
MOUNT GININI,30/03/2009,3.2,0.0, ,16.0,6.0,99,52,6.25,21.36
MOUNT GININI,31/03/2009,2.1,0.2, ,13.0,6.0,100,71,8.61,17.29
Totals:,,84.7,16, ,,,,,, 
