'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/07/2010,1.1,0.2, ,12.3,-2.8,97,49,1.37,12.36
MUDGEE AIRPORT,02/07/2010,0.7,0.0, ,8.3,1.6,98,78,1.30,5.46
MUDGEE AIRPORT,03/07/2010,1.5,3.8, ,11.3,4.2,98,52,3.82,13.02
MUDGEE AIRPORT,04/07/2010,1.1,0.0, ,14.1,-4.1,97,54,1.38,12.93
MUDGEE AIRPORT,05/07/2010,1.2,0.2, ,15.0,-1.3,98,59,2.17,8.68
MUDGEE AIRPORT,06/07/2010,1.5,0.4, ,13.8,5.7,98,46,2.61,11.54
MUDGEE AIRPORT,07/07/2010,1.2,0.0, ,14.3,0.8,98,59,2.00,11.60
MUDGEE AIRPORT,08/07/2010,1.6,0.0, ,14.0,3.6,90,57,3.24,12.97
MUDGEE AIRPORT,09/07/2010,1.4,0.0, ,14.1,5.2,97,64,3.92,9.78
MUDGEE AIRPORT,10/07/2010,1.5,0.0, ,16.6,5.0,98,54,2.45,11.70
MUDGEE AIRPORT,11/07/2010,0.7,0.4, ,13.0,7.6,99,87,1.47,5.01
MUDGEE AIRPORT,12/07/2010,0.9,1.4, ,16.2,9.9,99,81,1.78,6.68
MUDGEE AIRPORT,13/07/2010,0.7,1.6, ,14.7,11.3,98,94,1.65,4.69
MUDGEE AIRPORT,14/07/2010,1.8,24.0, ,12.8,8.2,98,58,7.33,11.33
MUDGEE AIRPORT,15/07/2010,1.7,2.0, ,11.4,6.2,94,58,6.43,12.52
MUDGEE AIRPORT,16/07/2010,1.2,0.0, ,13.9,-2.3,97,42,1.09,13.86
MUDGEE AIRPORT,17/07/2010,1.3,0.0, ,14.9,-3.0,97,41,1.12,14.03
MUDGEE AIRPORT,18/07/2010,1.4,0.0, ,15.2,-3.3,98,45,1.56,13.99
MUDGEE AIRPORT,19/07/2010,1.8,0.0, ,15.0,-1.5,98,46,3.09,12.30
MUDGEE AIRPORT,20/07/2010,1.1,3.8, ,13.2,-0.4,98,52,1.07,12.55
MUDGEE AIRPORT,21/07/2010,1.4,0.0, ,13.3,-1.7,98,45,1.80,13.09
MUDGEE AIRPORT,22/07/2010,1.2,0.0, ,13.8,-4.3,97,40,1.00,14.36
MUDGEE AIRPORT,23/07/2010,1.5,0.0, ,15.2,-2.8,98,48,1.62,14.36
MUDGEE AIRPORT,24/07/2010,1.1,0.0, ,14.2,-1.0,98,57,0.92,11.85
MUDGEE AIRPORT,25/07/2010,1.3,0.0, ,14.5,-0.3,98,54,1.40,10.60
MUDGEE AIRPORT,26/07/2010,1.7,1.6, ,15.3,5.0,97,53,2.63,13.01
MUDGEE AIRPORT,27/07/2010,1.9,0.0, ,16.1,1.5,98,52,3.08,13.48
MUDGEE AIRPORT,28/07/2010,0.8,0.0, ,11.9,8.6,99,87,2.56,5.24
MUDGEE AIRPORT,29/07/2010,0.7,15.6, ,14.0,10.2,99,98,2.12,4.55
MUDGEE AIRPORT,30/07/2010, ,18.6, ,15.3,9.1,99,97,2.28, 
MUDGEE AIRPORT,31/07/2010, ,25.4, ,15.5,11.4,99,59,4.18, 
Totals:,,37,99, ,,,,,, 
