'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/11/2012,7.9,0.0, ,32.6,8.3,91,20,5.25,24.35
MUDGEE AIRPORT,02/11/2012,6.2,0.0, ,25.5,6.9,73,19,3.34,29.76
MUDGEE AIRPORT,03/11/2012,4.9,0.0, ,21.6,10.7,71,40,3.94,22.92
MUDGEE AIRPORT,04/11/2012,5.9,0.0, ,28.2,11.8,82,30,2.58,28.28
MUDGEE AIRPORT,05/11/2012,6.1,0.0, ,31.5,9.4,98,26,2.01,29.34
MUDGEE AIRPORT,06/11/2012,6.3,0.0, ,30.6,13.5,81,30,3.47,24.08
MUDGEE AIRPORT,07/11/2012,4.9,0.0, ,28.5,17.1,98,32,3.60,16.94
MUDGEE AIRPORT,08/11/2012,4.4,6.8, ,25.8,13.6,99,50,2.36,22.22
MUDGEE AIRPORT,09/11/2012,5.6,11.2, ,25.9,14.3,99,29,3.48,25.22
MUDGEE AIRPORT,10/11/2012,5.1,0.0, ,21.9,10.3,73,41,4.10,24.96
MUDGEE AIRPORT,11/11/2012,6.4,0.0, ,23.2,11.5,73,26,4.56,31.16
MUDGEE AIRPORT,12/11/2012,6.4,0.0, ,27.6,9.0,88,27,3.08,31.33
MUDGEE AIRPORT,13/11/2012,7.5,0.0, ,31.3,7.7,95,25,4.12,31.02
MUDGEE AIRPORT,14/11/2012,7.1,0.2, ,28.7,14.6,88,12,3.45,29.82
MUDGEE AIRPORT,15/11/2012,6.7,0.0, ,29.1,14.0,94,15,2.81,30.10
MUDGEE AIRPORT,16/11/2012,3.1,0.0, ,18.5,15.7,99,47,2.22,15.66
MUDGEE AIRPORT,17/11/2012,5.1,15.4, ,23.2,11.1,99,43,3.50,27.86
MUDGEE AIRPORT,18/11/2012,6.9,0.0, ,26.5,9.7,98,17,4.22,31.12
MUDGEE AIRPORT,19/11/2012,6.2,0.0, ,24.4,4.1,87,28,4.08,31.89
MUDGEE AIRPORT,20/11/2012,6.6,0.0, ,24.7,13.8,75,36,5.07,31.27
MUDGEE AIRPORT,21/11/2012,6.4,0.0, ,29.2,7.5,92,25,2.66,30.89
MUDGEE AIRPORT,22/11/2012,6.6,0.0, ,27.9,10.4,86,35,3.63,32.01
MUDGEE AIRPORT,23/11/2012,7.1,0.0, ,28.1,13.7,75,38,4.54,32.24
MUDGEE AIRPORT,24/11/2012,6.9,0.0, ,31.4,14.1,79,33,2.90,31.04
MUDGEE AIRPORT,25/11/2012,7.3,0.0, ,34.3,13.7,97,22,2.45,31.44
MUDGEE AIRPORT,26/11/2012,7.0,0.0, ,35.2,14.7,87,24,2.51,28.04
MUDGEE AIRPORT,27/11/2012,5.2,2.4, ,29.1,17.4,98,45,2.95,22.52
MUDGEE AIRPORT,28/11/2012,6.0,0.0, ,29.9,14.6,98,45,2.79,29.05
MUDGEE AIRPORT,29/11/2012,7.2,0.6, ,34.8,15.4,98,34,2.41,31.95
MUDGEE AIRPORT,30/11/2012,8.1,0.0, ,38.3,16.9,96,22,2.87,30.23
Totals:,,187.1,36.6, ,,,,,, 
