'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/11/2015,4.3,10.0, ,27.2,11.5,100,55,2.99,20.39
MUDGEE AIRPORT,02/11/2015,3.8,5.0, ,26.7,15.5,99,58,2.64,17.39
MUDGEE AIRPORT,03/11/2015,3.4,0.2, ,25.5,16.1,100,64,4.04,14.89
MUDGEE AIRPORT,04/11/2015,1.5,33.0, ,20.6,16.0,99,82,3.08,5.64
MUDGEE AIRPORT,05/11/2015,3.4,12.0, ,25.4,15.0,99,68,3.43,16.57
MUDGEE AIRPORT,06/11/2015,4.6,10.6, ,26.0,16.9,100,49,3.61,20.82
MUDGEE AIRPORT,07/11/2015,6.1,0.0, ,27.7,13.1,99,30,3.21,29.36
MUDGEE AIRPORT,08/11/2015,4.8,0.0, ,22.7,14.4,84,53,4.90,23.78
MUDGEE AIRPORT,09/11/2015,6.0,0.0, ,25.8,13.8,80,33,3.08,29.79
MUDGEE AIRPORT,10/11/2015,6.1,0.0, ,30.6,9.6,98,28,2.14,29.80
MUDGEE AIRPORT,11/11/2015,6.4,0.0, ,27.5,15.8,73,38,4.33,26.68
MUDGEE AIRPORT,12/11/2015,3.4,0.0, ,24.3,16.0,99,55,3.17,14.60
MUDGEE AIRPORT,13/11/2015,4.6,23.8, ,28.0,13.9,100,49,2.59,21.57
MUDGEE AIRPORT,14/11/2015,3.4,0.4, ,22.2,14.8,98,62,3.68,16.93
MUDGEE AIRPORT,15/11/2015,3.7,1.4, ,19.6,12.0,92,60,5.12,19.84
MUDGEE AIRPORT,16/11/2015,5.6,0.2, ,23.8,11.4,82,32,3.00,29.32
MUDGEE AIRPORT,17/11/2015,5.4,0.2, ,26.8,8.6,98,30,1.97,29.09
MUDGEE AIRPORT,18/11/2015,7.4,0.2, ,32.8,9.8,98,18,3.09,30.66
MUDGEE AIRPORT,19/11/2015,7.3,0.0, ,35.9,11.7,89,18,2.24,30.46
MUDGEE AIRPORT,20/11/2015,9.0,0.0, ,37.0,13.3,94,16,4.04,31.03
MUDGEE AIRPORT,21/11/2015,8.0,0.0, ,29.8,17.1,74,15,4.14,31.70
MUDGEE AIRPORT,22/11/2015,5.7,0.0, ,26.8,16.4,87,39,3.40,25.60
MUDGEE AIRPORT,23/11/2015,6.7,0.0, ,27.8,10.3,98,17,2.93,32.28
MUDGEE AIRPORT,24/11/2015,6.5,0.0, ,29.1,9.2,85,23,2.31,32.05
MUDGEE AIRPORT,25/11/2015,7.9,0.0, ,32.9,8.5,96,13,3.15,32.88
MUDGEE AIRPORT,26/11/2015,9.0,0.0, ,33.4,13.5,73,18,5.32,28.79
MUDGEE AIRPORT,27/11/2015,6.8,0.0, ,27.9,11.3,61,23,2.94,31.97
MUDGEE AIRPORT,28/11/2015,6.2,0.0, ,28.3,12.9,79,34,3.47,26.54
MUDGEE AIRPORT,29/11/2015,7.1,0.0, ,29.7,17.7,82,21,3.15,30.73
MUDGEE AIRPORT,30/11/2015,7.6,0.0, ,32.1,9.2,81,14,3.01,32.33
Totals:,,171.7,97, ,,,,,, 
