'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MURRURUNDI GAP New South Wales for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MURRURUNDI GAP,01/04/2009,2.5,5.0, ,20.9,14.8,95,80,10.58,15.12
MURRURUNDI GAP,02/04/2009,3.1,7.0, ,22.8,15.7,95,72,8.24,16.26
MURRURUNDI GAP,03/04/2009,3.4,0.6, ,23.4,15.0,95,67,5.48,19.02
MURRURUNDI GAP,04/04/2009,3.4,6.8, ,23.4,15.6,95,62,4.99,16.83
MURRURUNDI GAP,05/04/2009,3.5,0.2, ,22.7,13.3,95,63,5.85,20.01
MURRURUNDI GAP,06/04/2009,3.1,0.0, ,19.6,12.4,95,69,7.02,21.50
MURRURUNDI GAP,07/04/2009,3.0,0.0, ,19.5,11.6,95,70,7.82,20.77
MURRURUNDI GAP,08/04/2009,3.6,0.0, ,19.2,10.5,95,51,6.20,21.48
MURRURUNDI GAP,09/04/2009,3.5,0.4, ,20.9,8.9,95,53,4.79,20.43
MURRURUNDI GAP,10/04/2009,3.4,0.0, ,22.5,10.4,91,52,3.80,18.29
MURRURUNDI GAP,11/04/2009,2.9,0.0, ,22.1,14.8,95,57,3.73,13.38
MURRURUNDI GAP,12/04/2009,2.1,4.2, ,19.3,14.8,93,72,2.96,11.45
MURRURUNDI GAP,13/04/2009,1.3,15.0, ,18.3,13.9,95,90,2.96,6.86
MURRURUNDI GAP,14/04/2009,2.5,9.4, ,21.0,13.5,95,70,3.20,14.67
MURRURUNDI GAP,15/04/2009,3.7,0.4, ,22.4,12.8,95,33,3.13,20.18
MURRURUNDI GAP,16/04/2009,4.0,0.0, ,23.0,14.3,55,36,2.64,20.39
MURRURUNDI GAP,17/04/2009,4.0,0.0, ,22.4,15.5,81,46,4.26,20.14
MURRURUNDI GAP,18/04/2009,3.3,0.0, ,18.4,9.7,94,55,7.66,19.38
MURRURUNDI GAP,19/04/2009,2.5,0.0, ,16.1,10.8,93,69,11.19,14.63
MURRURUNDI GAP,20/04/2009,2.6,6.0, ,15.7,10.0,94,64,12.69,15.51
MURRURUNDI GAP,21/04/2009,2.6,0.4, ,17.0,10.8,94,69,11.79,16.65
MURRURUNDI GAP,22/04/2009,2.4,0.2, ,16.8,9.6,95,72,10.08,17.73
MURRURUNDI GAP,23/04/2009,2.7,0.0, ,17.9,8.1,95,66,6.34,19.19
MURRURUNDI GAP,24/04/2009,3.0,0.0, ,19.2,10.0,93,55,6.31,15.46
MURRURUNDI GAP,25/04/2009,3.5,1.8, ,18.8,9.3,95,52,10.93,15.49
MURRURUNDI GAP,26/04/2009,3.9,0.0, ,15.2,11.3,74,47,12.45,12.99
MURRURUNDI GAP,27/04/2009,3.3,0.0, ,15.1,4.6,74,42,6.85,16.41
MURRURUNDI GAP,28/04/2009,3.5,0.0, ,17.4,6.2,77,40,6.46,15.75
MURRURUNDI GAP,29/04/2009,1.9,0.0, ,13.9,5.8,90,59,3.64,12.28
MURRURUNDI GAP,30/04/2009,2.0,1.0, ,13.9,7.0,95,60,4.12,14.56
Totals:,,90.2,58.4, ,,,,,, 
