'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for September 2010,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 October 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/09/2010,5.2,0.0, ,23.9,11.2,69,40,6.60,19.81
NARRABRI AIRPORT,02/09/2010,5.1,0.0, ,25.6,15.0,66,45,6.83,14.97
NARRABRI AIRPORT,03/09/2010,2.5,0.0, ,22.9,16.0,96,63,4.00,9.58
NARRABRI AIRPORT,04/09/2010,3.1,6.2, ,22.6,16.8,96,62,9.21,8.87
NARRABRI AIRPORT,05/09/2010,3.3,12.4, ,18.9,10.3,95,46,4.20,18.54
NARRABRI AIRPORT,06/09/2010,3.0,0.2, ,18.8,6.4,95,39,2.09,20.25
NARRABRI AIRPORT,07/09/2010,3.3,0.0, ,19.8,3.7,95,37,2.60,20.35
NARRABRI AIRPORT,08/09/2010,3.9,0.0, ,20.5,4.5,89,26,3.27,21.40
NARRABRI AIRPORT,09/09/2010,2.2,0.0, ,20.1,5.4,95,60,3.93,8.13
NARRABRI AIRPORT,10/09/2010,4.1,20.6, ,23.4,13.7,96,42,4.76,18.44
NARRABRI AIRPORT,11/09/2010,3.3,0.0, ,20.5,4.2,95,36,1.94,22.60
NARRABRI AIRPORT,12/09/2010,3.6,0.0, ,21.3,5.3,95,31,2.30,21.78
NARRABRI AIRPORT,13/09/2010,2.9,1.0, ,20.9,12.6,91,50,2.80,14.42
NARRABRI AIRPORT,14/09/2010,4.1,0.4, ,25.6,12.0,95,43,3.25,19.61
NARRABRI AIRPORT,15/09/2010,2.4,0.0, ,19.6,8.2,89,42,3.68,3.17
NARRABRI AIRPORT,16/09/2010,3.3,0.0, ,18.1,5.8,93,42,3.38,19.85
NARRABRI AIRPORT,17/09/2010, ,0.0, ,16.3,5.9,92,39,3.34, 
NARRABRI AIRPORT,18/09/2010,3.0,0.0, ,17.5,1.4,95,37,1.89,21.42
NARRABRI AIRPORT,19/09/2010,1.6,0.0, ,14.1,8.0,95,63,2.45,7.67
NARRABRI AIRPORT,20/09/2010,3.1,3.0, ,21.3,10.4,95,56,2.79,17.88
NARRABRI AIRPORT,21/09/2010,4.0,0.0, ,25.2,12.7,87,42,2.17,20.84
NARRABRI AIRPORT,22/09/2010,4.8,0.0, ,25.6,11.9,87,43,4.45,21.54
NARRABRI AIRPORT,23/09/2010,3.8,0.0, ,24.1,11.8,96,53,2.88,20.65
NARRABRI AIRPORT,24/09/2010,4.0,2.6, ,25.2,10.6,96,42,1.83,23.44
NARRABRI AIRPORT,25/09/2010,4.5,0.2, ,25.6,8.0,95,35,2.74,23.28
NARRABRI AIRPORT,26/09/2010,4.2,0.0, ,26.2,10.8,91,28,1.52,23.70
NARRABRI AIRPORT,27/09/2010,4.8,0.0, ,27.0,10.8,96,48,4.43,22.75
NARRABRI AIRPORT,28/09/2010,4.9,0.0, ,27.0,10.3,96,28,2.77,23.02
NARRABRI AIRPORT,29/09/2010,4.7,0.0, ,20.5,10.1,74,29,4.31,21.74
NARRABRI AIRPORT,30/09/2010,5.0,0.0, ,21.6,5.1,70,28,3.90,26.35
Totals:,,107.7,46.6, ,,,,,, 
