'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/06/2013,2.2,0.0, ,20.3,8.6,99,49,4.09,7.46
NARRABRI AIRPORT,02/06/2013,2.6,13.4, ,16.8,13.1,100,36,5.84,8.60
NARRABRI AIRPORT,03/06/2013,2.2,3.2, ,17.4,4.7,100,45,3.25,14.94
NARRABRI AIRPORT,04/06/2013,2.4,0.0, ,19.4,0.9,99,34,2.69,14.84
NARRABRI AIRPORT,05/06/2013,2.0,0.0, ,21.0,3.5,100,47,2.25,13.31
NARRABRI AIRPORT,06/06/2013,1.8,0.0, ,20.1,10.5,93,67,4.44,7.10
NARRABRI AIRPORT,07/06/2013,1.8,0.0, ,20.9,15.7,99,62,3.93,5.67
NARRABRI AIRPORT,08/06/2013,2.5,0.0, ,22.5,11.7,96,51,3.63,13.88
NARRABRI AIRPORT,09/06/2013,2.1,0.0, ,21.5,8.8,93,54,2.75,12.58
NARRABRI AIRPORT,10/06/2013,1.9,5.4, ,17.0,12.4,100,35,3.06,5.39
NARRABRI AIRPORT,11/06/2013,2.1,3.2, ,19.5,10.0,100,38,2.74,12.94
NARRABRI AIRPORT,12/06/2013,3.1,0.0, ,21.9,10.4,100,35,5.40,6.12
NARRABRI AIRPORT,13/06/2013,2.1,21.2, ,16.1,10.2,100,37,4.13,7.53
NARRABRI AIRPORT,14/06/2013,1.7,0.0, ,15.5,9.2,100,49,3.54,8.07
NARRABRI AIRPORT,15/06/2013,1.8,0.6, ,16.2,9.4,100,46,3.17,11.46
NARRABRI AIRPORT,16/06/2013,1.4,0.0, ,15.4,1.9,100,51,1.80,13.93
NARRABRI AIRPORT,17/06/2013,1.5,0.0, ,15.8,1.6,100,46,1.59,14.26
NARRABRI AIRPORT,18/06/2013,1.7,0.0, ,15.6,-0.2,100,44,2.41,14.12
NARRABRI AIRPORT,19/06/2013,1.7,0.0, ,15.5,-1.3,100,51,2.91,14.01
NARRABRI AIRPORT,20/06/2013,1.5,0.0, ,14.0,4.1,99,60,3.72,9.76
NARRABRI AIRPORT,21/06/2013,1.7,0.0, ,17.4,6.7,100,44,1.96,13.67
NARRABRI AIRPORT,22/06/2013,2.0,0.0, ,17.9,2.1,100,41,2.67,14.21
NARRABRI AIRPORT,23/06/2013,2.4,0.0, ,18.2,4.7,87,39,3.43,14.13
NARRABRI AIRPORT,24/06/2013,2.2,0.0, ,17.4,3.1,100,30,2.65,14.24
NARRABRI AIRPORT,25/06/2013,1.1,1.2, ,11.6,3.5,100,63,2.78,7.77
NARRABRI AIRPORT,26/06/2013,1.5,0.6, ,17.6,0.0,100,54,1.91,13.91
NARRABRI AIRPORT,27/06/2013,2.0,0.0, ,15.9,7.1,100,39,3.79,5.13
NARRABRI AIRPORT,28/06/2013, ,20.6, ,18.3,9.3,100,39,1.84, 
NARRABRI AIRPORT,29/06/2013,1.6,0.4, ,16.6,11.2,100,38,2.14,8.37
NARRABRI AIRPORT,30/06/2013,2.2,1.0, ,18.4,7.0,100,44,3.83,12.88
Totals:,,56.8,70.8, ,,,,,, 
