'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for December 2016,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 January 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/12/2016,10.7,0.0, ,37.1,20.3,45,11,5.40,28.25
NARRABRI AIRPORT,02/12/2016,9.1,0.0, ,39.6,14.4,58,11,3.40,26.92
NARRABRI AIRPORT,03/12/2016,11.0,0.0, ,42.5,23.6,44,10,4.78,24.85
NARRABRI AIRPORT,04/12/2016,9.8,0.0, ,41.5,22.7,58,11,3.62,28.52
NARRABRI AIRPORT,05/12/2016,12.9,0.0, ,42.6,27.2,46,13,6.78,24.78
NARRABRI AIRPORT,06/12/2016, ,0.0, ,38.1,24.1,81,21,5.42, 
NARRABRI AIRPORT,07/12/2016,5.6,3.6, ,32.6,21.2,88,33,2.97,18.60
NARRABRI AIRPORT,08/12/2016,10.5,0.0, ,38.5,22.2,84,22,8.24,20.53
NARRABRI AIRPORT,09/12/2016,7.7,2.2, ,28.4,16.7,84,13,4.53,29.77
NARRABRI AIRPORT,10/12/2016,8.1,0.0, ,33.0,10.8,63,12,3.44,30.03
NARRABRI AIRPORT,11/12/2016,9.1,0.0, ,33.6,20.1,60,19,4.91,29.07
NARRABRI AIRPORT,12/12/2016,8.8,0.0, ,34.5,18.5,62,18,4.44,27.89
NARRABRI AIRPORT,13/12/2016,9.7,0.0, ,35.1,20.8,56,18,4.97,29.75
NARRABRI AIRPORT,14/12/2016,11.3,0.0, ,37.3,22.4,39,14,5.90,29.13
NARRABRI AIRPORT,15/12/2016,5.9,0.0, ,32.0,24.7,76,29,5.26,9.31
NARRABRI AIRPORT,16/12/2016,5.7,0.6, ,30.8,19.2,88,39,6.25,12.29
NARRABRI AIRPORT,17/12/2016,7.7,0.8, ,33.1,20.2,74,26,5.41,20.25
NARRABRI AIRPORT,18/12/2016,9.6,6.4, ,35.1,18.0,73,13,4.96,30.32
NARRABRI AIRPORT,19/12/2016,7.9,0.0, ,34.4,17.3,66,20,3.82,25.11
NARRABRI AIRPORT,20/12/2016,8.5,0.0, ,33.9,22.4,84,34,6.99,25.25
NARRABRI AIRPORT,21/12/2016,9.0,5.0, ,37.9,20.2,74,14,4.45,24.11
NARRABRI AIRPORT,22/12/2016,9.2,0.0, ,37.6,18.1,76,17,4.39,27.45
NARRABRI AIRPORT,23/12/2016,8.1,4.0, ,32.8,19.0,82,31,4.77,30.15
NARRABRI AIRPORT,24/12/2016,7.0,0.0, ,34.1,18.7,82,27,4.57,18.40
NARRABRI AIRPORT,25/12/2016,6.0,4.6, ,30.3,19.4,80,37,3.77,21.17
NARRABRI AIRPORT,26/12/2016,8.3,0.2, ,34.5,18.8,79,25,4.41,28.34
NARRABRI AIRPORT,27/12/2016,9.4,0.0, ,35.9,21.4,62,19,4.64,29.23
NARRABRI AIRPORT,28/12/2016,10.3,0.0, ,36.4,22.8,57,21,5.65,29.73
NARRABRI AIRPORT,29/12/2016,10.8,0.0, ,37.7,22.1,44,14,5.12,30.42
NARRABRI AIRPORT,30/12/2016,11.4,0.0, ,40.8,22.8,43,14,5.06,30.16
NARRABRI AIRPORT,31/12/2016,11.1,0.0, ,41.7,25.2,43,15,5.79,20.39
Totals:,,270.2,27.4, ,,,,,, 
