'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/06/2010,1.6,0.0, ,19.2,6.5,96,52,1.84,13.15
NARRANDERA AIRPORT,02/06/2010,1.5,0.0, ,18.1,5.8,97,54,1.79,13.17
NARRANDERA AIRPORT,03/06/2010,1.5,0.2, ,18.2,4.2,97,54,1.88,13.11
NARRANDERA AIRPORT,04/06/2010,1.6,0.0, ,19.0,5.2,97,49,1.96,12.79
NARRANDERA AIRPORT,05/06/2010,1.3,0.0, ,14.1,3.7,98,61,2.31,13.24
NARRANDERA AIRPORT,06/06/2010,1.7,0.0, ,14.9,5.9,91,59,3.82,13.05
NARRANDERA AIRPORT,07/06/2010,0.9,0.0, ,15.3,0.6,97,58,0.64,12.97
NARRANDERA AIRPORT,08/06/2010,0.9,0.2, ,13.4,1.9,97,54,0.97,11.91
NARRANDERA AIRPORT,09/06/2010,1.1,0.0, ,10.8,5.1,92,73,4.71,7.69
NARRANDERA AIRPORT,10/06/2010,1.5,1.4, ,13.0,5.3,91,61,4.25,12.27
NARRANDERA AIRPORT,11/06/2010,1.3,0.0, ,13.0,6.1,91,55,2.94,9.49
NARRANDERA AIRPORT,12/06/2010,1.3,0.0, ,12.8,2.7,93,53,2.76,12.47
NARRANDERA AIRPORT,13/06/2010,1.0,0.2, ,13.8,-1.6,97,46,0.93,12.92
NARRANDERA AIRPORT,14/06/2010,1.3,0.0, ,15.6,0.1,96,53,1.91,12.64
NARRANDERA AIRPORT,15/06/2010,1.4,0.0, ,17.7,2.8,96,55,2.37,12.03
NARRANDERA AIRPORT,16/06/2010,1.9,2.4, ,18.5,6.2,96,53,4.14,10.85
NARRANDERA AIRPORT,17/06/2010,2.8,2.2, ,18.4,10.8,89,48,7.34,9.89
NARRANDERA AIRPORT,18/06/2010,1.0,0.2, ,13.5,1.8,96,59,1.92,10.92
NARRANDERA AIRPORT,19/06/2010,1.1,0.0, ,14.9,5.1,97,74,3.47,9.61
NARRANDERA AIRPORT,20/06/2010,0.8,1.6, ,15.0,6.9,99,77,1.41,9.60
NARRANDERA AIRPORT,21/06/2010,0.6,0.2, ,11.1,5.3,99,90,1.99,9.34
NARRANDERA AIRPORT,22/06/2010,1.3,0.0, ,16.0,5.8,99,68,3.62,11.38
NARRANDERA AIRPORT,23/06/2010,2.0,0.0, ,16.7,6.6,85,58,5.38,10.44
NARRANDERA AIRPORT,24/06/2010,2.0,0.0, ,18.9,8.8,88,54,3.89,11.94
NARRANDERA AIRPORT,25/06/2010,1.6,0.0, ,19.2,9.6,97,64,4.08,9.28
NARRANDERA AIRPORT,26/06/2010,1.3,7.2, ,12.1,6.2,93,64,3.96,12.18
NARRANDERA AIRPORT,27/06/2010,0.9,0.0, ,11.8,0.6,98,56,1.20,12.36
NARRANDERA AIRPORT,28/06/2010,0.8,0.0, ,10.6,-2.0,97,54,1.27,11.52
NARRANDERA AIRPORT,29/06/2010,1.3,0.0, ,11.1,2.5,84,48,2.77,10.33
NARRANDERA AIRPORT,30/06/2010,1.3,0.2, ,13.6,2.6,90,57,2.84,11.61
Totals:,,40.6,16, ,,,,,, 
