'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/02/2014,9.2,0.0, ,43.5,24.5,51,9,2.74,29.99
NARRANDERA AIRPORT,02/02/2014,7.7,0.0, ,44.0,20.0,56,6,1.69,29.65
NARRANDERA AIRPORT,03/02/2014,11.8,0.0, ,43.2,26.0,37,10,5.18,26.46
NARRANDERA AIRPORT,04/02/2014,10.9,0.0, ,37.9,21.4,59,26,7.38,26.91
NARRANDERA AIRPORT,05/02/2014,10.8,0.0, ,33.0,17.6,55,21,8.57,29.20
NARRANDERA AIRPORT,06/02/2014,8.9,0.0, ,33.9,16.8,58,20,4.90,29.12
NARRANDERA AIRPORT,07/02/2014,9.2,0.0, ,38.3,20.7,40,13,3.75,28.11
NARRANDERA AIRPORT,08/02/2014,9.3,0.0, ,41.2,22.8,35,8,3.25,28.63
NARRANDERA AIRPORT,09/02/2014,12.2,0.0, ,41.8,25.3,30,9,5.49,28.98
NARRANDERA AIRPORT,10/02/2014,9.1,0.0, ,39.5,18.4,40,6,3.35,28.07
NARRANDERA AIRPORT,11/02/2014,8.7,0.0, ,39.3,19.0,66,6,3.11,28.79
NARRANDERA AIRPORT,12/02/2014,8.3,0.0, ,39.4,17.2,71,10,2.92,27.79
NARRANDERA AIRPORT,13/02/2014,6.0,0.0, ,32.6,22.9,62,23,4.50,8.37
NARRANDERA AIRPORT,14/02/2014,3.0,0.0, ,28.9,23.3,88,40,2.85,5.03
NARRANDERA AIRPORT,15/02/2014,2.0,17.0, ,25.4,20.2,97,77,5.96,4.85
NARRANDERA AIRPORT,16/02/2014,6.7,4.8, ,28.9,20.4,96,34,5.59,27.19
NARRANDERA AIRPORT,17/02/2014,6.4,0.0, ,31.9,14.7,87,24,2.70,27.66
NARRANDERA AIRPORT,18/02/2014,7.3,0.0, ,34.3,18.9,76,25,3.51,26.48
NARRANDERA AIRPORT,19/02/2014,7.5,0.0, ,32.3,18.3,78,25,4.42,26.75
NARRANDERA AIRPORT,20/02/2014,6.0,0.0, ,23.8,11.9,75,23,4.10,27.69
NARRANDERA AIRPORT,21/02/2014,6.2,0.0, ,25.8,10.9,71,25,4.04,27.96
NARRANDERA AIRPORT,22/02/2014,5.9,0.0, ,30.1,8.6,80,24,2.45,27.44
NARRANDERA AIRPORT,23/02/2014,7.0,0.0, ,32.6,13.8,74,21,3.48,26.44
NARRANDERA AIRPORT,24/02/2014,6.4,0.0, ,33.7,16.9,63,18,2.37,25.45
NARRANDERA AIRPORT,25/02/2014,8.1,0.0, ,36.1,18.6,77,18,4.39,24.23
NARRANDERA AIRPORT,26/02/2014,5.5,2.0, ,31.9,19.9,87,30,3.55,17.15
NARRANDERA AIRPORT,27/02/2014,6.2,0.0, ,29.4,13.1,69,20,3.01,26.31
NARRANDERA AIRPORT,28/02/2014,3.5,0.0, ,25.2,16.3,82,51,5.69,5.23
Totals:,,209.8,23.8, ,,,,,, 
