'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/05/2017,1.8,0.0, ,20.9,6.4,99,49,1.49,10.89
NARRANDERA AIRPORT,02/05/2017,2.2,0.0, ,17.9,7.7,98,40,2.96,11.50
NARRANDERA AIRPORT,03/05/2017,2.2,0.0, ,18.0,1.7,95,33,2.16,13.62
NARRANDERA AIRPORT,04/05/2017,2.4,0.0, ,21.3,4.2,89,36,2.13,13.46
NARRANDERA AIRPORT,05/05/2017,2.7,0.0, ,23.4,5.8,92,35,2.54,12.31
NARRANDERA AIRPORT,06/05/2017,3.0,0.0, ,23.2,9.0,91,24,2.83,10.94
NARRANDERA AIRPORT,07/05/2017,2.5,0.0, ,16.6,2.7,89,36,3.61,13.14
NARRANDERA AIRPORT,08/05/2017,2.2,0.0, ,17.8,1.2,95,37,2.67,13.03
NARRANDERA AIRPORT,09/05/2017,1.7,0.0, ,20.0,1.4,97,32,1.19,12.91
NARRANDERA AIRPORT,10/05/2017,1.5,0.0, ,20.9,1.2,96,31,0.84,12.79
NARRANDERA AIRPORT,11/05/2017,1.3,0.0, ,19.9,1.0,95,37,0.70,12.10
NARRANDERA AIRPORT,12/05/2017,1.5,0.0, ,19.8,3.0,98,41,1.16,9.54
NARRANDERA AIRPORT,13/05/2017,1.8,0.0, ,22.3,5.2,98,44,1.54,10.31
NARRANDERA AIRPORT,14/05/2017,1.8,0.0, ,21.5,8.7,99,45,1.83,10.68
NARRANDERA AIRPORT,15/05/2017,1.4,0.0, ,20.3,7.2,97,48,0.91,10.30
NARRANDERA AIRPORT,16/05/2017,1.2,0.6, ,19.8,2.2,100,33,0.53,12.20
NARRANDERA AIRPORT,17/05/2017,2.6,0.0, ,20.9,5.4,85,36,3.26,10.76
NARRANDERA AIRPORT,18/05/2017,4.0,0.0, ,24.1,10.4,72,39,5.71,11.19
NARRANDERA AIRPORT,19/05/2017,1.7,6.6, ,17.2,13.5,99,61,4.74,5.56
NARRANDERA AIRPORT,20/05/2017,1.2,16.4, ,19.6,11.8,100,57,0.89,9.69
NARRANDERA AIRPORT,21/05/2017,1.2,0.2, ,20.8,5.3,100,47,0.61,11.79
NARRANDERA AIRPORT,22/05/2017,1.9,0.0, ,21.1,5.2,100,40,2.02,11.61
NARRANDERA AIRPORT,23/05/2017,1.7,0.0, ,20.1,8.0,100,55,2.69,8.75
NARRANDERA AIRPORT,24/05/2017,1.7,3.4, ,17.7,8.9,100,55,3.09,10.88
NARRANDERA AIRPORT,25/05/2017,1.0,0.0, ,16.6,3.3,100,58,0.96,9.11
NARRANDERA AIRPORT,26/05/2017,1.1,0.0, ,19.6,6.3,100,52,0.70,11.18
NARRANDERA AIRPORT,27/05/2017,1.4,0.0, ,19.8,4.4,100,44,1.23,11.35
NARRANDERA AIRPORT,28/05/2017,2.0,0.0, ,16.2,7.6,90,51,4.28,9.69
NARRANDERA AIRPORT,29/05/2017,1.3,1.2, ,14.2,1.6,99,49,2.05,11.11
NARRANDERA AIRPORT,30/05/2017,1.2,0.2, ,14.0,0.5,99,62,2.73,7.47
NARRANDERA AIRPORT,31/05/2017,1.5,0.6, ,13.1,1.3,96,47,3.14,11.11
Totals:,,56.7,29.2, ,,,,,, 
