'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/09/2013,2.8,0.0, ,20.4,1.0,98,34,1.13,21.35
NERRIGA,02/09/2013,3.2,0.0, ,22.8,2.7,98,28,1.79,20.54
NERRIGA,03/09/2013,3.0,0.0, ,22.2,3.0,98,38,1.48,21.23
NERRIGA,04/09/2013,3.3,0.0, ,21.6,7.1,98,35,2.41,20.54
NERRIGA,05/09/2013,3.2,0.0, ,23.0,6.8,98,39,2.35,18.61
NERRIGA,06/09/2013,3.0,0.0, ,22.8,9.4,93,39,2.49,13.90
NERRIGA,07/09/2013,4.0,0.0, ,23.5,6.5,98,36,3.91,20.39
NERRIGA,08/09/2013,3.4,0.0, ,20.9,9.8,98,31,2.76,19.63
NERRIGA,09/09/2013,4.2,0.0, ,23.9,8.1,98,28,3.72,19.86
NERRIGA,10/09/2013,6.1,0.0, ,21.3,13.1,71,31,9.99,22.35
NERRIGA,11/09/2013,4.3,0.0, ,15.7,6.2,75,37,7.74,23.52
NERRIGA,12/09/2013,2.9,0.0, ,16.3,0.5,98,40,4.07,16.99
NERRIGA,13/09/2013, ,1.4, , ,-1.4,98,51,3.26,16.25
NERRIGA,14/09/2013, , , ,16.1, ,98,70,2.57,11.10
NERRIGA,15/09/2013,2.6,2.6, ,16.9,8.0,98,49,2.03,17.74
NERRIGA,16/09/2013,1.2,0.0, ,12.5,8.6,98,82,4.42,6.90
NERRIGA,17/09/2013,1.5,46.4, ,13.8,11.0,98,79,7.54,9.13
NERRIGA,18/09/2013, ,6.8, , ,10.2,88,47,8.25,19.03
NERRIGA,19/09/2013, , , ,13.6, ,77,50,8.11,24.80
NERRIGA,20/09/2013,2.7,0.0, ,13.1,3.7,89,55,6.29,18.43
NERRIGA,21/09/2013,3.5,0.0, ,17.7,1.1,98,33,1.79,25.90
NERRIGA,22/09/2013,2.7,0.0, ,17.5,0.9,98,45,1.71,19.56
NERRIGA,23/09/2013,4.4,0.4, ,23.2,3.1,98,25,1.97,26.56
NERRIGA,24/09/2013,5.8,0.0, ,23.8,11.2,71,28,5.12,25.32
NERRIGA,25/09/2013,5.3,0.0, ,24.3,7.3,90,32,4.49,26.15
NERRIGA,26/09/2013,5.3,0.0, ,20.4,7.8,98,31,9.55,24.19
NERRIGA,27/09/2013,4.5,0.0, ,19.9,1.3,84,26,2.79,28.04
NERRIGA,28/09/2013,5.5,0.0, ,19.6,2.3,89,26,7.51,27.47
NERRIGA,29/09/2013,4.3,0.0, ,19.3,2.8,85,37,3.00,27.54
NERRIGA,30/09/2013,4.9,0.0, ,24.2,7.5,76,32,3.64,23.44
Totals:,,97.6,57.6, ,,,,,, 
