'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/12/2013,4.6,0.0, ,21.4,7.3,98,47,2.49,27.76
NERRIGA,02/12/2013,6.5,0.0, ,28.2,8.6,98,26,2.13,34.43
NERRIGA,03/12/2013,7.6,0.0, ,32.2,8.4,98,19,2.01,37.26
NERRIGA,04/12/2013,8.9,0.0, ,33.0,15.6,94,13,5.85,27.20
NERRIGA,05/12/2013,4.7,7.2, ,18.4,12.0,98,40,7.82,24.61
NERRIGA,06/12/2013,6.0,0.0, ,19.8,5.3,85,31,5.20,35.45
NERRIGA,07/12/2013,6.6,0.0, ,25.3,2.4,98,24,2.54,37.18
NERRIGA,08/12/2013,7.8,0.0, ,29.7,7.6,98,18,3.06,37.23
NERRIGA,09/12/2013, ,0.0, , ,15.1,68,12,4.43,11.13
NERRIGA,10/12/2013, , , ,24.1, ,95,18,8.57,37.17
NERRIGA,11/12/2013,7.4,0.0, ,24.2,7.5,98,27,6.62,37.48
NERRIGA,12/12/2013,7.5,0.0, ,28.2,6.8,98,17,2.98,37.22
NERRIGA,13/12/2013,8.1,0.0, ,30.0,9.8,98,11,3.07,37.52
NERRIGA,14/12/2013,3.5,0.0, ,21.2,13.9,98,67,4.24,19.23
NERRIGA,15/12/2013,4.5,0.2, ,23.3,12.8,98,56,2.90,24.56
NERRIGA,16/12/2013,4.1,0.0, ,22.6,12.4,98,67,3.35,23.86
NERRIGA,17/12/2013,6.7,0.0, ,30.3,11.9,98,28,2.29,32.49
NERRIGA,18/12/2013,6.0,0.4, ,28.1,12.0,98,42,2.31,31.44
NERRIGA,19/12/2013,8.3,0.0, ,35.9,9.7,96,14,2.26,36.35
NERRIGA,20/12/2013,10.1,0.0, ,37.9,15.7,81,14,4.18,34.87
NERRIGA,21/12/2013,6.3,0.0, ,26.5,16.3,98,49,4.03,32.80
NERRIGA,22/12/2013,9.4,0.2, ,37.5,13.8,98,13,4.71,27.68
NERRIGA,23/12/2013,3.9,0.0, ,28.6,17.7,96,30,3.23,8.97
NERRIGA,24/12/2013,3.3,1.2, ,18.9,12.1,98,61,3.25,18.55
NERRIGA,25/12/2013,2.0,0.2, ,19.3,12.1,98,75,2.53,9.24
NERRIGA,26/12/2013,5.6,4.4, ,26.2,13.8,98,41,2.49,28.46
NERRIGA,27/12/2013, ,28.8, , ,10.6,98,46,2.96,34.98
NERRIGA,28/12/2013, , , ,33.0, ,98,17,3.06,37.54
NERRIGA,29/12/2013,7.2,0.0, ,24.8,13.9,89,42,4.07,38.92
NERRIGA,30/12/2013,7.7,0.0, ,27.9,9.8,90,30,3.65,38.40
NERRIGA,31/12/2013,7.0,0.0, ,27.1,11.3,98,25,3.04,35.29
Totals:,,171.3,42.6, ,,,,,, 
