'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/06/2014,0.6,0.2, ,13.9,10.3,98,89,2.31,2.40
NERRIGA,02/06/2014,0.9,9.0, ,14.0,8.1,98,77,2.36,6.02
NERRIGA,03/06/2014,0.9,0.6, ,11.0,6.0,98,79,4.26,5.58
NERRIGA,04/06/2014,1.0,0.0, ,15.6,5.2,98,65,1.55,8.40
NERRIGA,05/06/2014,0.9,0.2, ,15.7,7.3,98,72,1.31,5.21
NERRIGA,06/06/2014,1.2,0.0, ,12.1,8.0,98,64,3.41,8.71
NERRIGA,07/06/2014,0.9,0.2, ,14.7,-2.4,98,50,1.04,10.23
NERRIGA,08/06/2014,1.1,0.0, ,12.4,-1.6,98,48,2.02,10.31
NERRIGA,09/06/2014,0.7,3.8, ,12.9,1.4,98,87,2.00,7.66
NERRIGA,10/06/2014,0.9,4.4, ,13.0,4.8,98,74,2.46,6.92
NERRIGA,11/06/2014,0.7,0.2, ,13.1,1.6,99,69,0.86,6.79
NERRIGA,12/06/2014,1.0,0.4, ,15.1,1.8,98,60,1.64,9.11
NERRIGA,13/06/2014,0.8,0.0, ,13.3,4.1,98,74,1.57,5.83
NERRIGA,14/06/2014,1.1,2.4, ,15.7,6.5,98,59,1.96,7.66
NERRIGA,15/06/2014,1.1,13.6, ,11.6,5.1,98,66,4.42,4.34
NERRIGA,16/06/2014,1.1,0.6, ,10.9,-0.5,98,65,3.64,9.55
NERRIGA,17/06/2014,1.3,0.0, ,14.6,4.7,98,54,2.79,8.69
NERRIGA,18/06/2014, ,0.0, , ,-1.1,98,50,0.47,9.72
NERRIGA,19/06/2014, , , ,15.0, ,98,56,1.48,8.90
NERRIGA,20/06/2014,1.8,0.0, ,16.0,1.0,98,52,4.55,7.56
NERRIGA,21/06/2014,0.9,0.2, ,14.9,1.0,98,53,1.05,9.03
NERRIGA,22/06/2014,0.8,0.2, ,14.4,0.3,98,53,0.80,9.48
NERRIGA,23/06/2014,1.4,0.0, ,11.9,3.0,98,66,7.47,3.82
NERRIGA,24/06/2014,1.3,0.2, ,8.1,2.9,92,70,10.65,7.23
NERRIGA,25/06/2014,1.7,0.2, ,11.1,4.8,93,60,8.63,9.36
NERRIGA,26/06/2014,1.9,0.2, ,12.8,6.8,79,68,9.35,7.37
NERRIGA,27/06/2014,1.3,0.0, ,12.2,7.0,93,64,4.70,6.26
NERRIGA,28/06/2014,2.8,0.0, ,15.1,6.3,89,39,7.81,6.34
NERRIGA,29/06/2014,1.3,0.6, ,7.5,4.3,88,72,10.22,6.16
NERRIGA,30/06/2014,1.4,0.0, ,9.9,0.5,96,53,4.67,10.06
Totals:,,32.8,37.2, ,,,,,, 
