'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/12/2014,7.3,4.2, ,32.5,13.3,99,30,4.72,26.08
NERRIGA,02/12/2014,7.3,15.6, ,32.9,14.5,99,27,4.36,25.82
NERRIGA,03/12/2014,5.3,0.0, ,33.3,14.8,99,30,2.55,17.81
NERRIGA,04/12/2014,6.1,10.2, ,30.5,16.2,99,39,4.02,24.21
NERRIGA,05/12/2014,4.6,17.8, ,27.3,14.5,99,48,2.85,20.62
NERRIGA,06/12/2014,2.3,14.8, ,23.4,15.4,99,69,2.86,8.62
NERRIGA,07/12/2014,5.0,34.6, ,27.0,13.3,99,37,2.37,23.56
NERRIGA,08/12/2014,5.0,0.2, ,28.5,12.6,99,32,2.89,19.51
NERRIGA,09/12/2014,3.4,0.8, ,22.3,14.2,99,67,3.30,17.36
NERRIGA,10/12/2014,4.2,0.2, ,27.1,14.5,99,56,3.01,18.73
NERRIGA,11/12/2014,1.6,9.4, ,15.7,14.3,99,84,5.22,8.22
NERRIGA,12/12/2014,3.2,17.6, ,18.6,11.0,98,65,5.46,18.46
NERRIGA,13/12/2014,3.7,1.0, ,18.6,11.5,98,54,3.70,20.52
NERRIGA,14/12/2014,5.4,0.0, ,26.4,5.9,99,35,2.35,28.36
NERRIGA,15/12/2014,6.1,3.6, ,27.6,9.9,99,38,2.49,31.81
NERRIGA,16/12/2014,7.9,0.0, ,31.7,14.8,92,9,4.56,24.75
NERRIGA,17/12/2014,5.1,0.0, ,19.4,13.0,98,32,5.07,26.47
NERRIGA,18/12/2014,7.0,0.0, ,27.7,11.8,95,22,4.55,29.22
NERRIGA,19/12/2014,5.0,0.0, ,20.9,9.8,98,42,3.68,28.48
NERRIGA,20/12/2014,5.4,0.0, ,24.5,10.4,95,41,2.98,28.85
NERRIGA,21/12/2014,6.3,0.0, ,29.1,9.7,98,32,2.51,31.30
NERRIGA,22/12/2014,5.0,0.0, ,30.1,13.0,99,35,2.56,19.47
NERRIGA,23/12/2014,3.6,1.6, ,26.6,16.1,99,58,3.51,14.39
NERRIGA,24/12/2014,2.5,10.4, ,21.2,14.8,99,75,2.97,11.83
NERRIGA,25/12/2014,2.9,0.0, ,27.7,14.8,99,51,3.09,6.67
NERRIGA,26/12/2014,6.6,16.4, ,23.5,14.6,99,25,4.47,33.73
NERRIGA,27/12/2014,2.8,0.2, ,17.7,9.8,98,64,3.44,14.87
NERRIGA,28/12/2014,3.7,0.0, ,22.7,12.0,98,59,2.91,18.82
NERRIGA,29/12/2014,6.6,0.0, ,27.9,11.5,99,32,4.78,28.19
NERRIGA,30/12/2014,7.0,0.0, ,24.1,12.3,97,31,7.70,33.84
NERRIGA,31/12/2014,4.5,0.0, ,22.7,12.0,99,60,3.73,25.74
Totals:,,152.4,158.6, ,,,,,, 
