'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/09/2016,2.1,1.2, ,16.8,5.2,100,67,2.73,15.53
NERRIGA,02/09/2016,1.5,0.2, ,12.0,7.7,100,46,2.76,4.45
NERRIGA,03/09/2016,3.5,18.0, ,13.5,8.8,61,41,7.93,8.62
NERRIGA,04/09/2016,2.8,0.0, ,13.8,3.3,76,40,4.42,15.41
NERRIGA,05/09/2016,2.1,0.2, ,18.0,1.1,92,31,0.86,16.15
NERRIGA,06/09/2016,3.0,0.0, ,20.3,1.7,84,26,1.93,18.00
NERRIGA,07/09/2016,2.2,0.2, ,17.5,5.8,100,59,2.40,14.03
NERRIGA,08/09/2016,2.2,0.0, ,18.8,6.8,100,48,2.21,11.56
NERRIGA,09/09/2016,3.0,0.2, ,20.7,9.4,100,44,3.70,14.08
NERRIGA,10/09/2016,0.8,2.8, ,13.7,8.9,100,100,7.05,9.30
NERRIGA,11/09/2016,1.6,1.4, ,14.6,1.9,100,100,2.70,18.03
NERRIGA,12/09/2016,1.8,0.0, ,16.7,1.8,100,100,1.69,17.96
NERRIGA,13/09/2016,1.7,0.2, ,15.8,6.9,100,68,2.30,9.68
NERRIGA,14/09/2016,2.7, , ,19.9,10.1,99,59,4.00,14.82
NERRIGA,15/09/2016,2.5,5.6, ,12.2,6.8,92,59,8.87,15.14
NERRIGA,16/09/2016,2.8,0.2, ,14.7,5.0,95,46,4.78,15.96
NERRIGA,17/09/2016,2.5,0.0, ,16.4,1.8,100,43,2.40,15.85
NERRIGA,18/09/2016,1.4,0.0, ,14.4,5.0,100,64,1.50,6.79
NERRIGA,19/09/2016,2.2,8.4, ,14.5,6.1,98,64,3.78,14.81
NERRIGA,20/09/2016,2.5,0.0, ,15.3,0.3,98,39,1.80,18.20
NERRIGA,21/09/2016,1.2,0.0, ,11.7,8.6,100,69,1.69,6.04
NERRIGA,22/09/2016,1.3,11.0, ,13.0,6.6,100,75,3.57,6.90
NERRIGA,23/09/2016,2.3,3.4, ,16.4,6.5,99,59,2.80,14.54
NERRIGA,24/09/2016,2.6,0.4, ,18.9,6.2,100,55,1.22,17.72
NERRIGA,25/09/2016,2.3,0.0, ,17.6,8.7,97,55,3.23,9.97
NERRIGA,26/09/2016,2.8,8.4, ,13.7,3.6,99,46,4.09,19.24
NERRIGA,27/09/2016,3.1,0.0, ,13.3,3.3,92,46,6.46,20.31
NERRIGA,28/09/2016,3.0,0.0, ,16.5,-0.1,99,44,2.53,21.14
NERRIGA,29/09/2016,2.9,5.0, ,15.0,8.5,95,47,6.31,12.85
NERRIGA,30/09/2016,2.2,3.2, ,11.8,5.5,87,67,8.55,13.27
Totals:,,68.6,70, ,,,,,, 
