'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/04/2017,3.1,0.0, ,20.3,6.4,100,41,2.71,17.89
NERRIGA,02/04/2017,2.7,0.0, ,16.0,9.4,88,56,4.12,16.73
NERRIGA,03/04/2017,1.6,0.2, ,15.2,6.0,100,72,2.76,10.50
NERRIGA,04/04/2017,1.5,5.2, ,15.0,8.5,100,77,2.79,9.40
NERRIGA,05/04/2017,1.7,3.0, ,16.3,6.5,100,69,1.95,11.42
NERRIGA,06/04/2017,2.4,1.2, ,18.9,3.6,100,46,1.55,16.51
NERRIGA,07/04/2017,2.4,0.2, ,19.1,3.3,100,49,1.91,16.61
NERRIGA,08/04/2017,2.6,0.0, ,20.4,4.7,100,46,1.91,16.41
NERRIGA,09/04/2017,2.4,0.0, ,20.1,9.9,99,53,4.48,8.49
NERRIGA,10/04/2017,2.2,6.4, ,14.0,5.5,90,57,5.46,10.12
NERRIGA,11/04/2017,2.3,0.4, ,18.6,7.2,88,58,2.91,12.85
NERRIGA,12/04/2017,1.6,0.0, ,16.5,8.3,96,74,2.20,9.71
NERRIGA,13/04/2017,2.0,0.2, ,19.0,5.8,99,55,1.55,13.35
NERRIGA,14/04/2017,2.2,0.2, ,20.1,6.2,100,39,1.28,15.24
NERRIGA,15/04/2017,2.2,0.2, ,19.1,5.7,100,46,1.57,14.60
NERRIGA,16/04/2017,2.4,0.2, ,20.0,6.7,100,35,1.71,15.12
NERRIGA,17/04/2017,2.2,0.0, ,20.7,7.3,99,54,1.76,14.42
NERRIGA,18/04/2017,2.3,0.0, ,22.4,9.1,99,53,1.60,14.62
NERRIGA,19/04/2017,1.8,0.0, ,18.4,7.1,100,63,1.84,12.10
NERRIGA,20/04/2017,2.2,0.4, ,21.4,9.1,99,54,2.06,13.57
NERRIGA,21/04/2017,1.9,0.0, ,20.3,6.3,98,54,1.72,10.86
NERRIGA,22/04/2017,1.6,0.0, ,21.1,12.1,99,55,1.46,6.86
NERRIGA,23/04/2017,1.9,6.2, ,20.7,7.3,100,55,1.15,14.21
NERRIGA,24/04/2017,1.8,0.4, ,21.0,7.9,100,54,1.13,11.76
NERRIGA,25/04/2017,2.0,0.0, ,19.5,11.2,97,65,5.54,5.95
NERRIGA,26/04/2017,1.7,0.8, ,15.2,9.4,94,63,3.94,9.04
NERRIGA,27/04/2017,1.7,5.0, ,14.1,0.4,93,54,2.12,13.13
NERRIGA,28/04/2017,1.5,0.2, ,16.2,-1.3,98,50,1.05,14.10
NERRIGA,29/04/2017,1.5,0.0, ,17.9,0.2,99,51,0.74,13.98
NERRIGA,30/04/2017,1.7,0.0, ,18.6,3.0,100,55,1.29,13.62
Totals:,,61.1,30.4, ,,,,,, 
