'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWCASTLE NOBBYS SIGNAL STATION New South Wales for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWCASTLE NOBBYS SIGNAL STATION,01/10/2010,4.2,0.0, ,19.4,11.4,74,49,6.30,18.37
NEWCASTLE NOBBYS SIGNAL STATION,02/10/2010,2.8,0.0, ,19.2,15.8,89,63,4.92,12.08
NEWCASTLE NOBBYS SIGNAL STATION,03/10/2010,2.5,2.0, ,19.0,15.8,96,73,6.61,12.75
NEWCASTLE NOBBYS SIGNAL STATION,04/10/2010,2.7,13.4, ,19.7,16.3,97,77,6.07,16.27
NEWCASTLE NOBBYS SIGNAL STATION,05/10/2010,3.4,0.2, ,20.7,16.6,100,81,4.11,24.90
NEWCASTLE NOBBYS SIGNAL STATION,06/10/2010,3.7,2.0, ,21.5,17.7,99,76,3.62,24.84
NEWCASTLE NOBBYS SIGNAL STATION,07/10/2010,3.5,1.6, ,23.8,15.4,100,57,6.35,13.42
NEWCASTLE NOBBYS SIGNAL STATION,08/10/2010,3.1,0.2, ,19.4,15.9,79,58,5.22,10.01
NEWCASTLE NOBBYS SIGNAL STATION,09/10/2010,2.5,9.8, ,19.0,15.1,95,60,4.90,8.47
NEWCASTLE NOBBYS SIGNAL STATION,10/10/2010,5.1,1.6, ,19.7,15.1,77,45,9.27,20.57
NEWCASTLE NOBBYS SIGNAL STATION,11/10/2010,4.2,0.8, ,20.7,15.6,90,58,8.23,21.25
NEWCASTLE NOBBYS SIGNAL STATION,12/10/2010,4.1,1.2, ,21.5,15.9,95,61,7.04,23.16
NEWCASTLE NOBBYS SIGNAL STATION,13/10/2010,4.9,0.0, ,25.9,14.8,89,43,4.94,19.16
NEWCASTLE NOBBYS SIGNAL STATION,14/10/2010,5.2,1.2, ,26.7,17.0,94,47,5.22,23.08
NEWCASTLE NOBBYS SIGNAL STATION,15/10/2010,2.8,0.0, ,20.7,17.6,98,61,6.36,9.76
NEWCASTLE NOBBYS SIGNAL STATION,16/10/2010,5.9,5.2, ,16.3,11.0,68,29,12.80,25.62
NEWCASTLE NOBBYS SIGNAL STATION,17/10/2010,6.3,0.0, ,22.7,8.8,68,32,6.83,28.39
NEWCASTLE NOBBYS SIGNAL STATION,18/10/2010,4.9,0.0, ,20.0,11.5,82,42,4.69,28.41
NEWCASTLE NOBBYS SIGNAL STATION,19/10/2010,3.4,0.0, ,18.1,13.9,84,58,5.29,15.69
NEWCASTLE NOBBYS SIGNAL STATION,20/10/2010,4.3,2.0, ,19.5,13.2,89,59,4.28,27.94
NEWCASTLE NOBBYS SIGNAL STATION,21/10/2010,4.5,0.0, ,20.1,15.0,85,64,4.99,28.27
NEWCASTLE NOBBYS SIGNAL STATION,22/10/2010,4.5,0.0, ,22.8,14.5,95,61,4.52,26.50
NEWCASTLE NOBBYS SIGNAL STATION,23/10/2010, ,0.0, ,27.9,14.0, , , ,26.58
NEWCASTLE NOBBYS SIGNAL STATION,24/10/2010,1.7,15.8, ,15.9,15.3,100,82,8.58,10.33
NEWCASTLE NOBBYS SIGNAL STATION,25/10/2010,3.2,19.6, ,18.8,14.3,98,68,6.53,19.96
NEWCASTLE NOBBYS SIGNAL STATION,26/10/2010,4.7,0.2, ,22.7,13.9,91,55,4.35,26.68
NEWCASTLE NOBBYS SIGNAL STATION,27/10/2010,4.9,0.0, ,23.9,14.9,88,56,6.29,24.30
NEWCASTLE NOBBYS SIGNAL STATION,28/10/2010,4.2,3.4, ,19.8,17.4,83,60,7.24,19.58
NEWCASTLE NOBBYS SIGNAL STATION,29/10/2010,4.5,0.0, ,21.4,17.4,86,62,5.47,24.80
NEWCASTLE NOBBYS SIGNAL STATION,30/10/2010,4.9,0.0, ,23.6,17.5,92,67,5.21,28.60
NEWCASTLE NOBBYS SIGNAL STATION,31/10/2010,4.4,0.0, ,23.1,19.2,97,65,5.54,24.48
Totals:,,121,80.2, ,,,,,, 
