'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWCASTLE NOBBYS SIGNAL STATION New South Wales for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWCASTLE NOBBYS SIGNAL STATION,01/03/2011,10.3,0.2, ,38.0,23.0,91,29,10.06,21.54
NEWCASTLE NOBBYS SIGNAL STATION,02/03/2011,3.4,2.6, ,21.8,20.4,88,59,7.31,9.75
NEWCASTLE NOBBYS SIGNAL STATION,03/03/2011,5.7,0.0, ,29.4,19.0,93,50,5.25,24.10
NEWCASTLE NOBBYS SIGNAL STATION,04/03/2011,4.1,0.0, ,25.4,20.4,89,71,6.94,19.41
NEWCASTLE NOBBYS SIGNAL STATION,05/03/2011,5.6,0.0, ,21.9,19.9,74,46,11.37,14.92
NEWCASTLE NOBBYS SIGNAL STATION,06/03/2011,6.2,0.0, ,23.1,19.2,68,46,8.62,23.20
NEWCASTLE NOBBYS SIGNAL STATION,07/03/2011, ,2.4, , ,18.1,87,53,4.43,25.05
NEWCASTLE NOBBYS SIGNAL STATION,08/03/2011, , , ,26.3, ,88,58,6.22,25.71
NEWCASTLE NOBBYS SIGNAL STATION,09/03/2011,4.4,0.0, ,28.0,19.7,84,49,4.03,15.21
NEWCASTLE NOBBYS SIGNAL STATION,10/03/2011,3.1,0.0, ,25.9,20.8,93,69,3.86,13.13
NEWCASTLE NOBBYS SIGNAL STATION,11/03/2011,3.1,0.6, ,24.8,20.3,92,66,3.23,13.62
NEWCASTLE NOBBYS SIGNAL STATION,12/03/2011,4.3,0.2, ,25.5,21.3,94,70,4.68,23.52
NEWCASTLE NOBBYS SIGNAL STATION,13/03/2011,6.0,0.0, ,30.1,21.1,84,54,5.79,24.93
NEWCASTLE NOBBYS SIGNAL STATION,14/03/2011,4.7,0.0, ,28.7,20.9,96,64,7.33,20.21
NEWCASTLE NOBBYS SIGNAL STATION,15/03/2011,4.0,0.4, ,25.1,19.6,89,66,5.34,18.88
NEWCASTLE NOBBYS SIGNAL STATION,16/03/2011,4.6,0.0, ,26.7,20.2,94,63,4.18,23.78
NEWCASTLE NOBBYS SIGNAL STATION,17/03/2011,2.1,3.4, ,23.6,21.3,96,82,4.06,9.83
NEWCASTLE NOBBYS SIGNAL STATION,18/03/2011,2.9,0.0, ,23.2,21.3,94,78,6.96,14.35
NEWCASTLE NOBBYS SIGNAL STATION,19/03/2011,3.6,4.8, ,26.1,19.4,97,68,5.12,17.68
NEWCASTLE NOBBYS SIGNAL STATION,20/03/2011,3.8,17.4, ,25.9,20.4,97,73,5.82,20.78
NEWCASTLE NOBBYS SIGNAL STATION,21/03/2011,3.2,6.4, ,25.1,20.7,100,79,5.78,18.43
NEWCASTLE NOBBYS SIGNAL STATION,22/03/2011,4.4,28.8, ,29.7,21.1,100,59,3.28,21.45
NEWCASTLE NOBBYS SIGNAL STATION,23/03/2011,6.0,0.2, ,31.2,20.6,90,33,4.65,21.73
NEWCASTLE NOBBYS SIGNAL STATION,24/03/2011,7.1,0.0, ,27.1,18.0,61,35,7.57,23.79
NEWCASTLE NOBBYS SIGNAL STATION,25/03/2011,5.7,0.0, ,27.4,18.5,89,37,7.34,17.77
NEWCASTLE NOBBYS SIGNAL STATION,26/03/2011,3.3,1.6, ,21.4,17.4,91,66,8.57,14.68
NEWCASTLE NOBBYS SIGNAL STATION,27/03/2011,4.0,3.0, ,22.8,17.7,88,51,6.82,13.55
NEWCASTLE NOBBYS SIGNAL STATION,28/03/2011,3.7,5.8, ,23.2,17.1,95,57,4.86,19.14
NEWCASTLE NOBBYS SIGNAL STATION,29/03/2011,3.8,0.8, ,24.9,18.6,93,60,4.63,18.72
NEWCASTLE NOBBYS SIGNAL STATION,30/03/2011,4.2,0.0, ,27.6,19.3,88,53,2.64,20.80
NEWCASTLE NOBBYS SIGNAL STATION,31/03/2011,3.0,1.8, ,22.9,18.3,89,59,3.81,12.72
Totals:,,130.3,80.4, ,,,,,, 
