'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWCASTLE NOBBYS SIGNAL STATION New South Wales for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWCASTLE NOBBYS SIGNAL STATION,01/10/2011,3.1,0.0, ,19.4,10.2,88,50,4.21,13.15
NEWCASTLE NOBBYS SIGNAL STATION,02/10/2011,2.6,21.4, ,16.2,11.1,95,56,10.92,5.05
NEWCASTLE NOBBYS SIGNAL STATION,03/10/2011,3.2,26.2, ,16.3,11.0,94,61,9.28,20.98
NEWCASTLE NOBBYS SIGNAL STATION,04/10/2011,3.6,1.6, ,17.9,11.6,90,53,6.13,19.36
NEWCASTLE NOBBYS SIGNAL STATION,05/10/2011,3.2,0.2, ,18.3,11.0,89,55,3.47,18.09
NEWCASTLE NOBBYS SIGNAL STATION,06/10/2011,2.2,0.0, ,18.0,13.8,90,63,1.68,10.86
NEWCASTLE NOBBYS SIGNAL STATION,07/10/2011,2.9,1.0, ,20.0,14.2,96,72,3.71,17.98
NEWCASTLE NOBBYS SIGNAL STATION,08/10/2011,3.1,3.4, ,19.6,15.4,93,74,4.35,19.51
NEWCASTLE NOBBYS SIGNAL STATION,09/10/2011,5.1,0.0, ,24.1,13.7,99,33,6.03,20.16
NEWCASTLE NOBBYS SIGNAL STATION,10/10/2011,4.2,0.0, ,20.8,13.0,82,48,4.29,21.24
NEWCASTLE NOBBYS SIGNAL STATION,11/10/2011,4.9,0.0, ,20.6,12.9,82,35,4.16,25.95
NEWCASTLE NOBBYS SIGNAL STATION,12/10/2011,4.4,0.0, ,19.2,12.3,85,53,5.57,26.38
NEWCASTLE NOBBYS SIGNAL STATION,13/10/2011,4.1,0.0, ,19.5,16.1,71,52,6.56,13.96
NEWCASTLE NOBBYS SIGNAL STATION,14/10/2011,2.9,0.0, ,20.4,17.2,89,65,6.49,10.44
NEWCASTLE NOBBYS SIGNAL STATION,15/10/2011,3.7,0.0, ,23.3,17.2,90,62,4.75,17.36
NEWCASTLE NOBBYS SIGNAL STATION,16/10/2011,5.1,0.0, ,22.1,16.8,90,48,6.20,26.70
NEWCASTLE NOBBYS SIGNAL STATION,17/10/2011,4.0,2.6, ,18.2,14.9,85,49,7.22,17.16
NEWCASTLE NOBBYS SIGNAL STATION,18/10/2011,4.4,0.0, ,19.9,13.0,82,47,4.42,23.78
NEWCASTLE NOBBYS SIGNAL STATION,19/10/2011,4.7,0.0, ,20.5,13.6,83,53,4.69,27.99
NEWCASTLE NOBBYS SIGNAL STATION,20/10/2011,5.6,0.0, ,24.4,13.6,83,48,6.02,28.10
NEWCASTLE NOBBYS SIGNAL STATION,21/10/2011,6.4,0.0, ,28.3,15.1,92,38,5.23,27.94
NEWCASTLE NOBBYS SIGNAL STATION,22/10/2011,4.3,0.0, ,22.1,17.9,97,68,4.89,26.70
NEWCASTLE NOBBYS SIGNAL STATION,23/10/2011,3.7,0.0, ,22.4,17.0,93,70,3.97,21.15
NEWCASTLE NOBBYS SIGNAL STATION,24/10/2011,7.5,0.0, ,29.8,16.4,94,29,6.53,27.88
NEWCASTLE NOBBYS SIGNAL STATION,25/10/2011,4.2,0.0, ,26.2,19.0,99,49,7.90,10.57
NEWCASTLE NOBBYS SIGNAL STATION,26/10/2011,3.2,11.8, ,18.2,15.0,86,61,9.05,9.88
NEWCASTLE NOBBYS SIGNAL STATION,27/10/2011,4.0,0.8, ,19.6,14.8,80,63,6.91,20.39
NEWCASTLE NOBBYS SIGNAL STATION,28/10/2011,4.2,0.0, ,20.3,16.4,84,67,5.64,24.63
NEWCASTLE NOBBYS SIGNAL STATION,29/10/2011,4.0,0.0, ,26.3,16.1,94,59,4.16,17.20
NEWCASTLE NOBBYS SIGNAL STATION,30/10/2011,2.8,0.0, ,19.9,18.6,98,75,4.65,15.41
NEWCASTLE NOBBYS SIGNAL STATION,31/10/2011,4.3,10.2, ,19.0,15.2,86,63,7.07,25.74
Totals:,,125.6,79.2, ,,,,,, 
