'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWCASTLE NOBBYS SIGNAL STATION New South Wales for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWCASTLE NOBBYS SIGNAL STATION,01/08/2015,4.0,0.0, ,23.0,9.3,83,32,5.53,12.17
NEWCASTLE NOBBYS SIGNAL STATION,02/08/2015,5.4,0.0, ,26.7,12.7,76,26,6.49,12.99
NEWCASTLE NOBBYS SIGNAL STATION,03/08/2015,3.7,0.0, ,18.2,11.9,76,39,7.14,13.83
NEWCASTLE NOBBYS SIGNAL STATION,04/08/2015,2.5,0.0, ,13.9,10.1,63,47,4.22,8.54
NEWCASTLE NOBBYS SIGNAL STATION,05/08/2015,3.4,0.0, ,15.4,5.6,70,40,7.92,11.60
NEWCASTLE NOBBYS SIGNAL STATION,06/08/2015,3.0,0.0, ,16.4,7.5,81,36,5.08,13.92
NEWCASTLE NOBBYS SIGNAL STATION,07/08/2015, ,0.0, , ,6.4,78,41,4.29,14.14
NEWCASTLE NOBBYS SIGNAL STATION,08/08/2015, , , ,16.0, ,86,58,4.35,10.56
NEWCASTLE NOBBYS SIGNAL STATION,09/08/2015,1.9,0.0, ,16.9,7.0,93,59,2.74,13.88
NEWCASTLE NOBBYS SIGNAL STATION,10/08/2015,3.3,0.0, ,19.8,9.4,94,37,5.24,14.40
NEWCASTLE NOBBYS SIGNAL STATION,11/08/2015,3.5,0.0, ,22.3,9.2,85,29,3.85,14.28
NEWCASTLE NOBBYS SIGNAL STATION,12/08/2015,3.7,0.0, ,19.1,7.2,85,32,6.14,10.80
NEWCASTLE NOBBYS SIGNAL STATION,13/08/2015,4.6,0.0, ,20.0,8.9,76,32,8.08,14.95
NEWCASTLE NOBBYS SIGNAL STATION,14/08/2015,2.8,0.0, ,18.8,7.6,79,39,3.11,15.01
NEWCASTLE NOBBYS SIGNAL STATION,15/08/2015,1.6,0.0, ,16.9,7.8,95,68,3.16,7.76
NEWCASTLE NOBBYS SIGNAL STATION,16/08/2015,2.3,0.4, ,20.0,11.1,94,64,3.91,13.64
NEWCASTLE NOBBYS SIGNAL STATION,17/08/2015,3.4,0.0, ,20.1,9.9,93,37,5.02,15.12
NEWCASTLE NOBBYS SIGNAL STATION,18/08/2015,2.8,0.0, ,15.7,9.1,76,48,4.46,14.41
NEWCASTLE NOBBYS SIGNAL STATION,19/08/2015,2.5,0.0, ,18.6,8.4,91,52,3.27,15.38
NEWCASTLE NOBBYS SIGNAL STATION,20/08/2015,2.6,0.0, ,19.9,11.4,91,58,3.92,15.40
NEWCASTLE NOBBYS SIGNAL STATION,21/08/2015,2.9,0.0, ,22.2,9.3,98,52,3.89,15.72
NEWCASTLE NOBBYS SIGNAL STATION,22/08/2015,3.7,0.0, ,26.0,13.3,89,45,4.12,15.51
NEWCASTLE NOBBYS SIGNAL STATION,23/08/2015,1.2,7.2, ,16.1,15.3,98,73,4.01,2.89
NEWCASTLE NOBBYS SIGNAL STATION,24/08/2015,0.9,11.4, ,18.2,14.9,99,91,3.28,3.32
NEWCASTLE NOBBYS SIGNAL STATION,25/08/2015,3.2,4.0, ,20.3,14.7,98,54,7.36,14.81
NEWCASTLE NOBBYS SIGNAL STATION,26/08/2015,2.5,0.0, ,18.1,13.6,86,63,6.27,8.70
NEWCASTLE NOBBYS SIGNAL STATION,27/08/2015,2.7,0.0, ,18.3,13.2,85,56,6.37,7.17
NEWCASTLE NOBBYS SIGNAL STATION,28/08/2015,3.8,0.0, ,20.3,10.9,81,42,5.99,15.31
NEWCASTLE NOBBYS SIGNAL STATION,29/08/2015,3.7,0.0, ,19.9,9.8,81,44,5.35,17.25
NEWCASTLE NOBBYS SIGNAL STATION,30/08/2015,3.1,0.0, ,17.2,8.1,77,50,4.69,16.53
NEWCASTLE NOBBYS SIGNAL STATION,31/08/2015,2.8,0.0, ,17.1,11.3,78,51,4.39,12.68
Totals:,,87.5,23, ,,,,,, 
