'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORAH HEAD New South Wales for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORAH HEAD,01/04/2010, ,0.0, ,22.5,17.2,85,61,6.04, 
NORAH HEAD,02/04/2010, ,0.0, ,22.3,16.5,87,63,5.75, 
NORAH HEAD,03/04/2010, ,0.0, ,22.5,15.8,93,64,5.40, 
NORAH HEAD,04/04/2010, ,13.4, ,21.7,15.9,94,63,6.25, 
NORAH HEAD,05/04/2010, ,0.0, ,22.5,15.8,90,58,3.28, 
NORAH HEAD,06/04/2010, ,0.0, ,26.2,17.0,91,64,3.28, 
NORAH HEAD,07/04/2010, ,5.8, ,22.5,18.6,96,81,5.26, 
NORAH HEAD,08/04/2010, ,3.0, ,27.6,18.7,90,43,3.97, 
NORAH HEAD,09/04/2010, ,0.2, ,22.8,17.9,93,61,4.38, 
NORAH HEAD,10/04/2010, ,0.0, ,25.1,16.5,90,62,2.44, 
NORAH HEAD,11/04/2010, ,0.0, ,28.3,18.2,87,42,2.69, 
NORAH HEAD,12/04/2010, ,0.0, ,22.8,14.9,67,30,2.78, 
NORAH HEAD,13/04/2010, ,0.0, ,20.9,13.0,82,58,4.55, 
NORAH HEAD,14/04/2010, ,0.0, ,23.2,13.8,86,55,4.22, 
NORAH HEAD,15/04/2010, ,0.0, ,23.8,15.2,89,58,2.65, 
NORAH HEAD,16/04/2010, ,0.0, ,21.3,17.1,91,76,4.81, 
NORAH HEAD,17/04/2010, ,4.8, ,22.3,16.4,94,78,3.76, 
NORAH HEAD,18/04/2010, ,0.0, ,23.7,17.6,92,74,3.00, 
NORAH HEAD,19/04/2010, ,0.0, ,24.6,18.4,94,75,2.54, 
NORAH HEAD,20/04/2010, ,0.2, ,24.4,18.5,92,71,2.36, 
NORAH HEAD,21/04/2010, ,0.8, ,24.3,18.1,90,62,3.16, 
NORAH HEAD,22/04/2010, ,0.2, ,24.8,17.6,93,68,1.99, 
NORAH HEAD,23/04/2010, ,0.2, ,27.1,18.0,91,51,2.40, 
NORAH HEAD,24/04/2010, ,0.0, ,28.1,19.1,88,47,4.14, 
NORAH HEAD,25/04/2010, ,18.4, ,20.7,15.7,93,62,4.33, 
NORAH HEAD,26/04/2010, ,3.4, ,20.0,14.3,75,53,4.51, 
NORAH HEAD,27/04/2010, ,0.0, ,21.9,12.9,84,42,2.06, 
NORAH HEAD,28/04/2010, ,0.0, ,24.5,13.6,70,35,3.01, 
NORAH HEAD,29/04/2010, ,0.0, ,24.4,14.5,67,38,2.00, 
NORAH HEAD,30/04/2010, ,0.0, ,20.8,13.7,96,62,4.76, 
Totals:,, ,50.4, ,,,,,, 
