'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORAH HEAD New South Wales for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORAH HEAD,01/08/2013,2.1,0.0, ,17.0,9.7,89,60,3.25,15.62
NORAH HEAD,02/08/2013,2.3,0.0, ,20.0,10.7,87,44,2.35,14.78
NORAH HEAD,03/08/2013,2.5,0.0, ,18.8,10.8,66,38,2.15,16.29
NORAH HEAD,04/08/2013,2.7,0.0, ,19.4,10.2,73,40,2.79,15.92
NORAH HEAD,05/08/2013,2.7,0.0, ,20.3,8.6,78,39,2.43,16.55
NORAH HEAD,06/08/2013,3.3,0.0, ,22.5,10.2,81,32,3.53,15.19
NORAH HEAD,07/08/2013,2.3,0.0, ,18.0,12.2,93,49,3.19,15.06
NORAH HEAD,08/08/2013,1.7,16.6, ,13.8,9.4,94,62,4.96,8.15
NORAH HEAD,09/08/2013, ,5.2, ,18.8,9.3,70,45,2.59, 
NORAH HEAD,10/08/2013,3.0,0.0, ,22.3,12.3,84,34,2.38,17.49
NORAH HEAD,11/08/2013,2.8,0.0, ,20.4,11.1,83,51,2.59,17.86
NORAH HEAD,12/08/2013,3.9,0.0, ,26.3,12.7,82,31,3.87,13.08
NORAH HEAD,13/08/2013,3.4,0.0, ,20.7,8.9,58,31,2.78,18.34
NORAH HEAD,14/08/2013,3.8,0.0, ,20.8,11.4,63,36,3.89,18.41
NORAH HEAD,15/08/2013,3.7,0.0, ,15.7,10.8,67,36,5.36,18.85
NORAH HEAD,16/08/2013,3.9,0.0, ,19.4,7.4,81,38,5.60,18.96
NORAH HEAD,17/08/2013,4.2,0.0, ,23.4,12.9,83,30,4.33,18.16
NORAH HEAD,18/08/2013,3.8,0.0, ,22.5,10.6,64,33,2.91,19.31
NORAH HEAD,19/08/2013,4.6,0.0, ,22.3,13.1,67,31,5.09,18.39
NORAH HEAD,20/08/2013, ,0.0, , ,7.9,56,28,3.20,20.04
NORAH HEAD,21/08/2013, , , ,17.0, ,70,38,2.52,19.50
NORAH HEAD,22/08/2013,2.9,0.0, ,18.6,7.6,74,36,2.75,17.20
NORAH HEAD,23/08/2013, ,0.0, , ,11.4,63,39,3.25,13.47
NORAH HEAD,24/08/2013, , , , , , , , ,19.99
NORAH HEAD,25/08/2013, , , , , , , , ,20.40
NORAH HEAD,26/08/2013, , , , , , , , ,20.55
NORAH HEAD,27/08/2013, , , ,20.4, ,90,52,2.99,20.69
NORAH HEAD,28/08/2013,3.4,0.0, ,19.9,11.9,91,50,3.99,20.70
NORAH HEAD,29/08/2013,3.1,0.0, ,21.2,12.6,91,70,5.51,20.38
NORAH HEAD,30/08/2013,5.7,0.2, ,27.7,16.4,83,32,5.64,21.10
NORAH HEAD,31/08/2013,3.8,0.0, ,23.2,14.7,77,37,3.01,18.89
Totals:,,75.6,22, ,,,,,, 
