'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION,01/12/2013,4.6,0.0, ,22.2,10.8,97,51,3.33,26.07
NOWRA RAN AIR STATION,02/12/2013,5.7,0.0, ,25.6,10.0,99,45,2.74,32.34
NOWRA RAN AIR STATION,03/12/2013,6.7,0.0, ,27.2,10.7,99,47,3.43,37.08
NOWRA RAN AIR STATION,04/12/2013,7.8,0.0, ,35.8,15.0,100,12,3.63,23.93
NOWRA RAN AIR STATION,05/12/2013,5.4,5.4, ,23.1,16.9,100,30,6.00,21.21
NOWRA RAN AIR STATION,06/12/2013,6.3,0.0, ,22.8,9.8,91,27,4.22,34.00
NOWRA RAN AIR STATION,07/12/2013,6.4,0.0, ,23.9,9.4,87,35,3.53,35.93
NOWRA RAN AIR STATION,08/12/2013,6.8,0.0, ,27.8,12.4,95,43,2.78,36.36
NOWRA RAN AIR STATION,09/12/2013,3.8,0.0, ,28.6,15.6,94,30,2.01,12.38
NOWRA RAN AIR STATION,10/12/2013,9.6,0.0, ,29.4,19.0,91,13,7.17,35.68
NOWRA RAN AIR STATION,11/12/2013,8.6,0.0, ,28.9,13.2,99,20,5.63,36.67
NOWRA RAN AIR STATION,12/12/2013,7.0,0.0, ,26.3,13.0,97,35,3.97,36.03
NOWRA RAN AIR STATION,13/12/2013,6.6,0.0, ,26.9,13.9,100,52,3.46,36.23
NOWRA RAN AIR STATION,14/12/2013,2.5,0.0, ,21.2,17.5,100,73,5.04,11.03
NOWRA RAN AIR STATION,15/12/2013,2.2,7.2, ,19.8,15.6,100,75,3.04,11.05
NOWRA RAN AIR STATION,16/12/2013,2.5,0.2, ,22.0,14.7,100,73,2.76,11.76
NOWRA RAN AIR STATION,17/12/2013,6.7,1.6, ,27.4,14.4,100,47,3.05,36.13
NOWRA RAN AIR STATION,18/12/2013,5.6,0.0, ,27.2,14.8,100,49,3.01,28.46
NOWRA RAN AIR STATION,19/12/2013,7.1,0.0, ,29.5,12.6,99,47,2.79,37.12
NOWRA RAN AIR STATION,20/12/2013,9.3,0.0, ,40.5,16.6,100,12,3.63,28.59
NOWRA RAN AIR STATION,21/12/2013,5.7,0.2, ,26.7,19.6,100,51,5.05,27.14
NOWRA RAN AIR STATION,22/12/2013,5.3,1.0, ,30.5,17.6,100,59,2.13,25.85
NOWRA RAN AIR STATION,23/12/2013,2.6,0.0, ,26.9,20.1,100,64,3.14,8.59
NOWRA RAN AIR STATION,24/12/2013,3.2,11.0, ,20.8,15.2,100,57,3.09,15.47
NOWRA RAN AIR STATION,25/12/2013,2.1,0.0, ,21.3,14.2,100,76,2.57,10.02
NOWRA RAN AIR STATION,26/12/2013,5.2,31.0, ,25.5,16.9,100,60,2.96,28.51
NOWRA RAN AIR STATION,27/12/2013,5.7,5.2, ,25.8,15.0,100,57,3.39,32.44
NOWRA RAN AIR STATION,28/12/2013,6.6,0.0, ,27.4,13.5,100,55,2.92,36.63
NOWRA RAN AIR STATION,29/12/2013,6.6,0.0, ,22.9,16.1,100,44,5.96,37.63
NOWRA RAN AIR STATION,30/12/2013,6.5,0.0, ,24.3,11.0,97,47,3.44,37.86
NOWRA RAN AIR STATION,31/12/2013,5.0,0.0, ,25.2,14.9,99,55,3.29,26.72
Totals:,,175.7,62.8, ,,,,,, 
