'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION New South Wales for July 2015,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 August 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION,01/07/2015,1.5,0.2, ,15.1,4.1,91,56,3.69,9.36
NOWRA RAN AIR STATION,02/07/2015,2.8,0.0, ,14.6,6.1,73,43,7.29,9.48
NOWRA RAN AIR STATION,03/07/2015,1.5,0.0, ,12.9,2.4,97,43,3.37,10.24
NOWRA RAN AIR STATION,04/07/2015,2.1,0.0, ,15.0,2.0,87,38,4.29,9.43
NOWRA RAN AIR STATION,05/07/2015,2.3,0.0, ,17.2,5.4,88,42,4.67,10.01
NOWRA RAN AIR STATION,06/07/2015,2.7,0.0, ,16.3,4.6,83,39,5.75,10.03
NOWRA RAN AIR STATION,07/07/2015,1.3,0.0, ,13.8,6.9,98,63,4.03,7.04
NOWRA RAN AIR STATION,08/07/2015,1.1,0.0, ,14.5,4.3,99,62,2.32,7.90
NOWRA RAN AIR STATION,09/07/2015,1.5,0.2, ,16.2,4.1,99,51,2.66,10.26
NOWRA RAN AIR STATION,10/07/2015,0.8,0.0, ,11.9,2.1,99,79,2.93,3.25
NOWRA RAN AIR STATION,11/07/2015,1.7,3.4, ,18.0,6.1,99,50,3.19,10.18
NOWRA RAN AIR STATION,12/07/2015,2.2,0.4, ,12.2,7.1,87,50,7.90,6.39
NOWRA RAN AIR STATION,13/07/2015,3.1,7.8, ,17.3,5.9,92,42,8.82,9.84
NOWRA RAN AIR STATION,14/07/2015,3.2,0.0, ,13.9,9.5,64,43,8.24,10.71
NOWRA RAN AIR STATION,15/07/2015,1.7,0.0, ,15.1,5.8,94,52,4.00,9.90
NOWRA RAN AIR STATION,16/07/2015,1.1,0.0, ,12.6,4.5,99,67,3.29,5.99
NOWRA RAN AIR STATION,17/07/2015,1.9,61.6, ,13.9,7.6,99,51,6.67,8.55
NOWRA RAN AIR STATION,18/07/2015,1.5,0.0, ,13.3,5.9,97,56,4.39,8.80
NOWRA RAN AIR STATION,19/07/2015,1.0,0.4, ,13.7,6.9,99,69,2.58,6.77
NOWRA RAN AIR STATION,20/07/2015,1.6,0.2, ,16.1,4.5,99,53,3.14,10.87
NOWRA RAN AIR STATION,21/07/2015,1.8,0.2, ,18.7,4.2,99,49,2.66,11.01
NOWRA RAN AIR STATION,22/07/2015,1.4,0.2, ,18.6,5.4,99,55,2.06,7.55
NOWRA RAN AIR STATION,23/07/2015,1.2,1.6, ,16.2,10.1,99,68,2.32,6.51
NOWRA RAN AIR STATION,24/07/2015,1.7,0.2, ,19.3,6.9,99,49,2.59,7.37
NOWRA RAN AIR STATION,25/07/2015,3.1,0.0, ,18.0,6.6,99,39,7.72,11.66
NOWRA RAN AIR STATION,26/07/2015,4.2,0.0, ,18.0,11.0,61,42,9.38,11.40
NOWRA RAN AIR STATION,27/07/2015,3.1,0.0, ,13.7,5.7,66,40,7.39,11.91
NOWRA RAN AIR STATION,28/07/2015,2.4,0.0, ,16.6,5.8,90,38,4.33,11.75
NOWRA RAN AIR STATION,29/07/2015,2.0,0.0, ,17.1,5.9,97,44,3.16,11.86
NOWRA RAN AIR STATION,30/07/2015,3.5,0.0, ,18.5,5.4,93,27,6.29,10.96
NOWRA RAN AIR STATION,31/07/2015,2.5,0.0, ,18.6,8.8,99,40,4.50,11.82
Totals:,,63.5,76.4, ,,,,,, 
