'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION  New South Wales for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION ,01/11/2009,5.8,0.0, ,29.1,12.4,98,47,3.75,28.07
NOWRA RAN AIR STATION ,02/11/2009,4.1,0.0, ,27.3,16.8,93,66,2.87,20.33
NOWRA RAN AIR STATION ,03/11/2009,10.3,1.4, ,37.7,16.2,100,13,6.42,26.95
NOWRA RAN AIR STATION ,04/11/2009,2.1,0.4, ,17.4,15.4,100,76,2.79,11.34
NOWRA RAN AIR STATION ,05/11/2009,2.2,11.2, ,16.2,13.2,100,86,3.89,15.91
NOWRA RAN AIR STATION ,06/11/2009,3.0,2.2, ,20.2,13.3,99,57,2.58,15.21
NOWRA RAN AIR STATION ,07/11/2009,4.4,0.2, ,23.9,12.0,99,47,2.84,23.04
NOWRA RAN AIR STATION ,08/11/2009,4.0,0.4, ,23.7,11.0,99,64,2.82,23.57
NOWRA RAN AIR STATION ,09/11/2009,5.6,0.0, ,26.4,12.5,100,50,3.21,31.34
NOWRA RAN AIR STATION ,10/11/2009,6.1,0.0, ,26.7,11.4,99,31,2.92,31.81
NOWRA RAN AIR STATION ,11/11/2009,6.0,0.0, ,27.2,10.0,97,35,2.68,31.69
NOWRA RAN AIR STATION ,12/11/2009, ,0.0, ,35.9,12.9,99,15,4.15, 
NOWRA RAN AIR STATION ,13/11/2009,4.5,3.6, ,20.9,16.8,95,57,4.81,25.18
NOWRA RAN AIR STATION ,14/11/2009,6.9,0.0, ,29.6,10.6,97,31,3.68,31.92
NOWRA RAN AIR STATION ,15/11/2009,4.5,0.0, ,24.6,11.9,99,55,3.32,24.05
NOWRA RAN AIR STATION ,16/11/2009, ,0.0, ,31.5,17.3,99,42,3.83, 
NOWRA RAN AIR STATION ,17/11/2009, ,0.0, ,23.3,15.1,94,38,4.57, 
NOWRA RAN AIR STATION ,18/11/2009, ,0.4, ,25.4,14.9,95,50,2.99, 
NOWRA RAN AIR STATION ,19/11/2009, ,0.0, ,32.9,13.9,99,28,2.65, 
NOWRA RAN AIR STATION ,20/11/2009, ,0.0, ,38.4,17.3,97,22,4.71, 
NOWRA RAN AIR STATION ,21/11/2009, ,0.0, ,30.6,17.2,89,36,2.59, 
NOWRA RAN AIR STATION ,22/11/2009, ,0.0, ,40.9,17.1,99,14,6.85, 
NOWRA RAN AIR STATION ,23/11/2009, ,0.2, ,20.4,15.8,91,57,4.26, 
NOWRA RAN AIR STATION ,24/11/2009, ,1.4, ,22.9,14.9,94,55,2.71, 
NOWRA RAN AIR STATION ,25/11/2009, ,0.0, ,28.4,13.6,99,53,3.32, 
NOWRA RAN AIR STATION ,26/11/2009, ,0.0, ,27.9,14.5,100,58,2.94, 
NOWRA RAN AIR STATION ,27/11/2009, ,8.0, ,31.6,17.3,98,29,6.42, 
NOWRA RAN AIR STATION ,28/11/2009,10.7,0.0, ,37.3,14.9,90,13,5.85,31.29
NOWRA RAN AIR STATION ,29/11/2009,6.5,0.0, ,26.7,12.4,90,25,5.76,22.14
NOWRA RAN AIR STATION ,30/11/2009,4.9,0.0, ,21.8,15.7,92,50,6.61,23.46
Totals:,,91.6,29.4, ,,,,,, 
