'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/04/2009,1.1,31.8, ,15.1,10.9,99,98,7.51,10.75
NULLO MOUNTAIN,02/04/2009,1.5,11.0, ,16.3,13.7,99,96,6.11,14.22
NULLO MOUNTAIN,03/04/2009,3.1,3.0, ,21.9,13.5,99,72,4.34,19.81
NULLO MOUNTAIN,04/04/2009,2.7,1.2, ,20.6,12.9,99,73,4.26,17.88
NULLO MOUNTAIN,05/04/2009,2.9,0.0, ,19.2,10.0,99,64,3.35,20.11
NULLO MOUNTAIN,06/04/2009,2.3,0.2, ,14.6,6.8,99,66,4.41,18.22
NULLO MOUNTAIN,07/04/2009,1.8,0.0, ,13.4,8.8,99,82,5.47,16.67
NULLO MOUNTAIN,08/04/2009,2.8,0.0, ,15.4,7.1,97,59,4.83,21.37
NULLO MOUNTAIN,09/04/2009,2.3,0.2, ,14.9,8.3,99,66,3.94,17.75
NULLO MOUNTAIN,10/04/2009,2.4,0.2, ,18.1,8.0,99,64,1.77,17.34
NULLO MOUNTAIN,11/04/2009,2.0,0.4, ,16.9,11.0,98,67,2.20,12.13
NULLO MOUNTAIN,12/04/2009,2.0,5.8, ,17.4,12.6,99,70,1.84,13.03
NULLO MOUNTAIN,13/04/2009,1.2,0.0, ,14.0,12.7,98,90,2.85,7.16
NULLO MOUNTAIN,14/04/2009,1.9,1.2, ,17.1,10.9,98,78,2.60,13.16
NULLO MOUNTAIN,15/04/2009, ,0.4, , ,10.3,99,42,3.77,20.18
NULLO MOUNTAIN,16/04/2009, , , ,19.1, ,74,36,3.65,20.15
NULLO MOUNTAIN,17/04/2009,3.4,0.0, ,19.4,9.8,94,28,3.17,19.97
NULLO MOUNTAIN,18/04/2009,2.5,0.0, ,15.7,8.7,95,58,4.15,18.12
NULLO MOUNTAIN,19/04/2009,1.7,0.0, ,13.0,8.4,98,80,6.09,16.00
NULLO MOUNTAIN,20/04/2009,1.8,3.4, ,12.9,7.3,99,74,6.96,15.30
NULLO MOUNTAIN,21/04/2009,1.5,0.8, ,12.8,7.8,99,82,6.50,14.29
NULLO MOUNTAIN,22/04/2009,1.6,5.0, ,12.4,8.1,99,78,4.88,14.74
NULLO MOUNTAIN,23/04/2009,1.9,0.0, ,14.1,7.4,98,72,4.58,16.86
NULLO MOUNTAIN,24/04/2009,2.2,0.2, ,17.1,6.6,95,65,4.86,14.55
NULLO MOUNTAIN,25/04/2009,2.0,2.0, ,13.3,7.7,90,68,5.99,13.48
NULLO MOUNTAIN,26/04/2009,1.5,2.4, ,8.1,5.6,99,68,6.20,12.56
NULLO MOUNTAIN,27/04/2009,1.8,0.6, ,9.5,1.6,91,58,4.84,15.39
NULLO MOUNTAIN,28/04/2009,2.0,0.0, ,12.7,3.5,98,57,4.41,14.46
NULLO MOUNTAIN,29/04/2009,1.5,0.0, ,10.5,0.8,97,67,3.10,12.87
NULLO MOUNTAIN,30/04/2009,1.9,3.6, ,11.7,4.5,99,56,3.54,16.28
Totals:,,57.3,73.4, ,,,,,, 
