'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/03/2010,1.8,0.0, ,12.7,10.5,100,80,6.08,12.64
NULLO MOUNTAIN,02/03/2010,1.8,3.0, ,11.4,7.7,100,81,8.03,16.80
NULLO MOUNTAIN,03/03/2010,2.4,2.4, ,16.0,8.6,100,79,6.84,19.18
NULLO MOUNTAIN,04/03/2010,3.3,0.8, ,19.6,10.4,100,73,5.97,22.89
NULLO MOUNTAIN,05/03/2010,2.1,0.0, ,16.1,12.6,100,87,2.01,13.38
NULLO MOUNTAIN,06/03/2010,3.1,33.8, ,21.4,14.2,100,77,2.02,18.63
NULLO MOUNTAIN,07/03/2010,2.2,0.2, ,19.4,15.7,100,95,1.92,13.97
NULLO MOUNTAIN,08/03/2010,2.9,4.4, ,19.8,16.3,100,68,4.01,15.65
NULLO MOUNTAIN,09/03/2010,3.6,2.4, ,18.8,10.7,93,67,2.85,24.49
NULLO MOUNTAIN,10/03/2010,3.5,0.0, ,18.2,9.0,100,67,4.20,25.66
NULLO MOUNTAIN,11/03/2010,2.3,0.6, ,13.9,8.8,100,79,6.72,19.30
NULLO MOUNTAIN,12/03/2010,3.0,0.4, ,16.1,8.9,98,70,6.51,23.30
NULLO MOUNTAIN,13/03/2010,3.0,0.6, ,16.6,9.5,100,70,4.48,22.33
NULLO MOUNTAIN,14/03/2010,2.4,0.8, ,15.4,10.0,100,79,4.60,18.11
NULLO MOUNTAIN,15/03/2010,3.4,0.0, ,20.0,10.2,99,56,2.59,21.14
NULLO MOUNTAIN,16/03/2010,3.9,0.0, ,19.0,10.8,94,52,2.67,26.11
NULLO MOUNTAIN,17/03/2010,4.5,0.0, ,22.0,9.7,80,47,3.09,26.68
NULLO MOUNTAIN,18/03/2010,4.9,0.0, ,22.8,11.3,81,25,2.78,26.19
NULLO MOUNTAIN,19/03/2010,4.1,0.0, ,23.3,10.1,93,41,1.56,25.44
NULLO MOUNTAIN,20/03/2010,4.3,0.0, ,25.0,12.6,76,43,1.57,25.13
NULLO MOUNTAIN,21/03/2010,4.2,0.0, ,24.3,15.3,69,43,1.79,23.45
NULLO MOUNTAIN,22/03/2010,3.9,0.0, ,22.7,11.8,99,48,2.21,23.16
NULLO MOUNTAIN,23/03/2010,4.0,0.0, ,23.2,11.3,100,29,1.52,24.59
NULLO MOUNTAIN,24/03/2010,4.0,0.0, ,23.3,11.1,98,47,2.61,23.70
NULLO MOUNTAIN,25/03/2010,3.9,0.0, ,23.1,12.8,98,52,2.31,23.50
NULLO MOUNTAIN,26/03/2010,3.8,0.0, ,24.6,14.5,78,47,1.46,22.21
NULLO MOUNTAIN,27/03/2010,4.2,0.0, ,26.2,16.9,98,31,2.02,21.66
NULLO MOUNTAIN,28/03/2010,3.8,0.0, ,24.3,14.6,98,50,2.32,21.01
NULLO MOUNTAIN,29/03/2010,2.5,1.4, ,21.3,15.1,98,69,2.91,12.81
NULLO MOUNTAIN,30/03/2010,1.4,26.2, ,14.8,13.2,100,84,2.38,7.78
NULLO MOUNTAIN,31/03/2010,1.7,20.0, ,14.4,11.7,100,85,3.87,12.35
Totals:,,99.9,97, ,,,,,, 
