'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/02/2013,3.2,0.6, ,24.8,16.1,100,59,4.17,11.69
NULLO MOUNTAIN,02/02/2013,1.5,22.4, ,12.7,8.8,100,82,4.00,8.71
NULLO MOUNTAIN,03/02/2013,3.8,0.0, ,18.3,6.9,95,58,3.66,24.64
NULLO MOUNTAIN,04/02/2013,4.0,0.0, ,19.2,9.8,99,53,4.28,23.04
NULLO MOUNTAIN,05/02/2013,4.4,0.0, ,20.6,9.7,100,48,4.08,24.70
NULLO MOUNTAIN,06/02/2013,4.5,0.0, ,21.2,10.4,100,52,3.20,26.52
NULLO MOUNTAIN,07/02/2013,5.0,0.0, ,24.8,10.9,96,37,1.76,28.02
NULLO MOUNTAIN,08/02/2013,5.3,0.0, ,27.6,14.7,69,33,1.32,27.71
NULLO MOUNTAIN,09/02/2013,4.8,0.0, ,28.2,16.8,87,42,1.61,22.86
NULLO MOUNTAIN,10/02/2013,5.5,3.8, ,27.1,16.2,99,38,3.13,25.68
NULLO MOUNTAIN,11/02/2013,2.7,14.2, ,18.7,12.6,100,81,4.06,17.51
NULLO MOUNTAIN,12/02/2013,3.5,0.0, ,19.6,13.0,100,74,4.60,22.60
NULLO MOUNTAIN,13/02/2013,3.0,2.4, ,17.3,11.3,100,70,4.65,19.04
NULLO MOUNTAIN,14/02/2013,4.3,0.0, ,19.5,9.7,100,57,4.32,27.60
NULLO MOUNTAIN,15/02/2013,4.0,0.0, ,21.4,11.6,100,58,4.73,21.91
NULLO MOUNTAIN,16/02/2013,4.1,0.0, ,20.4,11.7,100,60,5.17,24.68
NULLO MOUNTAIN,17/02/2013,4.3,0.6, ,19.7,11.6,100,47,4.55,24.56
NULLO MOUNTAIN,18/02/2013,4.1,0.0, ,20.4,11.3,100,57,4.99,24.50
NULLO MOUNTAIN,19/02/2013, ,0.0, , ,10.7,100,42,2.34,25.96
NULLO MOUNTAIN,20/02/2013, ,0.0, , , ,100,65,4.76,23.16
NULLO MOUNTAIN,21/02/2013, ,2.4, , , ,100,77,5.86,22.58
NULLO MOUNTAIN,22/02/2013, ,5.8, ,15.2, ,100,95,6.94,11.75
NULLO MOUNTAIN,23/02/2013,0.9,29.6, ,16.5,11.9,100,100,5.58,5.83
NULLO MOUNTAIN,24/02/2013,3.4,80.6, ,23.1,14.2,100,75,3.42,19.35
NULLO MOUNTAIN,25/02/2013,3.2,2.6, ,23.6,16.2,100,67,2.42,16.51
NULLO MOUNTAIN,26/02/2013,2.6,3.8, ,20.8,16.3,100,78,2.32,14.16
NULLO MOUNTAIN,27/02/2013,3.7,0.0, ,23.8,15.7,100,61,2.43,19.52
NULLO MOUNTAIN,28/02/2013,1.9,0.0, ,19.9,16.3,100,69,3.70,6.88
Totals:,,87.7,168.8, ,,,,,, 
