'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/06/2015,1.5,0.2, ,6.3,3.1,96,39,4.34,12.20
NULLO MOUNTAIN,02/06/2015,1.2,0.0, ,6.9,-1.8,87,47,2.13,12.22
NULLO MOUNTAIN,03/06/2015,1.0,0.0, ,10.0,-1.4,95,54,1.40,11.04
NULLO MOUNTAIN,04/06/2015,1.1,0.2, ,10.1,-1.2,94,47,1.54,11.99
NULLO MOUNTAIN,05/06/2015, ,0.8, , ,1.1,99,85,2.64,5.38
NULLO MOUNTAIN,06/06/2015, , , ,11.7, ,99,68,2.49,11.59
NULLO MOUNTAIN,07/06/2015,1.4,0.2, ,13.5,3.7,98,60,2.92,11.66
NULLO MOUNTAIN,08/06/2015,1.4,0.4, ,12.8,6.9,99,64,3.99,11.21
NULLO MOUNTAIN,09/06/2015,1.7,0.0, ,12.9,6.5,94,46,3.85,11.73
NULLO MOUNTAIN,10/06/2015,0.9,0.0, ,9.5,2.7,100,79,4.55,10.12
NULLO MOUNTAIN,11/06/2015,0.8,0.4, ,8.9,4.5,100,84,4.65,9.61
NULLO MOUNTAIN,12/06/2015,0.8,0.0, ,9.4,5.0,100,84,4.75,9.50
NULLO MOUNTAIN,13/06/2015,1.0,0.0, ,12.2,3.9,99,69,1.64,9.98
NULLO MOUNTAIN,14/06/2015,1.2,0.2, ,14.6,3.0,99,58,1.64,10.94
NULLO MOUNTAIN,15/06/2015,1.0,0.2, ,11.2,4.3,100,75,3.81,9.08
NULLO MOUNTAIN,16/06/2015,0.5,4.8, ,10.1,7.5,100,94,2.69,2.90
NULLO MOUNTAIN,17/06/2015,0.4,31.2, ,9.5,8.3,100,99,3.91,3.58
NULLO MOUNTAIN,18/06/2015,0.6,8.0, ,7.0,4.8,100,89,2.65,4.96
NULLO MOUNTAIN,19/06/2015,0.6,0.8, ,7.1,3.3,99,89,2.15,7.25
NULLO MOUNTAIN,20/06/2015,0.8,0.6, ,7.0,0.7,96,74,2.12,8.49
NULLO MOUNTAIN,21/06/2015,0.8,0.2, ,8.7,-0.1,99,73,1.46,8.66
NULLO MOUNTAIN,22/06/2015,1.1,0.2, ,10.8,1.9,98,55,1.92,11.31
NULLO MOUNTAIN,23/06/2015,1.2,0.0, ,11.9,4.4,88,72,3.12,9.71
NULLO MOUNTAIN,24/06/2015,1.0,0.0, ,10.9,6.1,98,73,3.11,7.36
NULLO MOUNTAIN,25/06/2015,1.1,0.6, ,13.2,4.3,100,57,1.96,9.25
NULLO MOUNTAIN,26/06/2015, ,0.0, , ,5.2,100,69,3.02,10.92
NULLO MOUNTAIN,27/06/2015, ,0.4, ,11.8, ,99,42,1.16,11.64
NULLO MOUNTAIN,28/06/2015,1.2,0.0, ,13.1,2.1,99,26,1.29,11.43
NULLO MOUNTAIN,29/06/2015,1.1,0.2, ,12.2,2.6,99,68,2.48,11.46
NULLO MOUNTAIN,30/06/2015,0.9,0.2, ,11.9,2.7,94,60,1.11,8.68
Totals:,,26.3,49.8, ,,,,,, 
