'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORANGE AIRPORT New South Wales for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORANGE AIRPORT,01/11/2015,4.8,3.4, ,24.1,9.8,94,56,5.22,25.48
ORANGE AIRPORT,02/11/2015,4.1,4.8, ,23.2,13.0,93,53,4.09,19.21
ORANGE AIRPORT,03/11/2015,2.8,0.0, ,23.0,10.1,93,67,3.06,12.98
ORANGE AIRPORT,04/11/2015,1.2,8.2, ,17.0,13.4,93,92,3.97,5.09
ORANGE AIRPORT,05/11/2015,3.0,11.2, ,21.7,12.2,93,73,4.35,15.66
ORANGE AIRPORT,06/11/2015,2.8,13.2, ,20.2,10.7,94,72,3.57,14.57
ORANGE AIRPORT,07/11/2015,5.3,5.8, ,20.8,13.0,93,41,5.02,29.63
ORANGE AIRPORT,08/11/2015,3.8,0.0, ,18.8,6.8,93,58,3.83,23.29
ORANGE AIRPORT,09/11/2015,4.9,0.0, ,21.6,5.5,93,29,2.38,28.62
ORANGE AIRPORT,10/11/2015,5.3,0.0, ,25.1,7.2,92,43,2.70,29.28
ORANGE AIRPORT,11/11/2015,3.6,0.0, ,21.0,11.3,92,54,3.90,17.11
ORANGE AIRPORT,12/11/2015,2.7,0.8, ,20.5,12.1,93,65,4.10,11.39
ORANGE AIRPORT,13/11/2015,3.3,11.2, ,20.6,11.7,93,69,3.73,18.44
ORANGE AIRPORT,14/11/2015,2.2,12.2, ,17.7,8.9,93,75,3.51,11.71
ORANGE AIRPORT,15/11/2015,3.5,5.8, ,16.9,9.1,93,65,5.10,23.41
ORANGE AIRPORT,16/11/2015,4.7,0.0, ,19.3,6.8,93,43,2.76,30.18
ORANGE AIRPORT,17/11/2015,4.9,0.0, ,21.9,4.8,93,40,2.46,29.96
ORANGE AIRPORT,18/11/2015,7.5,0.0, ,28.9,9.4,81,21,4.97,28.92
ORANGE AIRPORT,19/11/2015,6.9,0.0, ,31.9,12.2,68,22,2.63,28.91
ORANGE AIRPORT,20/11/2015,9.1,0.0, ,32.3,14.4,71,20,5.89,30.97
ORANGE AIRPORT,21/11/2015,6.3,0.0, ,22.4,12.0,93,28,4.85,32.51
ORANGE AIRPORT,22/11/2015,5.1,0.0, ,23.1,10.5,93,40,3.94,24.92
ORANGE AIRPORT,23/11/2015,6.3,0.0, ,22.3,5.6,73,23,4.30,32.81
ORANGE AIRPORT,24/11/2015,5.9,0.0, ,24.2,4.5,84,21,2.54,32.30
ORANGE AIRPORT,25/11/2015,7.4,0.0, ,27.5,5.9,73,16,3.92,33.27
ORANGE AIRPORT,26/11/2015,6.2,0.0, ,24.5,11.7,63,30,5.92,19.88
ORANGE AIRPORT,27/11/2015,6.0,0.0, ,21.3,0.1,82,18,3.62,33.89
ORANGE AIRPORT,28/11/2015,5.6,0.0, ,24.9,7.1,93,36,3.42,28.05
ORANGE AIRPORT,29/11/2015,6.4,0.0, ,25.0,11.1,93,24,3.53,32.13
ORANGE AIRPORT,30/11/2015,6.8,0.0, ,27.4,5.9,86,18,3.11,32.76
Totals:,,148.4,76.6, ,,,,,, 
