'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORANGE AIRPORT New South Wales for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORANGE AIRPORT,01/01/2016,7.1,0.0, ,31.2,12.8,88,12,2.44,31.72
ORANGE AIRPORT,02/01/2016,5.0,0.0, ,26.0,14.3,93,18,3.09,17.19
ORANGE AIRPORT,03/01/2016,3.2,0.0, ,18.8,12.2,92,49,5.45,10.25
ORANGE AIRPORT,04/01/2016,2.9,0.0, ,19.3,12.2,93,64,4.93,12.67
ORANGE AIRPORT,05/01/2016,2.5,11.4, ,18.3,12.4,93,73,5.96,11.46
ORANGE AIRPORT,06/01/2016,3.4,14.2, ,20.5,12.2,93,63,5.57,15.47
ORANGE AIRPORT,07/01/2016, ,0.0, , ,9.6,93,43,4.77,27.43
ORANGE AIRPORT,08/01/2016, ,0.0, ,25.2, ,93,28,1.75,32.19
ORANGE AIRPORT,09/01/2016,6.0,0.0, ,28.7,11.0,93,25,2.10,29.32
ORANGE AIRPORT,10/01/2016,6.7,0.0, ,30.0,12.2,93,27,2.50,31.64
ORANGE AIRPORT,11/01/2016,7.6,0.0, ,32.5,15.4,79,23,3.99,27.24
ORANGE AIRPORT,12/01/2016,8.0,0.0, ,32.4,17.3,58,19,4.63,23.97
ORANGE AIRPORT,13/01/2016,8.4,0.0, ,34.4,14.2,93,19,3.91,31.81
ORANGE AIRPORT,14/01/2016,5.5,0.0, ,32.1,18.1,93,35,5.61,10.80
ORANGE AIRPORT,15/01/2016,5.4,13.2, ,20.6,9.5,93,40,5.72,29.54
ORANGE AIRPORT,16/01/2016,4.1,0.0, ,19.4,7.5,93,53,6.20,21.78
ORANGE AIRPORT,17/01/2016,4.9,0.0, ,22.8,7.3,93,39,2.82,26.49
ORANGE AIRPORT,18/01/2016,5.5,0.0, ,26.2,8.0,93,27,1.61,30.51
ORANGE AIRPORT,19/01/2016,6.5,0.0, ,30.1,9.6,93,24,2.88,28.82
ORANGE AIRPORT,20/01/2016,8.4,0.0, ,31.6,15.3,60,19,4.64,29.51
ORANGE AIRPORT,21/01/2016,5.5,0.0, ,31.7,17.5,93,40,4.19,17.70
ORANGE AIRPORT,22/01/2016,2.5,6.2, ,25.9,18.1,94,73,3.53,8.48
ORANGE AIRPORT,23/01/2016,5.3,14.8, ,24.8,16.2,93,49,5.32,24.63
ORANGE AIRPORT,24/01/2016,5.1,0.0, ,26.7,12.6,94,43,2.68,24.35
ORANGE AIRPORT,25/01/2016,5.2,0.0, ,26.8,15.8,93,50,4.22,22.89
ORANGE AIRPORT,26/01/2016,5.4,0.6, ,26.2,13.8,93,49,4.05,25.73
ORANGE AIRPORT,27/01/2016,1.3,0.0, ,17.8,14.6,93,84,4.30,3.77
ORANGE AIRPORT,28/01/2016,5.2,19.4, ,26.0,14.3,93,50,2.37,27.13
ORANGE AIRPORT,29/01/2016,3.4,0.0, ,23.3,14.0,93,64,3.97,15.25
ORANGE AIRPORT,30/01/2016,4.3,3.4, ,24.2,10.2,94,60,3.87,22.53
ORANGE AIRPORT,31/01/2016,3.7,3.8, ,19.4,7.9,93,52,3.66,20.01
Totals:,,148,87, ,,,,,, 
