'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORANGE AIRPORT New South Wales for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORANGE AIRPORT,01/05/2017,2.0,0.0, ,16.6,1.4,99,55,2.94,13.88
ORANGE AIRPORT,02/05/2017,1.9,0.0, ,15.0,3.5,99,61,4.15,12.67
ORANGE AIRPORT,03/05/2017,1.8,0.0, ,15.0,-1.8,98,58,3.81,12.39
ORANGE AIRPORT,04/05/2017,1.6,0.2, ,15.0,2.3,99,64,3.15,11.12
ORANGE AIRPORT,05/05/2017,1.6,0.0, ,16.4,2.7,99,62,1.81,13.22
ORANGE AIRPORT,06/05/2017,1.6,0.0, ,16.3,4.1,99,66,3.71,8.86
ORANGE AIRPORT,07/05/2017,2.2,1.2, ,11.3,5.2,97,38,4.95,13.73
ORANGE AIRPORT,08/05/2017,2.1,0.0, ,13.0,-4.5,96,26,2.72,13.60
ORANGE AIRPORT,09/05/2017,2.0,0.0, ,15.5,-0.3,98,42,2.69,13.50
ORANGE AIRPORT,10/05/2017,1.6,0.2, ,15.2,-2.2,99,46,1.65,13.38
ORANGE AIRPORT,11/05/2017,2.0,0.0, ,16.2,-0.5,97,43,2.89,13.14
ORANGE AIRPORT,12/05/2017,1.4,0.0, ,15.5,0.0,99,63,1.96,10.77
ORANGE AIRPORT,13/05/2017,1.1,0.0, ,14.5,4.7,99,68,1.66,6.04
ORANGE AIRPORT,14/05/2017,1.4,0.0, ,15.9,2.8,99,61,2.01,9.26
ORANGE AIRPORT,15/05/2017,1.3,0.0, ,13.7,2.1,99,63,2.40,8.25
ORANGE AIRPORT,16/05/2017,1.7,0.6, ,14.1,1.1,99,47,2.88,12.64
ORANGE AIRPORT,17/05/2017,1.5,0.0, ,16.1,-0.4,98,46,1.63,12.42
ORANGE AIRPORT,18/05/2017,1.7,0.0, ,16.8,0.5,99,62,3.77,12.11
ORANGE AIRPORT,19/05/2017,0.8,0.0, ,12.9,9.5,99,85,4.89,3.92
ORANGE AIRPORT,20/05/2017,1.4,16.2, ,16.6,5.4,99,64,2.61,9.63
ORANGE AIRPORT,21/05/2017,1.4,0.2, ,16.0,1.4,99,49,1.47,10.75
ORANGE AIRPORT,22/05/2017,1.3,0.0, ,15.9,1.6,99,62,2.07,9.77
ORANGE AIRPORT,23/05/2017,1.6,0.2, ,16.5,3.4,99,63,3.54,11.50
ORANGE AIRPORT,24/05/2017,1.5,0.0, ,12.8,6.7,99,65,5.53,9.65
ORANGE AIRPORT,25/05/2017,1.5,0.0, ,12.6,5.1,97,63,5.13,11.69
ORANGE AIRPORT,26/05/2017,1.4,0.0, ,13.0,2.9,99,64,4.34,11.95
ORANGE AIRPORT,27/05/2017,1.5,0.2, ,15.5,-1.2,99,51,2.44,11.87
ORANGE AIRPORT,28/05/2017,1.8,0.2, ,15.0,1.0,99,57,4.99,9.42
ORANGE AIRPORT,29/05/2017,1.1,0.8, ,7.4,2.6,96,68,5.20,11.66
ORANGE AIRPORT,30/05/2017,1.1,0.2, ,8.5,-5.0,99,67,4.29,11.54
ORANGE AIRPORT,31/05/2017,1.2,0.4, ,7.6,1.0,99,59,4.71,9.26
Totals:,,48.1,20.6, ,,,,,, 
