'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARKES AIRPORT New South Wales for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARKES AIRPORT,01/10/2010,2.4,0.0, ,18.0,1.0,99,48,0.82,16.73
PARKES AIRPORT,02/10/2010,3.3,1.0, ,21.0,9.0,99,49,2.63,18.66
PARKES AIRPORT,03/10/2010,2.8,2.0, ,19.0,12.0,90,62,4.58,13.13
PARKES AIRPORT,04/10/2010,3.7,3.0, ,24.0,11.0,99,54,2.91,19.59
PARKES AIRPORT,05/10/2010,4.2,0.0, ,25.0,9.0,100,44,1.75,25.34
PARKES AIRPORT,06/10/2010,4.6,0.0, ,25.0,12.0,98,46,3.30,25.28
PARKES AIRPORT,07/10/2010,3.6,4.0, ,17.0,11.0,100,41,4.27,21.08
PARKES AIRPORT,08/10/2010,3.8,0.0, ,20.0,2.0,99,40,2.92,23.33
PARKES AIRPORT,09/10/2010,3.8,0.0, ,24.0,5.0,100,41,2.12,21.03
PARKES AIRPORT,10/10/2010,4.7,0.0, ,23.0,9.0,91,39,5.21,20.54
PARKES AIRPORT,11/10/2010,5.0,0.0, ,24.0,8.0,87,46,5.94,23.43
PARKES AIRPORT,12/10/2010,4.4,0.0, ,25.0,13.0,89,47,3.44,21.37
PARKES AIRPORT,13/10/2010,3.1,0.0, ,21.0,15.0,100,61,5.63,14.76
PARKES AIRPORT,14/10/2010,3.6,14.0, ,23.0,15.0,100,61,2.45,19.77
PARKES AIRPORT,15/10/2010,4.2,11.0, ,19.0,16.0,100,28,9.60,9.32
PARKES AIRPORT,16/10/2010,3.1,29.0, ,13.0,4.0,100,47,7.11,21.08
PARKES AIRPORT,17/10/2010,3.4,0.0, ,16.0,3.0,100,35,2.54,23.00
PARKES AIRPORT,18/10/2010, ,0.0, , ,3.0, , , ,22.36
PARKES AIRPORT,19/10/2010, , , , , , , , ,28.07
PARKES AIRPORT,20/10/2010, , , ,23.6, , , , ,27.76
PARKES AIRPORT,21/10/2010,4.6,0.0, ,25.5,7.9,97,40,2.38,25.14
PARKES AIRPORT,22/10/2010,5.0,0.0, ,26.1,10.3,94,43,2.79,26.79
PARKES AIRPORT,23/10/2010,4.6,0.0, ,26.1,12.0,92,53,4.07,21.84
PARKES AIRPORT,24/10/2010,3.1,1.4, ,19.5,13.1,97,66,2.22,18.73
PARKES AIRPORT,25/10/2010,4.1,1.6, ,23.4,6.0,97,43,1.29,25.60
PARKES AIRPORT,26/10/2010,4.7,0.0, ,25.2,8.8,97,36,2.04,26.20
PARKES AIRPORT,27/10/2010,5.5,0.0, ,25.3,6.7,92,33,3.23,28.63
PARKES AIRPORT,28/10/2010,5.3,0.0, ,25.3,6.9,94,35,2.98,28.16
PARKES AIRPORT,29/10/2010,6.0,0.0, ,26.5,13.3,80,48,5.63,27.78
PARKES AIRPORT,30/10/2010,4.9,0.0, ,26.6,18.4,91,50,6.80,16.76
PARKES AIRPORT,31/10/2010,5.0,11.4, ,22.7,11.7,94,40,4.20,25.69
Totals:,,116.5,78.4, ,,,,,, 
