'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARKES AIRPORT New South Wales for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARKES AIRPORT,01/01/2012,7.0,0.0, ,32.1,13.3,87,24,2.41,31.86
PARKES AIRPORT,02/01/2012,7.4,0.0, ,34.4,16.5,67,23,2.16,31.87
PARKES AIRPORT,03/01/2012,7.5,0.0, ,35.5,18.2,75,24,2.37,30.91
PARKES AIRPORT,04/01/2012,6.2,0.0, ,34.5,17.9,80,29,3.08,19.14
PARKES AIRPORT,05/01/2012,6.6,0.0, ,35.1,16.8,89,34,4.45,17.91
PARKES AIRPORT,06/01/2012,7.1,19.8, ,30.1,14.0,97,12,2.35,33.71
PARKES AIRPORT,07/01/2012,8.6,0.0, ,34.1,15.1,76,32,5.43,29.96
PARKES AIRPORT,08/01/2012,5.3,0.0, ,34.0,22.6,92,43,5.37,11.03
PARKES AIRPORT,09/01/2012,6.8,25.4, ,25.2,16.4,91,30,5.10,31.79
PARKES AIRPORT,10/01/2012,6.0,0.0, ,26.6,11.1,90,29,3.43,27.42
PARKES AIRPORT,11/01/2012,6.7,0.0, ,23.6,11.6,85,28,7.06,29.31
PARKES AIRPORT,12/01/2012,6.1,0.0, ,24.0,5.4,88,24,3.36,32.59
PARKES AIRPORT,13/01/2012,6.1,0.0, ,28.5,7.5,87,26,2.54,29.62
PARKES AIRPORT,14/01/2012,7.2,0.0, ,31.8,12.9,79,21,3.21,29.11
PARKES AIRPORT,15/01/2012,4.8,0.0, ,27.6,15.7,89,35,3.67,15.57
PARKES AIRPORT,16/01/2012,6.9,2.4, ,29.4,15.4,85,34,5.01,27.00
PARKES AIRPORT,17/01/2012,8.5,0.2, ,31.1,17.3,65,24,4.95,31.42
PARKES AIRPORT,18/01/2012,7.9,0.0, ,33.7,17.2,79,24,3.52,30.71
PARKES AIRPORT,19/01/2012,7.0,0.0, ,34.3,18.4,75,29,4.04,21.05
PARKES AIRPORT,20/01/2012,8.2,3.8, ,34.8,19.8,89,26,4.84,26.98
PARKES AIRPORT,21/01/2012,4.4,4.2, ,29.2,16.7,92,48,2.99,16.24
PARKES AIRPORT,22/01/2012,6.6,1.0, ,29.7,16.3,84,39,4.24,27.37
PARKES AIRPORT,23/01/2012,7.7,0.0, ,29.9,16.0,70,35,6.00,27.54
PARKES AIRPORT,24/01/2012,5.5,0.0, ,29.6,15.6,76,43,3.85,19.43
PARKES AIRPORT,25/01/2012,2.8,0.0, ,23.4,20.5,87,61,2.84,9.80
PARKES AIRPORT,26/01/2012,3.9,1.4, ,26.1,19.3,83,60,4.46,12.87
PARKES AIRPORT,27/01/2012,4.2,0.2, ,27.8,21.4,92,47,5.02,11.22
PARKES AIRPORT,28/01/2012,6.0,2.4, ,29.6,19.7,71,45,4.44,20.80
PARKES AIRPORT,29/01/2012,3.8,0.0, ,26.4,20.6,93,54,4.74,12.11
PARKES AIRPORT,30/01/2012,5.8,11.4, ,32.0,20.6,96,52,7.32,18.42
PARKES AIRPORT,31/01/2012,5.4,16.6, ,27.3,16.5,94,32,2.76,23.98
Totals:,,194,88.8, ,,,,,, 
