'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARKES AIRPORT New South Wales for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARKES AIRPORT,01/02/2016,5.6,0.2, ,26.3,17.3,86,38,4.56,22.11
PARKES AIRPORT,02/02/2016,5.9,0.0, ,30.4,10.5,93,24,2.48,25.61
PARKES AIRPORT,03/02/2016,6.4,0.0, ,34.1,18.5,77,44,4.48,20.48
PARKES AIRPORT,04/02/2016,7.2,0.0, ,30.8,21.0,75,39,6.22,22.95
PARKES AIRPORT,05/02/2016,7.8,0.0, ,29.3,14.9,68,34,6.29,29.78
PARKES AIRPORT,06/02/2016,6.6,0.0, ,30.1,14.9,74,35,4.54,24.28
PARKES AIRPORT,07/02/2016,7.3,0.0, ,30.7,18.0,67,25,3.65,28.88
PARKES AIRPORT,08/02/2016,8.3,0.0, ,34.2,13.3,89,10,3.85,29.78
PARKES AIRPORT,09/02/2016,7.4,0.0, ,34.3,16.6,72,23,3.18,28.19
PARKES AIRPORT,10/02/2016,7.8,0.0, ,35.0,17.7,76,20,3.45,28.26
PARKES AIRPORT,11/02/2016,7.5,0.0, ,36.5,16.2,80,16,3.61,22.04
PARKES AIRPORT,12/02/2016,7.6,0.0, ,35.6,14.1,79,17,3.37,26.27
PARKES AIRPORT,13/02/2016,8.2,0.0, ,36.7,18.5,74,18,3.61,27.79
PARKES AIRPORT,14/02/2016,9.0,0.0, ,39.5,15.6,76,12,3.98,25.45
PARKES AIRPORT,15/02/2016,7.9,0.0, ,34.0,17.7,49,13,3.63,25.25
PARKES AIRPORT,16/02/2016,7.4,0.0, ,29.7,12.6,64,22,4.48,28.03
PARKES AIRPORT,17/02/2016,6.7,0.0, ,27.9,7.6,69,21,4.22,26.72
PARKES AIRPORT,18/02/2016,6.1,0.0, ,31.5,10.4,82,21,2.39,27.32
PARKES AIRPORT,19/02/2016,7.2,0.0, ,34.4,11.3,74,16,2.98,27.48
PARKES AIRPORT,20/02/2016,8.4,0.0, ,35.7,14.8,58,16,4.11,25.60
PARKES AIRPORT,21/02/2016,7.9,0.0, ,36.4,19.0,67,20,3.88,24.72
PARKES AIRPORT,22/02/2016,8.2,0.0, ,36.3,21.5,63,18,4.08,25.05
PARKES AIRPORT,23/02/2016,8.0,0.0, ,36.9,21.6,55,21,3.64,25.46
PARKES AIRPORT,24/02/2016,8.6,0.0, ,38.3,18.9,64,18,4.39,22.95
PARKES AIRPORT,25/02/2016,10.1,0.0, ,40.9,22.0,47,12,4.63,25.76
PARKES AIRPORT,26/02/2016,9.0,0.0, ,35.7,24.6,50,16,4.98,23.56
PARKES AIRPORT,27/02/2016,6.9,0.0, ,35.2,12.7,74,20,3.20,23.40
PARKES AIRPORT,28/02/2016,7.9,0.0, ,34.4,19.4,68,20,4.46,24.83
PARKES AIRPORT,29/02/2016,8.2,0.0, ,34.7,19.9,53,18,4.50,23.21
Totals:,,221.1,0.2, ,,,,,, 
