'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/06/2009,0.9,1.2,4.4,16.5,8.2,99,73,0.62,8.49
PATERSON (TOCAL),02/06/2009,1.2, , ,19.0,10.0,100,68,1.23,11.01
PATERSON (TOCAL),03/06/2009, ,4.6,5.6,20.6, ,100,67,1.16,10.64
PATERSON (TOCAL),04/06/2009,1.0,0.6,0.8,17.8,10.9,100,82,1.00,8.06
PATERSON (TOCAL),05/06/2009,1.9,0.2,2.2,20.5,10.9,100,44,2.38,13.22
PATERSON (TOCAL),06/06/2009,1.7,0.0,0.4,18.9,5.8,97,41,1.74,13.58
PATERSON (TOCAL),07/06/2009,1.9,0.6,1.8,18.4,8.2,96,50,3.21,11.36
PATERSON (TOCAL),08/06/2009,2.9,1.0,0.8,19.3,10.4,65,48,4.84,12.55
PATERSON (TOCAL),09/06/2009,3.4,0.0,4.0,16.6,11.4,67,36,6.12,13.29
PATERSON (TOCAL),10/06/2009,3.3,0.0,4.8,14.0,10.4,66,35,6.81,13.61
PATERSON (TOCAL),11/06/2009,2.7,0.0,4.0,13.7,5.5,65,32,4.45,13.57
PATERSON (TOCAL),12/06/2009,1.6,0.0,2.8,15.8,3.4,90,40,2.08,13.40
PATERSON (TOCAL),13/06/2009,1.1,0.0,0.2,16.4,3.2,97,53,0.94,12.33
PATERSON (TOCAL),14/06/2009,1.2,0.0,0.4,19.3,5.1,95,38,0.88,11.52
PATERSON (TOCAL),15/06/2009,1.6,0.0,2.0,20.3,5.5,100,33,1.48,12.85
PATERSON (TOCAL),16/06/2009,1.1,0.0,1.6,15.7,6.2,96,64,1.89,8.27
PATERSON (TOCAL),17/06/2009,1.0,20.6,1.6,17.2,8.5,100,72,1.30,9.86
PATERSON (TOCAL),18/06/2009,0.9,11.0,0.2,15.3,8.7,100,83,1.07,11.64
PATERSON (TOCAL),19/06/2009,0.9,4.2,1.2,16.2,6.9,100,85,1.31,9.62
PATERSON (TOCAL),20/06/2009,1.2,4.0,1.8,18.5,8.3,100,70,1.95,11.25
PATERSON (TOCAL),21/06/2009,1.4,0.2,0.6,19.9,12.3,99,67,2.27,10.25
PATERSON (TOCAL),22/06/2009,1.2,16.8,0.8,19.1,13.7,100,68,1.54,9.50
PATERSON (TOCAL),23/06/2009,1.3,0.3,1.2,19.7,6.8,100,63,1.32,12.84
PATERSON (TOCAL),24/06/2009,1.1,0.3,1.5,18.5,4.4,100,58,1.15,10.83
PATERSON (TOCAL),25/06/2009,1.5,0.3,1.3,17.9,6.1,88,45,1.72,12.30
PATERSON (TOCAL),26/06/2009,1.3,0.0,1.8,18.8,5.8,95,41,1.14,12.29
PATERSON (TOCAL),27/06/2009,0.9,0.0,0.2,16.4,8.3,99,66,0.55,8.74
PATERSON (TOCAL),28/06/2009,1.6,0.0,0.2,18.4,7.1,100,56,2.78,11.76
PATERSON (TOCAL),29/06/2009,2.4,0.0,3.0,19.7,10.1,76,46,3.62,12.96
PATERSON (TOCAL),30/06/2009,1.4,0.0,1.1,20.5,6.5,97,46,1.32,9.05
Totals:,,45.6,65.9,52.3,,,,,, 
