'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/03/2010,2.2,0.6,3.0,20.4,18.7,98,69,3.27,9.48
PATERSON (TOCAL),02/03/2010,3.0,2.8,1.8,22.4,14.5,83,57,2.71,12.76
PATERSON (TOCAL),03/03/2010,3.5,0.2,2.0,24.1,15.2,98,59,2.81,17.75
PATERSON (TOCAL),04/03/2010,4.8,0.0,2.6,28.2,16.4,99,46,3.47,21.95
PATERSON (TOCAL),05/03/2010,4.5,0.0,6.8,28.3,19.7,98,49,3.60,18.77
PATERSON (TOCAL),06/03/2010,4.1,21.8,2.6,28.9,20.2,99,62,2.05,20.07
PATERSON (TOCAL),07/03/2010,5.1,0.8,1.8,29.6,19.3,98,49,5.09,20.31
PATERSON (TOCAL),08/03/2010,5.6,0.0,7.8,33.2,22.3,79,42,3.05,20.67
PATERSON (TOCAL),09/03/2010,6.9,0.0,6.4,31.0,17.8,73,25,3.76,27.24
PATERSON (TOCAL),10/03/2010,4.0,0.0,8.0,26.2,14.8,97,50,2.76,20.02
PATERSON (TOCAL),11/03/2010,3.9,3.6,7.6,24.2,17.6,88,43,3.24,16.36
PATERSON (TOCAL),12/03/2010,3.8,0.2,2.2,25.4,15.2,99,41,2.44,18.11
PATERSON (TOCAL),13/03/2010,3.4,14.4,5.4,23.3,16.3,99,57,2.25,18.36
PATERSON (TOCAL),14/03/2010,3.2,15.4,0.2,24.0,16.5,99,62,1.64,18.17
PATERSON (TOCAL),15/03/2010,3.7,0.6,2.0,26.3,15.7,100,52,1.32,21.30
PATERSON (TOCAL),16/03/2010,4.4,0.2,2.8,27.0,13.0,100,43,1.62,25.26
PATERSON (TOCAL),17/03/2010,4.7,0.0,4.0,28.4,12.1,100,42,1.67,26.14
PATERSON (TOCAL),18/03/2010,4.8,0.0,4.0,29.2,11.7,100,37,1.95,25.77
PATERSON (TOCAL),19/03/2010,4.9,0.0,4.0,31.8,13.2,100,30,1.59,25.01
PATERSON (TOCAL),20/03/2010,5.1,0.0,5.4,33.5,14.8,94,25,1.57,25.03
PATERSON (TOCAL),21/03/2010,5.1,0.0,6.4,34.8,14.3,99,25,1.74,23.14
PATERSON (TOCAL),22/03/2010,4.2,0.0,4.0,27.7,19.1,88,50,2.69,19.92
PATERSON (TOCAL),23/03/2010,4.1,0.0,4.8,30.0,15.1,100,36,1.26,22.64
PATERSON (TOCAL),24/03/2010,4.1,0.0,4.4,28.7,14.2,99,47,2.00,21.96
PATERSON (TOCAL),25/03/2010,4.3,0.0,4.6,29.7,17.0,97,48,2.05,22.27
PATERSON (TOCAL),26/03/2010,5.2,0.0,4.6,34.4,14.9,100,25,1.94,23.55
PATERSON (TOCAL),27/03/2010,4.7,0.0,8.0,32.8,17.7,98,40,1.90,22.55
PATERSON (TOCAL),28/03/2010,4.8,0.0,6.0,32.5,19.1,100,31,2.07,22.02
PATERSON (TOCAL),29/03/2010,4.0,0.0,4.0,31.9,19.0,97,37,2.03,16.53
PATERSON (TOCAL),30/03/2010,1.6,4.2,3.4,20.6,19.1,99,92,1.36,9.25
PATERSON (TOCAL),31/03/2010,2.3,22.4,2.4,21.9,18.0,99,68,2.39,11.98
Totals:,,130,87.2,133,,,,,, 
