'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/04/2011,3.6,4.6,2.6,26.0,14.6,99,49,1.85,20.52
PATERSON (TOCAL),02/04/2011,2.7,0.0, ,24.1,13.4,100,55,2.07,13.84
PATERSON (TOCAL),03/04/2011,3.4,0.0,3.8,25.5,13.9,94,41,1.41,20.62
PATERSON (TOCAL),04/04/2011,3.1,0.2,4.2,23.9,12.2,96,53,2.46,17.43
PATERSON (TOCAL),05/04/2011,2.3,6.2,3.4,21.2,15.1,99,63,1.78,13.25
PATERSON (TOCAL),06/04/2011, ,2.8,1.0, ,13.2,100,62,1.47,13.56
PATERSON (TOCAL),07/04/2011, , ,1.0,19.8, ,100,77,1.61,11.55
PATERSON (TOCAL),08/04/2011,1.9,5.8,1.6,20.7,13.4,100,73,1.14,11.36
PATERSON (TOCAL),09/04/2011, ,0.4, , ,12.6, , , ,19.93
PATERSON (TOCAL),10/04/2011, , ,2.8,29.4, , , , ,17.19
PATERSON (TOCAL),11/04/2011,3.4,18.8,2.8,23.7,14.0,99,40,2.21,19.82
PATERSON (TOCAL),12/04/2011,3.8,0.0,2.2,23.1,8.2,87,28,3.10,18.77
PATERSON (TOCAL),13/04/2011,4.0,0.0,4.0,25.6,6.7,97,28,2.62,20.64
PATERSON (TOCAL),14/04/2011,3.7,0.0,2.0,25.5,8.4,93,27,2.28,19.91
PATERSON (TOCAL),15/04/2011,2.8,0.0, ,24.0,8.8,99,40,1.39,17.68
PATERSON (TOCAL),16/04/2011,1.0,5.8,3.0,17.3,15.2,100,84,1.23,4.96
PATERSON (TOCAL),17/04/2011,2.4,73.4, ,22.5,15.0,100,49,2.09,12.33
PATERSON (TOCAL),18/04/2011,2.6,0.0,4.2,23.7,10.4,100,55,1.52,18.02
PATERSON (TOCAL),19/04/2011,2.7,0.0,3.1,25.5,10.4,100,49,1.18,18.34
PATERSON (TOCAL),20/04/2011,1.9,0.2,2.0,23.1,12.0,100,62,1.03,11.12
PATERSON (TOCAL),21/04/2011,3.3,0.0,1.8,27.2,14.2,97,34,1.82,18.03
PATERSON (TOCAL),22/04/2011,3.8,0.0,1.4,28.8,10.2,95,25,2.15,18.81
PATERSON (TOCAL),23/04/2011,2.5,0.0,5.6,23.9,9.7,99,49,1.37,17.14
PATERSON (TOCAL),24/04/2011,2.3,0.0,2.8,24.4,11.2,100,62,1.37,15.05
PATERSON (TOCAL),25/04/2011,1.6,0.0,1.2,21.6,12.4,100,73,1.58,9.54
PATERSON (TOCAL),26/04/2011,2.1,20.6,7.2,21.5,15.0,100,54,1.75,11.61
PATERSON (TOCAL),27/04/2011,2.0,0.8,0.4,20.8,11.6,97,63,2.15,12.11
PATERSON (TOCAL),28/04/2011,1.9,4.0,1.2,21.6,12.5,100,65,1.35,13.14
PATERSON (TOCAL),29/04/2011,1.8,5.0,12.6,21.7,12.7,100,68,1.43,11.51
PATERSON (TOCAL),30/04/2011,1.9,5.6,2.0,22.3,14.1,100,68,1.19,12.93
Totals:,,68.5,154.2,79.9,,,,,, 
