'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/03/2015,6.5,0.0,5.4,37.5,17.7,100,28,2.71,23.56
PATERSON (TOCAL),02/03/2015,2.4,6.2,5.8,23.4,19.2,91,55,2.29,7.58
PATERSON (TOCAL),03/03/2015,5.0,0.0,2.6,31.7,12.6,100,41,1.76,24.98
PATERSON (TOCAL),04/03/2015,4.7,0.0,4.0,33.1,18.1,95,48,1.90,21.10
PATERSON (TOCAL),05/03/2015,6.5,0.0,8.0,32.2,19.5,99,15,3.28,24.90
PATERSON (TOCAL),06/03/2015,5.9,0.0,5.6,30.9,12.6,93,15,2.71,25.12
PATERSON (TOCAL),07/03/2015,4.6,0.0,11.2,28.9,12.7,97,43,2.43,22.34
PATERSON (TOCAL),08/03/2015,3.8,0.0,4.0,31.1,16.4,99,38,1.74,15.56
PATERSON (TOCAL),09/03/2015,5.3,0.0,2.0,32.8,18.6,99,26,1.94,23.84
PATERSON (TOCAL),10/03/2015,3.8,0.0,4.0,28.6,17.5,97,52,2.28,17.54
PATERSON (TOCAL),11/03/2015,4.7,0.0,4.0,32.0,21.4,96,44,2.09,20.51
PATERSON (TOCAL),12/03/2015,3.5,0.0, ,29.8,18.8,92,48,2.01,13.69
PATERSON (TOCAL),13/03/2015,1.9,21.2, ,22.5,18.4,98,57,2.20,5.25
PATERSON (TOCAL),14/03/2015,3.7,4.2, ,25.8,13.9,100,41,1.34,20.51
PATERSON (TOCAL),15/03/2015,3.0,0.2,1.6,25.4,12.1,99,58,2.41,14.04
PATERSON (TOCAL),16/03/2015,3.6,3.0,4.6,24.8,14.3,93,38,1.45,19.21
PATERSON (TOCAL),17/03/2015,3.1,0.0, ,26.8,9.8,99,45,1.36,15.32
PATERSON (TOCAL),18/03/2015,5.0,0.0,4.0,35.6,15.7,98,28,2.48,16.25
PATERSON (TOCAL),19/03/2015,4.4,0.0,4.0,31.3,17.4,98,42,1.52,22.28
PATERSON (TOCAL),20/03/2015,6.2,0.0,7.0,38.1,14.9,100,20,2.78,19.74
PATERSON (TOCAL),21/03/2015,1.8,0.6,4.8,21.8,18.7,96,60,2.88,4.18
PATERSON (TOCAL),22/03/2015,2.5,6.8,4.2,23.8,18.5,98,68,2.26,12.33
PATERSON (TOCAL),23/03/2015,4.0,0.2,2.0,29.6,15.8,100,44,1.89,20.05
PATERSON (TOCAL),24/03/2015,4.1,0.0,3.4,34.4,15.9,100,34,1.92,15.05
PATERSON (TOCAL),25/03/2015,3.4,0.4,4.6,25.8,14.0,99,52,2.43,16.87
PATERSON (TOCAL),26/03/2015,4.9,0.0,4.0,29.8,13.4,100,18,2.52,21.14
PATERSON (TOCAL),27/03/2015,4.6,0.0,6.6,27.7,9.0,83,17,2.28,22.02
PATERSON (TOCAL),28/03/2015,3.6,0.0,5.4,25.7,8.4,95,37,1.73,20.50
PATERSON (TOCAL),29/03/2015,4.0,0.0,4.2,29.2,10.8,100,28,1.86,19.92
PATERSON (TOCAL),30/03/2015,1.9,0.0,5.6,24.6,16.7,98,63,2.20,6.59
PATERSON (TOCAL),31/03/2015,1.5,24.6,3.0,22.2,16.5,100,73,1.85,5.37
Totals:,,123.9,67.4,125.6,,,,,, 
