'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERISHER VALLEY New South Wales for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERISHER VALLEY,01/12/2011,3.8,10.8, ,11.2,-3.6,99,35,2.34,30.71
PERISHER VALLEY,02/12/2011,3.2,0.0, ,9.5,-0.9,99,65,1.51,27.44
PERISHER VALLEY,03/12/2011,3.4,0.0, ,12.3,-0.6,97,63,3.16,28.45
PERISHER VALLEY,04/12/2011,3.8,0.0, ,9.3,2.4,99,46,2.20,31.40
PERISHER VALLEY,05/12/2011,3.0,0.0, ,7.1,-2.8,99,68,2.27,29.33
PERISHER VALLEY,06/12/2011,4.0,0.0, ,12.6,-4.2,98,48,1.70,33.55
PERISHER VALLEY,07/12/2011,3.8,0.0, ,14.9,0.1,99,51,1.81,28.02
PERISHER VALLEY,08/12/2011,4.7,0.0, ,17.4,3.9,96,35,2.12,30.47
PERISHER VALLEY,09/12/2011,5.1,0.0, ,19.1,2.2,99,30,2.24,32.28
PERISHER VALLEY,10/12/2011,3.7,0.0, ,16.7,8.8,89,58,3.28,22.24
PERISHER VALLEY,11/12/2011,4.0,11.0, ,18.3,8.2,99,61,3.29,25.04
PERISHER VALLEY,12/12/2011,4.5,1.0, ,16.9,5.0,99,46,1.88,29.80
PERISHER VALLEY,13/12/2011,3.7,1.0, ,12.1,2.0,99,54,2.50,29.15
PERISHER VALLEY,14/12/2011, ,0.4, ,11.9,1.1,99,67,1.97, 
PERISHER VALLEY,15/12/2011,3.6,0.0, ,15.5,0.9,99,50,1.53,25.18
PERISHER VALLEY,16/12/2011,3.6,5.2, ,15.5,1.5,99,65,1.36,25.80
PERISHER VALLEY,17/12/2011,4.2,7.8, ,18.5,1.2,98,46,2.06,27.41
PERISHER VALLEY,18/12/2011,3.8,0.0, ,16.8,3.7,98,40,2.09,23.40
PERISHER VALLEY,19/12/2011,3.2,16.6, ,15.4,10.2,99,66,2.71,19.62
PERISHER VALLEY,20/12/2011,4.3,27.2, ,16.2,2.8,99,59,1.74,31.12
PERISHER VALLEY,21/12/2011,3.3,0.0, ,14.1,6.0,99,77,2.11,23.48
PERISHER VALLEY,22/12/2011,3.7,0.8, ,15.9,5.3,99,66,1.61,24.64
PERISHER VALLEY,23/12/2011,4.5,8.8, ,19.2,3.5,99,47,1.43,29.36
PERISHER VALLEY,24/12/2011,4.8,4.6, ,21.0,4.9,99,43,1.43,29.74
PERISHER VALLEY,25/12/2011,4.6,19.4, ,19.6,7.1,94,48,3.25,26.91
PERISHER VALLEY,26/12/2011,3.3,12.2, ,17.4,9.7,99,58,2.23,19.02
PERISHER VALLEY,27/12/2011,4.3,1.0, ,16.9,7.1,99,59,1.88,28.80
PERISHER VALLEY,28/12/2011,3.6,0.4, ,17.1,4.3,99,45,1.65,22.20
PERISHER VALLEY,29/12/2011,5.0,0.0, ,17.3,0.0,96,20,1.86,34.13
PERISHER VALLEY,30/12/2011,4.2,0.0, ,16.0,0.6,99,50,1.81,29.93
PERISHER VALLEY,31/12/2011,4.4,0.0, ,20.1,3.6,99,44,1.66,26.85
Totals:,,119.1,128.2, ,,,,,, 
