'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERISHER VALLEY New South Wales for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERISHER VALLEY,01/10/2015,4.1,0.0, ,16.0,-0.1,92,29,5.33,24.26
PERISHER VALLEY,02/10/2015,3.7,0.0, ,19.3,-0.7,83,10,1.50,24.19
PERISHER VALLEY,03/10/2015,4.9,0.0, ,16.3,4.9,63,13,4.89,24.69
PERISHER VALLEY,04/10/2015,5.5,0.0, ,17.1,9.1,54,20,6.27,24.72
PERISHER VALLEY,05/10/2015,4.7,0.0, ,20.0,9.6,44,19,2.52,24.73
PERISHER VALLEY,06/10/2015,5.0,0.0, ,19.6,11.0,33,22,2.95,24.81
PERISHER VALLEY,07/10/2015,3.5,0.0, ,14.7,5.2,97,34,1.77,24.76
PERISHER VALLEY,08/10/2015,3.7,0.0, ,18.0,-2.7,96,10,1.46,25.01
PERISHER VALLEY,09/10/2015,4.3,0.0, ,17.8,4.6,87,11,2.56,24.99
PERISHER VALLEY,10/10/2015,3.7,4.6, ,18.0,1.7,85,29,1.50,24.91
PERISHER VALLEY,11/10/2015,2.3,0.2, ,11.7,5.0,91,62,3.43,15.07
PERISHER VALLEY,12/10/2015,3.1,2.4, ,12.3,3.2,97,53,3.35,24.42
PERISHER VALLEY,13/10/2015,3.4,0.0, ,13.5,1.9,98,46,1.93,26.90
PERISHER VALLEY,14/10/2015,3.8,0.0, ,17.5,0.5,97,53,3.66,27.09
PERISHER VALLEY,15/10/2015,4.8,0.0, ,17.1,8.3,70,45,6.83,27.27
PERISHER VALLEY,16/10/2015,4.5,0.0, ,18.4,11.5,74,50,4.58,24.77
PERISHER VALLEY,17/10/2015,3.5,0.0, ,15.8,5.9,92,51,3.42,22.42
PERISHER VALLEY,18/10/2015,4.0,0.4, ,17.2,-3.7,89,26,2.09,27.88
PERISHER VALLEY,19/10/2015,4.1,0.0, ,16.1,4.3,91,47,4.18,27.77
PERISHER VALLEY,20/10/2015,4.6,0.0, ,17.4,7.3,90,29,3.99,27.32
PERISHER VALLEY,21/10/2015,2.1,5.0, ,11.3,9.7,96,73,2.51,13.49
PERISHER VALLEY,22/10/2015,2.9,19.4, ,8.3,5.0,98,92,1.20,25.06
PERISHER VALLEY,23/10/2015,3.5,3.6, ,12.1,2.0,98,57,1.37,28.60
PERISHER VALLEY,24/10/2015,3.7,0.0, ,12.9,3.6,90,52,3.56,28.71
PERISHER VALLEY,25/10/2015,4.7,0.0, ,17.3,1.5,88,32,4.58,28.81
PERISHER VALLEY,26/10/2015,4.3,0.0, ,15.8,10.3,98,42,4.79,27.67
PERISHER VALLEY,27/10/2015,3.5,9.6, ,13.5,-2.1,98,61,2.25,30.03
PERISHER VALLEY,28/10/2015,4.0,0.0, ,15.4,-5.7,89,10,1.51,30.04
PERISHER VALLEY,29/10/2015,3.5,0.0, ,15.7,-2.2,96,43,1.33,25.86
PERISHER VALLEY,30/10/2015,4.1,0.0, ,16.1,0.5,95,43,2.14,30.11
PERISHER VALLEY,31/10/2015,2.7,0.0, ,15.8,3.0,96,58,1.93,16.78
Totals:,,120.2,45.2, ,,,,,, 
