'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT KEMBLA NTC New South Wales for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT KEMBLA NTC,01/01/2013,6.9, , ,22.3,19.7,26,23,2.72,33.14
PORT KEMBLA NTC,02/01/2013,2.8, , ,20.5,19.7,100,25,3.29,5.68
PORT KEMBLA NTC,03/01/2013,6.4, , ,21.9,16.7,32,24,2.84,30.02
PORT KEMBLA NTC,04/01/2013,8.1, , ,22.3,18.9,26,23,5.26,31.33
PORT KEMBLA NTC,05/01/2013,8.2, , ,23.8,20.6,25,22,4.55,31.25
PORT KEMBLA NTC,06/01/2013,6.6, , ,24.2,20.6,25,21,2.22,30.44
PORT KEMBLA NTC,07/01/2013,8.7, , ,33.1,20.8,25,21,3.89,28.14
PORT KEMBLA NTC,08/01/2013,11.4, , ,39.6,21.5,23,9,5.45,22.06
PORT KEMBLA NTC,09/01/2013,6.2, , ,21.1,18.4,29,23,3.98,20.11
PORT KEMBLA NTC,10/01/2013,6.4, , ,23.0,18.1,27,23,4.32,17.25
PORT KEMBLA NTC,11/01/2013,7.5, , ,25.4,20.4,25,21,3.44,30.10
PORT KEMBLA NTC,12/01/2013,5.8, , ,25.2,21.9,25,19,2.74,17.38
PORT KEMBLA NTC,13/01/2013,4.2, , ,21.7,20.5,33,24,2.67,7.95
PORT KEMBLA NTC,14/01/2013,6.8, , ,22.1,15.5,34,23,4.25,27.73
PORT KEMBLA NTC,15/01/2013,6.2, , ,21.7,16.3,33,24,3.44,25.42
PORT KEMBLA NTC,16/01/2013,6.2, , ,22.8,19.1,27,22,2.34,28.63
PORT KEMBLA NTC,17/01/2013,7.2, , ,24.5,20.9,25,21,3.21,29.71
PORT KEMBLA NTC,18/01/2013,10.1, , ,42.5,21.7,24,8,3.90,22.45
PORT KEMBLA NTC,19/01/2013,4.2, , ,22.1,20.5,26,24,2.84,4.16
PORT KEMBLA NTC,20/01/2013,4.5, , ,22.3,17.4,30,24,2.16,15.32
PORT KEMBLA NTC,21/01/2013,6.5, , ,23.1,19.6,26,22,3.88,20.29
PORT KEMBLA NTC,22/01/2013,7.5, , ,27.8,21.1,25,16,4.57,17.01
PORT KEMBLA NTC,23/01/2013,5.7, , ,22.8,20.0,26,23,4.16,9.66
PORT KEMBLA NTC,24/01/2013,6.4, , ,24.1,20.1,25,21,2.53,27.85
PORT KEMBLA NTC,25/01/2013,7.3, , ,24.6,21.7,23,20,3.38,28.73
PORT KEMBLA NTC,26/01/2013,7.0, , ,24.8,23.0,22,20,3.69,21.41
PORT KEMBLA NTC,27/01/2013,5.0, , ,23.6,20.1,25,21,3.35,6.51
PORT KEMBLA NTC,28/01/2013,5.9, , ,22.0,19.8,26,23,5.46,3.23
PORT KEMBLA NTC,29/01/2013,7.1, , ,23.8,19.6,26,22,4.55,21.47
PORT KEMBLA NTC,30/01/2013,4.5, , ,23.6,18.8,28,23,1.82,16.04
PORT KEMBLA NTC,31/01/2013,8.0, , ,24.5,20.1,24,20,4.80,28.43
Totals:,,205.3, , ,,,,,, 
