'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT KEMBLA NTC New South Wales for January 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 February 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT KEMBLA NTC,01/01/2017,4.3, , ,23.7,20.5,25,22,2.19,9.54
PORT KEMBLA NTC,02/01/2017,5.7, , ,23.1,20.6,27,21,3.87,11.01
PORT KEMBLA NTC,03/01/2017,6.8, , ,23.1,18.5,29,23,4.27,22.30
PORT KEMBLA NTC,04/01/2017,6.1, , ,22.6,18.7,25,23,3.25,21.17
PORT KEMBLA NTC,05/01/2017,4.5, , ,22.4,19.4,27,23,2.31,12.28
PORT KEMBLA NTC,06/01/2017,5.2, , ,23.9,19.3,26,21,2.03,19.96
PORT KEMBLA NTC,07/01/2017,7.6, , ,23.4,19.8,26,22,4.05,30.20
PORT KEMBLA NTC,08/01/2017,8.2, , ,23.7,21.2,24,21,4.79,29.35
PORT KEMBLA NTC,09/01/2017,6.0, , ,24.7,21.4,24,20,2.51,21.87
PORT KEMBLA NTC,10/01/2017,6.4, , ,25.3,21.9,23,19,2.52,24.85
PORT KEMBLA NTC,11/01/2017,6.7, , ,29.4,22.3,24,17,2.34,24.83
PORT KEMBLA NTC,12/01/2017,6.6, , ,24.0,20.9,25,21,2.99,25.08
PORT KEMBLA NTC,13/01/2017,10.2, , ,32.3,22.1,23,14,5.35,28.91
PORT KEMBLA NTC,14/01/2017,8.9, , ,28.7,23.0,23,13,5.12,22.84
PORT KEMBLA NTC,15/01/2017,4.8, , ,24.0,21.1,26,22,3.11,6.66
PORT KEMBLA NTC,16/01/2017,8.2, , ,24.3,19.8,26,21,4.97,29.95
PORT KEMBLA NTC,17/01/2017,8.5, , ,34.8,21.3,24,18,3.38,27.31
PORT KEMBLA NTC,18/01/2017, , , , ,22.6,27,12,4.47,25.52
PORT KEMBLA NTC,19/01/2017, , , , , ,27,24,3.74,7.18
PORT KEMBLA NTC,20/01/2017, , , ,29.2, ,25,15,5.19,10.00
PORT KEMBLA NTC,21/01/2017,7.1, , ,22.9,19.6,27,23,3.74,28.36
PORT KEMBLA NTC,22/01/2017,6.8, , ,22.9,18.2,29,22,3.23,29.73
PORT KEMBLA NTC,23/01/2017,10.3, , ,34.8,19.9,24,21,5.33,30.09
PORT KEMBLA NTC,24/01/2017,9.0, , ,34.9,22.0,25,11,5.49,8.77
PORT KEMBLA NTC,25/01/2017,4.7, , ,21.7,20.1,26,24,2.71,11.53
PORT KEMBLA NTC,26/01/2017,4.3, , ,22.8,20.3,25,22,2.65,6.49
PORT KEMBLA NTC,27/01/2017,5.3, , ,23.1,20.1,26,22,2.53,17.43
PORT KEMBLA NTC,28/01/2017,7.7, , ,24.6,20.9,24,20,3.96,29.21
PORT KEMBLA NTC,29/01/2017,6.8, , ,25.8,22.2,23,19,2.69,27.60
PORT KEMBLA NTC,30/01/2017,7.3, , ,26.3,22.3,23,19,3.58,25.02
PORT KEMBLA NTC,31/01/2017,5.0, , ,25.6,23.1,26,19,3.00,6.08
Totals:,,189, , ,,,,,, 
