'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT MACQUARIE AIRPORT New South Wales for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT MACQUARIE AIRPORT,01/06/2010, , , ,22.0, ,90,49,4.03,14.09
PORT MACQUARIE AIRPORT,02/06/2010,1.6,0.0, ,20.0,12.0,94,63,2.22,11.27
PORT MACQUARIE AIRPORT,03/06/2010,1.1,11.0, ,17.0,13.0,94,87,3.25,7.86
PORT MACQUARIE AIRPORT,04/06/2010,1.1,82.0, ,17.0,13.0,95,90,4.17,9.98
PORT MACQUARIE AIRPORT,05/06/2010,2.3,84.0, ,19.0,15.0,93,64,6.40,13.44
PORT MACQUARIE AIRPORT,06/06/2010,2.7,0.0, ,19.0,10.0,84,49,5.14,13.92
PORT MACQUARIE AIRPORT,07/06/2010,2.6,0.2, ,19.0,11.0,82,54,5.22,13.58
PORT MACQUARIE AIRPORT,08/06/2010,1.9,0.0, ,19.0,11.0,94,49,2.28,14.07
PORT MACQUARIE AIRPORT,09/06/2010,2.3,0.0, ,21.0,7.0,95,31,2.36,14.16
PORT MACQUARIE AIRPORT,10/06/2010,2.5,0.0, ,17.0,4.0,90,28,3.41,14.34
PORT MACQUARIE AIRPORT,11/06/2010,2.0,0.0, ,17.0,4.0,91,38,2.47,13.89
PORT MACQUARIE AIRPORT,12/06/2010,2.5,0.0, ,18.0,5.0,79,47,4.15,13.82
PORT MACQUARIE AIRPORT,13/06/2010,2.1,0.0, ,19.0,7.0,92,55,3.92,12.39
PORT MACQUARIE AIRPORT,14/06/2010,2.0,9.0, ,19.0,12.0,94,52,3.17,13.41
PORT MACQUARIE AIRPORT,15/06/2010,1.6,0.2, ,19.0,9.0,95,58,2.21,12.76
PORT MACQUARIE AIRPORT,16/06/2010,1.8,0.0, ,21.0,10.0,94,47,1.88,13.64
PORT MACQUARIE AIRPORT,17/06/2010,1.0,0.0, ,15.0,8.0,94,75,2.13,7.01
PORT MACQUARIE AIRPORT,18/06/2010,1.8,0.8, ,20.0,8.0,94,44,1.82,13.54
PORT MACQUARIE AIRPORT,19/06/2010,1.9,0.0, ,19.0,6.0,93,33,1.88,13.93
PORT MACQUARIE AIRPORT,20/06/2010,1.8,0.0, ,19.0,5.0,93,43,2.00,13.73
PORT MACQUARIE AIRPORT,21/06/2010,1.7,0.0, ,19.0,7.0,94,63,3.33,13.00
PORT MACQUARIE AIRPORT,22/06/2010,1.3,4.0, ,17.0,10.0,95,77,3.10,10.83
PORT MACQUARIE AIRPORT,23/06/2010,1.8,7.0, ,19.0,11.0,94,47,2.50,11.36
PORT MACQUARIE AIRPORT,24/06/2010,1.4,0.6, ,18.0,11.0,94,60,1.68,10.97
PORT MACQUARIE AIRPORT,25/06/2010,1.5,0.0, ,20.0,9.0,95,52,1.60,12.29
PORT MACQUARIE AIRPORT,26/06/2010,0.9,0.0, ,16.0,9.0,95,81,1.73,7.02
PORT MACQUARIE AIRPORT,27/06/2010,2.3,3.0, ,18.0,11.0,86,45,3.73,12.62
PORT MACQUARIE AIRPORT,28/06/2010, , , ,17.0, ,94,51,2.61,12.95
PORT MACQUARIE AIRPORT,29/06/2010,1.8,0.0, ,17.0,4.0,93,40,2.10,14.17
PORT MACQUARIE AIRPORT,30/06/2010,1.8,0.0, ,16.0,1.0,92,32,2.01,14.26
Totals:,,51.1,201.8, ,,,,,, 
