'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT MACQUARIE AIRPORT New South Wales for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT MACQUARIE AIRPORT,01/03/2016,3.7,1.0, ,27.6,17.4,95,60,2.12,17.40
PORT MACQUARIE AIRPORT,02/03/2016,3.5,1.0, ,27.8,17.1,96,67,2.48,16.89
PORT MACQUARIE AIRPORT,03/03/2016,3.1, , ,27.9,18.4,97,68,2.43,14.13
PORT MACQUARIE AIRPORT,04/03/2016,3.7,1.4, ,26.9,21.0,96,69,2.42,18.44
PORT MACQUARIE AIRPORT,05/03/2016,4.6,0.6, ,27.9,15.9,97,53,2.06,24.45
PORT MACQUARIE AIRPORT,06/03/2016,4.0,0.2, ,28.6,16.9,95,67,2.45,20.62
PORT MACQUARIE AIRPORT,07/03/2016,4.4,0.0, ,28.9,17.7,97,61,2.39,22.32
PORT MACQUARIE AIRPORT,08/03/2016,3.5,0.0, ,28.5,16.5,97,66,1.74,17.82
PORT MACQUARIE AIRPORT,09/03/2016,4.0,1.4, ,29.1,18.6,98,66,2.86,19.85
PORT MACQUARIE AIRPORT,10/03/2016,5.1,0.0, ,29.7,18.6,94,47,3.98,21.63
PORT MACQUARIE AIRPORT,11/03/2016,4.1,0.0, ,28.8,18.6,97,65,2.31,20.75
PORT MACQUARIE AIRPORT,12/03/2016,4.3,0.0, ,29.0,17.2,97,61,2.36,22.10
PORT MACQUARIE AIRPORT,13/03/2016,3.5,0.0, ,28.4,16.4,97,69,2.04,17.89
PORT MACQUARIE AIRPORT,14/03/2016,3.6,0.0, ,29.2,18.1,97,66,2.31,17.43
PORT MACQUARIE AIRPORT,15/03/2016,4.0,0.0, ,28.8,18.0,97,56,2.13,19.50
PORT MACQUARIE AIRPORT,16/03/2016,2.8,1.2, ,25.7,19.8,95,70,3.06,12.26
PORT MACQUARIE AIRPORT,17/03/2016,3.7,3.8, ,27.5,18.0,95,63,2.77,17.73
PORT MACQUARIE AIRPORT,18/03/2016,4.0,0.2, ,30.5,19.3,98,57,3.52,15.73
PORT MACQUARIE AIRPORT,19/03/2016,4.5,0.0, ,25.3,19.5,94,42,4.76,18.11
PORT MACQUARIE AIRPORT,20/03/2016,2.7,0.4, ,25.1,17.3,93,59,3.36,8.63
PORT MACQUARIE AIRPORT,21/03/2016,3.2,0.8, ,24.5,17.2,96,62,3.77,14.71
PORT MACQUARIE AIRPORT,22/03/2016,4.1,6.8, ,25.2,14.5,91,51,4.06,18.69
PORT MACQUARIE AIRPORT,23/03/2016,4.3,0.0, ,26.4,15.8,92,49,3.74,20.41
PORT MACQUARIE AIRPORT,24/03/2016,4.0,0.0, ,27.1,14.2,93,45,1.79,22.16
PORT MACQUARIE AIRPORT,25/03/2016,3.7,0.0, ,28.0,13.6,96,52,2.14,18.34
PORT MACQUARIE AIRPORT,26/03/2016,3.6,0.0, ,27.7,14.8,97,59,1.90,19.64
PORT MACQUARIE AIRPORT,27/03/2016,3.3,0.0, ,27.9,17.3,95,61,2.25,15.65
PORT MACQUARIE AIRPORT,28/03/2016,3.8,0.0, ,28.6,16.0,97,59,2.69,18.68
PORT MACQUARIE AIRPORT,29/03/2016,3.8,0.0, ,30.3,18.5,97,55,3.03,15.96
PORT MACQUARIE AIRPORT,30/03/2016,1.6,8.4, ,24.4,19.3,98,69,1.46,5.79
PORT MACQUARIE AIRPORT,31/03/2016,4.6,0.6, ,26.5,15.8,97,38,3.81,21.40
Totals:,,116.8,27.8, ,,,,,, 
