'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RICHMOND RAAF New South Wales for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RICHMOND RAAF,01/02/2014,6.5,0.0, ,34.1,20.7,88,35,2.86,25.60
RICHMOND RAAF,02/02/2014,6.2,0.0, ,33.0,19.2,94,32,2.70,25.37
RICHMOND RAAF,03/02/2014,7.0,0.0, ,34.6,17.2,97,24,2.42,29.66
RICHMOND RAAF,04/02/2014,3.0,0.0, ,27.7,18.5,98,53,4.44,5.12
RICHMOND RAAF,05/02/2014,3.8,1.6, ,24.5,15.9,90,41,4.06,10.57
RICHMOND RAAF,06/02/2014,3.9,0.0, ,26.3,16.5,87,38,1.99,16.30
RICHMOND RAAF,07/02/2014,6.1,0.0, ,32.8,10.3,100,20,1.67,29.58
RICHMOND RAAF,08/02/2014,6.6,0.0, ,36.1,13.9,100,23,1.87,29.18
RICHMOND RAAF,09/02/2014,6.3,0.0, ,37.3,13.5,100,16,1.47,28.24
RICHMOND RAAF,10/02/2014,4.8,0.0, ,30.3,18.8,100,47,3.77,18.01
RICHMOND RAAF,11/02/2014,4.5,0.0, ,30.1,19.0,100,48,2.64,18.50
RICHMOND RAAF,12/02/2014,3.7,0.4, ,30.7,20.3,100,53,2.07,14.89
RICHMOND RAAF,13/02/2014,4.7,0.0, ,32.2,20.0,100,39,1.81,19.57
RICHMOND RAAF,14/02/2014,2.3,0.4, ,27.9,19.5,100,52,1.34,7.77
RICHMOND RAAF,15/02/2014,1.6,4.0, ,25.6,20.6,100,76,1.98,5.55
RICHMOND RAAF,16/02/2014,1.3,10.6, ,24.2,20.9,100,76,2.90,2.87
RICHMOND RAAF,17/02/2014,2.5,25.6, ,24.0,18.4,100,57,2.38,9.51
RICHMOND RAAF,18/02/2014,3.1,0.4, ,26.9,17.2,100,61,1.40,14.62
RICHMOND RAAF,19/02/2014,1.3,0.0, ,26.4,19.9,100,74,1.21,3.74
RICHMOND RAAF,20/02/2014,6.1,12.0, ,30.6,17.6,100,19,2.51,27.22
RICHMOND RAAF,21/02/2014,5.8,0.0, ,28.8,15.3,96,22,2.41,27.91
RICHMOND RAAF,22/02/2014,4.8,0.0, ,27.7,17.4,91,42,2.75,21.23
RICHMOND RAAF,23/02/2014,3.4,0.0, ,26.8,18.1,89,39,2.50,10.76
RICHMOND RAAF,24/02/2014,5.2,0.0, ,30.0,18.0,94,33,1.64,25.51
RICHMOND RAAF,25/02/2014,5.3,0.0, ,30.9,15.5,100,34,1.86,25.68
RICHMOND RAAF,26/02/2014,5.0,0.0, ,34.6,16.6,100,27,2.17,17.69
RICHMOND RAAF,27/02/2014,1.6,9.4, ,22.9,19.0,100,80,2.95,5.80
RICHMOND RAAF,28/02/2014,0.9,4.6, ,19.1,17.1,100,93,3.41,3.06
Totals:,,117.3,69, ,,,,,, 
