'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/07/2011,1.3,0.0, ,15.6,5.9,98,65,2.33,11.85
SCONE AIRPORT,02/07/2011,1.0,0.0, ,15.3,4.0,99,61,0.92,11.31
SCONE AIRPORT,03/07/2011,1.4,0.0, ,17.7,0.7,99,53,1.94,9.39
SCONE AIRPORT,04/07/2011,2.8,0.0, ,19.0,5.2,90,46,5.91,10.87
SCONE AIRPORT,05/07/2011,3.9,0.4, ,15.3,10.2,59,36,8.42,13.25
SCONE AIRPORT,06/07/2011,3.3,0.0, ,15.6,8.8,55,35,5.82,12.40
SCONE AIRPORT,07/07/2011,3.0,0.0, ,15.4,8.6,72,46,7.44,12.76
SCONE AIRPORT,08/07/2011,1.9,0.0, ,14.4,-1.5,91,38,2.94,13.72
SCONE AIRPORT,09/07/2011,2.0,0.0, ,13.0,-1.6,89,47,4.70,13.65
SCONE AIRPORT,10/07/2011,2.5,0.0, ,14.1,2.5,80,40,5.34,12.44
SCONE AIRPORT,11/07/2011,3.1,0.0, ,15.7,9.3,64,37,5.42,13.87
SCONE AIRPORT,12/07/2011,2.3,0.0, ,18.2,-2.1,92,28,2.61,13.90
SCONE AIRPORT,13/07/2011,1.5,0.0, ,13.0,0.4,87,49,2.53,7.41
SCONE AIRPORT,14/07/2011,1.5,0.0, ,13.0,4.1,94,44,2.01,13.33
SCONE AIRPORT,15/07/2011,1.3,0.0, ,13.1,-0.9,95,60,2.49,12.47
SCONE AIRPORT,16/07/2011,1.3,0.0, ,14.6,5.4,96,60,1.75,11.71
SCONE AIRPORT,17/07/2011,1.3,0.0, ,17.2,6.7,96,55,1.08,11.77
SCONE AIRPORT,18/07/2011,1.2,0.0, ,15.9,2.6,99,63,1.84,9.17
SCONE AIRPORT,19/07/2011,1.9,1.0, ,12.8,0.0,92,49,4.46,12.91
SCONE AIRPORT,20/07/2011,1.6,0.6, ,16.2,7.0,91,61,4.26,1.81
SCONE AIRPORT,21/07/2011,1.6,2.6, ,15.7,7.6,95,57,3.18,9.63
SCONE AIRPORT,22/07/2011,1.3,1.4, ,14.1,9.6,95,72,3.44,9.03
SCONE AIRPORT,23/07/2011,1.2,0.4, ,14.4,8.1,97,62,1.88,8.15
SCONE AIRPORT,24/07/2011,1.4,1.4, ,16.0,0.0,99,47,1.28,13.98
SCONE AIRPORT,25/07/2011,1.9,0.0, ,17.5,1.5,96,43,2.39,10.98
SCONE AIRPORT,26/07/2011,2.1,0.0, ,16.7,2.6,96,44,3.25,11.58
SCONE AIRPORT,27/07/2011,1.4,0.0, ,14.9,-1.0,96,50,1.37,13.56
SCONE AIRPORT,28/07/2011,1.3,0.0, ,17.0,-1.9,99,41,0.74,14.13
SCONE AIRPORT,29/07/2011,1.6,0.0, ,19.9,-2.0,99,28,0.83,14.39
SCONE AIRPORT,30/07/2011,1.9,0.0, ,20.1,-1.9,98,28,1.33,14.47
SCONE AIRPORT,31/07/2011,1.8,0.0, ,20.5,0.6,97,31,1.08,13.63
Totals:,,57.6,7.8, ,,,,,, 
