'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/05/2012,2.2,0.0, ,24.0,3.2,99,36,1.17,14.98
SCONE AIRPORT,02/05/2012,2.3,0.0, ,25.2,4.8,99,33,1.39,12.45
SCONE AIRPORT,03/05/2012,1.9,10.0, ,22.4,13.4,99,50,1.22,10.89
SCONE AIRPORT,04/05/2012,1.9,0.2, ,21.7,3.6,99,46,1.15,14.70
SCONE AIRPORT,05/05/2012,2.0,0.0, ,20.1,4.6,97,38,1.41,14.16
SCONE AIRPORT,06/05/2012,2.4,0.0, ,20.6,2.7,96,32,2.14,14.82
SCONE AIRPORT,07/05/2012,2.4,0.0, ,22.0,5.2,93,30,1.87,12.36
SCONE AIRPORT,08/05/2012,1.9,0.0, ,23.4,3.3,95,31,0.90,13.27
SCONE AIRPORT,09/05/2012,2.2,0.0, ,26.3,2.2,96,25,1.10,13.14
SCONE AIRPORT,10/05/2012, ,0.0, , ,4.4,97,21,1.03,13.00
SCONE AIRPORT,11/05/2012, , , ,27.0, ,94,25,1.97,12.88
SCONE AIRPORT,12/05/2012,3.0,0.0, ,23.4,6.8,87,25,2.63,12.69
SCONE AIRPORT,13/05/2012,3.2,0.0, ,17.6,6.8,76,36,5.29,12.10
SCONE AIRPORT,14/05/2012,1.9,0.0, ,16.8,0.8,92,34,1.85,12.47
SCONE AIRPORT,15/05/2012,1.4,0.0, ,18.0,-3.0,96,36,0.84,12.41
SCONE AIRPORT,16/05/2012,1.7,0.0, ,19.7,-0.7,98,40,1.40,11.82
SCONE AIRPORT,17/05/2012,1.6,0.0, ,20.7,0.9,99,39,1.06,12.16
SCONE AIRPORT,18/05/2012,1.4,0.0, ,22.0,-0.5,99,29,0.65,12.07
SCONE AIRPORT,19/05/2012,2.0,0.0, ,22.2,-0.4,98,22,1.41,11.37
SCONE AIRPORT,20/05/2012,2.0,0.0, ,19.8,-0.8,94,39,2.02,11.83
SCONE AIRPORT,21/05/2012,1.5,0.0, ,20.7,3.1,99,43,1.23,9.71
SCONE AIRPORT,22/05/2012,1.9,0.2, ,21.3,1.7,99,27,1.52,11.61
SCONE AIRPORT,23/05/2012,2.0,0.0, ,22.3,-0.7,96,23,1.43,11.57
SCONE AIRPORT,24/05/2012,0.8,1.4, ,17.2,1.8,98,80,1.17,3.55
SCONE AIRPORT,25/05/2012,1.8,5.4, ,15.9,7.2,99,52,4.48,5.10
SCONE AIRPORT,26/05/2012,2.1,0.0, ,16.1,8.5,86,49,4.40,7.32
SCONE AIRPORT,27/05/2012,1.5,0.0, ,17.6,3.3,95,41,1.49,10.87
SCONE AIRPORT,28/05/2012,1.7,0.0, ,18.2,1.6,99,46,2.14,10.48
SCONE AIRPORT,29/05/2012,1.3,0.2, ,17.0,3.9,99,69,3.01,7.36
SCONE AIRPORT,30/05/2012,1.7,0.0, ,19.5,9.9,99,53,2.46,8.41
SCONE AIRPORT,31/05/2012,1.6,0.0, ,19.5,3.0,99,50,1.74,10.72
Totals:,,55.3,17.4, ,,,,,, 
