'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/05/2017,2.6,0.0, ,25.0,6.3,99,37,1.68,14.60
SCONE AIRPORT,02/05/2017,2.7,0.0, ,25.9,8.8,98,40,2.21,11.76
SCONE AIRPORT,03/05/2017,2.0,0.0, ,18.6,11.2,90,63,5.20,5.33
SCONE AIRPORT,04/05/2017,2.1,0.0, ,20.5,8.8,99,56,3.01,11.35
SCONE AIRPORT,05/05/2017,2.0,0.0, ,22.2,4.2,99,43,1.35,14.14
SCONE AIRPORT,06/05/2017,2.1,0.0, ,24.5,3.8,99,33,1.02,13.92
SCONE AIRPORT,07/05/2017,2.9,0.0, ,23.8,7.1,95,29,2.35,14.24
SCONE AIRPORT,08/05/2017,2.2,0.0, ,19.5,0.9,94,48,2.49,14.09
SCONE AIRPORT,09/05/2017,2.2,0.0, ,20.3,5.8,99,50,2.54,13.75
SCONE AIRPORT,10/05/2017,1.9,0.0, ,19.7,2.4,99,38,1.51,13.82
SCONE AIRPORT,11/05/2017,1.9,0.0, ,20.8,1.1,99,40,1.44,13.71
SCONE AIRPORT,12/05/2017,1.4,0.0, ,19.0,4.5,99,65,1.48,9.80
SCONE AIRPORT,13/05/2017,1.6,0.0, ,20.8,8.3,99,53,1.28,11.05
SCONE AIRPORT,14/05/2017,1.8,0.4, ,20.9,9.7,99,61,2.48,9.55
SCONE AIRPORT,15/05/2017,1.6,0.0, ,20.5,9.0,99,50,1.41,9.20
SCONE AIRPORT,16/05/2017,1.9,0.2, ,21.7,3.1,99,29,1.19,13.18
SCONE AIRPORT,17/05/2017,1.9,0.0, ,21.3,1.2,99,36,1.47,13.00
SCONE AIRPORT,18/05/2017,1.9,0.0, ,21.5,5.3,99,51,1.98,11.98
SCONE AIRPORT,19/05/2017,0.7,0.0, ,15.6,7.5,100,91,0.36,3.92
SCONE AIRPORT,20/05/2017,1.5,22.8, ,22.9,13.1,100,61,1.23,9.12
SCONE AIRPORT,21/05/2017,1.4,2.4, ,22.1,10.3,100,66,0.70,10.66
SCONE AIRPORT,22/05/2017,1.3,1.0, ,21.1,12.4,99,65,0.73,9.23
SCONE AIRPORT,23/05/2017,1.7,0.0, ,23.3,10.4,99,52,1.23,11.81
SCONE AIRPORT,24/05/2017,2.6,0.0, ,22.8,9.4,99,46,3.88,10.41
SCONE AIRPORT,25/05/2017,1.4,0.0, ,18.9,3.8,99,45,1.10,12.64
SCONE AIRPORT,26/05/2017,1.6,0.0, ,20.8,2.5,99,45,1.32,12.57
SCONE AIRPORT,27/05/2017,1.4,0.0, ,22.5,2.2,99,48,0.80,12.49
SCONE AIRPORT,28/05/2017,2.1,0.2, ,20.3,5.0,99,53,3.55,9.48
SCONE AIRPORT,29/05/2017,2.5,0.4, ,17.2,8.6,85,33,3.79,12.38
SCONE AIRPORT,30/05/2017,2.1,0.0, ,17.5,-1.8,97,25,2.27,12.21
SCONE AIRPORT,31/05/2017,1.9,0.0, ,15.9,2.8,94,36,2.67,9.02
Totals:,,58.9,27.4, ,,,,,, 
