'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY (OBSERVATORY HILL) New South Wales for July 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY (OBSERVATORY HILL),01/07/2009,0.6,0.0, ,21.2,15.7,62,28,0.00,12.47
SYDNEY (OBSERVATORY HILL),02/07/2009,0.5,0.0, ,18.9,11.0,59,32,0.00,12.07
SYDNEY (OBSERVATORY HILL),03/07/2009,0.6,0.0, ,16.2,11.1,59,39,0.00,12.31
SYDNEY (OBSERVATORY HILL),04/07/2009,0.6,0.0, ,17.1,8.5,66,32,0.00,12.66
SYDNEY (OBSERVATORY HILL),05/07/2009,0.7,0.0, ,18.1,10.1,80,32,0.00,12.91
SYDNEY (OBSERVATORY HILL),06/07/2009, ,0.0, ,15.7,6.2,83,44,0.00, 
SYDNEY (OBSERVATORY HILL),07/07/2009, ,0.6, ,15.1,7.5,92,60,0.00, 
SYDNEY (OBSERVATORY HILL),08/07/2009, ,13.8, ,16.8,8.6,97,58,0.00, 
SYDNEY (OBSERVATORY HILL),09/07/2009,0.8,6.2, ,17.6,9.1,99,51,0.00,10.85
SYDNEY (OBSERVATORY HILL),10/07/2009,0.8,8.8, ,18.6,9.5,97,54,0.00,11.15
SYDNEY (OBSERVATORY HILL),11/07/2009,0.8,0.0, ,16.4,9.1,97,54,0.00,10.32
SYDNEY (OBSERVATORY HILL),12/07/2009,0.7,0.0, ,16.8,10.3,84,56,0.00,6.26
SYDNEY (OBSERVATORY HILL),13/07/2009,0.8,0.2, ,17.4,11.6,77,47,0.00,11.06
SYDNEY (OBSERVATORY HILL),14/07/2009,0.7,0.0, ,17.2,10.2,75,34,0.00,12.02
SYDNEY (OBSERVATORY HILL),15/07/2009,0.7,0.0, ,17.3,6.7,83,39,0.00,12.67
SYDNEY (OBSERVATORY HILL),16/07/2009,0.8,0.0, ,16.5,8.1,88,44,0.00,11.30
SYDNEY (OBSERVATORY HILL),17/07/2009,0.9,7.0, ,15.8,9.2,90,59,0.00,11.17
SYDNEY (OBSERVATORY HILL),18/07/2009,0.9,0.0, ,18.6,8.0,87,40,0.00,13.47
SYDNEY (OBSERVATORY HILL),19/07/2009,0.9,0.0, ,19.9,8.0,84,38,0.00,13.49
SYDNEY (OBSERVATORY HILL),20/07/2009,0.9,0.0, ,21.3,8.2,80,33,0.00,13.76
SYDNEY (OBSERVATORY HILL),21/07/2009,0.9,0.0, ,23.4,8.8,78,36,0.00,13.64
SYDNEY (OBSERVATORY HILL),22/07/2009,1.0,0.0, ,24.7,11.2,89,35,0.00,12.41
SYDNEY (OBSERVATORY HILL),23/07/2009,0.9,3.6, ,18.3,11.4,72,40,0.00,12.51
SYDNEY (OBSERVATORY HILL),24/07/2009,1.0,0.6, ,17.5,8.4,87,49,0.00,13.91
SYDNEY (OBSERVATORY HILL),25/07/2009,0.9,0.0, ,18.6,7.6,92,30,0.00,14.23
SYDNEY (OBSERVATORY HILL),26/07/2009,0.8,0.0, ,15.3,8.9,96,58,0.00,6.58
SYDNEY (OBSERVATORY HILL),27/07/2009,1.0,12.2, ,18.9,8.3,96,33,0.00,14.37
SYDNEY (OBSERVATORY HILL),28/07/2009,1.0,0.0, ,18.7,8.1,75,37,0.00,14.24
SYDNEY (OBSERVATORY HILL),29/07/2009,1.0,0.0, ,19.5,9.5,71,41,0.00,14.02
SYDNEY (OBSERVATORY HILL),30/07/2009,1.0,0.0, ,18.9,8.5,81,37,0.00,14.53
SYDNEY (OBSERVATORY HILL),31/07/2009,1.0,0.0, ,19.7,9.2,75,35,0.00,13.55
Totals:,,23.2,53, ,,,,,, 
