'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY (OBSERVATORY HILL) New South Wales for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY (OBSERVATORY HILL),01/08/2010,1.1,0.0, ,20.9,9.6,76,32,0.00,14.40
SYDNEY (OBSERVATORY HILL),02/08/2010,1.0,0.4, ,15.7,9.1,89,35,0.00,12.44
SYDNEY (OBSERVATORY HILL),03/08/2010,1.1,16.4, ,17.3,10.3,88,57,0.00,11.61
SYDNEY (OBSERVATORY HILL),04/08/2010,1.2,0.0, ,18.9,8.3,89,40,0.00,14.66
SYDNEY (OBSERVATORY HILL),05/08/2010,1.0,0.0, ,16.9,7.1,78,30,0.00,13.48
SYDNEY (OBSERVATORY HILL),06/08/2010,1.1,0.0, ,17.0,7.6,69,35,0.00,15.25
SYDNEY (OBSERVATORY HILL),07/08/2010,1.2,0.0, ,16.1,6.8,80,47,0.00,15.20
SYDNEY (OBSERVATORY HILL),08/08/2010,1.2,0.0, ,17.2,6.4,88,44,0.00,15.34
SYDNEY (OBSERVATORY HILL),09/08/2010,1.4,0.0, ,17.1,7.2,93,58,0.00,15.58
SYDNEY (OBSERVATORY HILL),10/08/2010,0.8,2.8, ,16.4,9.3,96,86,0.00,4.21
SYDNEY (OBSERVATORY HILL),11/08/2010,1.3,4.6, ,18.0,12.2,96,35,0.00,13.56
SYDNEY (OBSERVATORY HILL),12/08/2010,1.2,0.2, ,16.7,10.7,64,37,0.00,14.31
SYDNEY (OBSERVATORY HILL),13/08/2010,1.4,0.0, ,18.3,9.9,83,40,0.00,15.90
SYDNEY (OBSERVATORY HILL),14/08/2010,1.5,0.0, ,21.8,8.2,93,36,0.00,16.49
SYDNEY (OBSERVATORY HILL),15/08/2010,1.2,0.0, ,20.1,12.8,59,34,0.00,11.24
SYDNEY (OBSERVATORY HILL),16/08/2010,1.5,0.4, ,18.8,12.6,66,30,0.00,16.44
SYDNEY (OBSERVATORY HILL),17/08/2010,1.4,0.0, ,17.6,7.6,73,25,0.00,17.23
SYDNEY (OBSERVATORY HILL),18/08/2010,1.4,0.0, ,19.9,6.5,85,35,0.00,15.01
SYDNEY (OBSERVATORY HILL),19/08/2010,1.5,2.2, ,24.6,9.3,79,21,0.00,16.64
SYDNEY (OBSERVATORY HILL),20/08/2010,1.6,0.0, ,19.3,11.3,65,24,0.00,17.70
SYDNEY (OBSERVATORY HILL),21/08/2010,1.5,0.0, ,16.7,8.8,55,31,0.00,17.37
SYDNEY (OBSERVATORY HILL),22/08/2010,1.6,0.0, ,17.3,8.4,67,39,0.00,17.01
SYDNEY (OBSERVATORY HILL),23/08/2010,1.2,0.0, ,15.0,11.2,78,56,0.00,8.86
SYDNEY (OBSERVATORY HILL),24/08/2010,1.7,0.0, ,19.8,10.9,73,28,0.00,17.97
SYDNEY (OBSERVATORY HILL),25/08/2010,1.7,0.0, ,18.1,11.5,57,23,0.00,18.55
SYDNEY (OBSERVATORY HILL),26/08/2010,1.6,0.0, ,18.0,10.3,75,31,0.00,15.03
SYDNEY (OBSERVATORY HILL),27/08/2010,1.7,0.0, ,19.2,10.3,64,32,0.00,17.29
SYDNEY (OBSERVATORY HILL),28/08/2010,1.9,0.0, ,17.5,9.2,82,36,0.00,18.87
SYDNEY (OBSERVATORY HILL),29/08/2010,1.9,0.0, ,18.4,7.8,82,43,0.00,18.24
SYDNEY (OBSERVATORY HILL),30/08/2010, ,0.0, ,17.6,10.5,87,54,0.00, 
SYDNEY (OBSERVATORY HILL),31/08/2010, ,0.0, ,20.0,11.5,89,50,0.00, 
Totals:,,39.9,27, ,,,,,, 
