'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY (OBSERVATORY HILL) New South Wales for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY (OBSERVATORY HILL),01/08/2012,1.0,0.0, ,16.2,7.0,78,38,0.00,12.22
SYDNEY (OBSERVATORY HILL),02/08/2012,1.0,0.0, ,17.4,6.5,80,36,0.00,12.42
SYDNEY (OBSERVATORY HILL),03/08/2012,1.0,0.0, ,18.5,6.8,86,27,0.00,11.86
SYDNEY (OBSERVATORY HILL),04/08/2012,1.0,0.0, ,20.8,7.2,71,25,0.00,12.84
SYDNEY (OBSERVATORY HILL),05/08/2012,1.0,0.0, ,21.6,9.3,63,21,0.00,11.06
SYDNEY (OBSERVATORY HILL),06/08/2012,1.0,0.0, ,19.4,11.6,57,22,0.00,12.98
SYDNEY (OBSERVATORY HILL),07/08/2012,1.1,0.0, ,18.6,6.8,80,25,0.00,13.25
SYDNEY (OBSERVATORY HILL),08/08/2012,1.1,0.0, ,22.5,5.6,81,23,0.00,13.43
SYDNEY (OBSERVATORY HILL),09/08/2012,1.0,0.0, ,19.8,9.5,61,18,0.00,11.78
SYDNEY (OBSERVATORY HILL),10/08/2012,0.9,0.0, ,14.9,7.6,81,41,0.00,7.81
SYDNEY (OBSERVATORY HILL),11/08/2012,1.0,3.2, ,15.6,9.8,100,48,0.00,7.48
SYDNEY (OBSERVATORY HILL),12/08/2012,1.1,5.4, ,15.1,11.1,100,39,0.00,9.37
SYDNEY (OBSERVATORY HILL),13/08/2012,1.3,0.0, ,18.8,9.6,100,29,0.00,13.16
SYDNEY (OBSERVATORY HILL),14/08/2012,1.1,0.2, ,18.6,7.4,59,30,0.00,11.51
SYDNEY (OBSERVATORY HILL),15/08/2012,1.2,0.0, ,22.2,10.2,58,24,0.00,11.39
SYDNEY (OBSERVATORY HILL),16/08/2012,1.4,0.0, ,20.6,11.7,64,29,0.00,14.64
SYDNEY (OBSERVATORY HILL),17/08/2012,1.2,0.0, ,22.2,11.1,58,18,0.00,11.79
SYDNEY (OBSERVATORY HILL),18/08/2012,1.3,0.0, ,18.1,9.6,58,32,0.00,13.97
SYDNEY (OBSERVATORY HILL),19/08/2012,1.4,0.0, ,20.1,9.7,68,35,0.00,14.11
SYDNEY (OBSERVATORY HILL),20/08/2012,1.5,0.0, ,17.8,7.5,81,36,0.00,15.29
SYDNEY (OBSERVATORY HILL),21/08/2012,1.5,0.0, ,22.2,8.7,88,25,0.00,15.61
SYDNEY (OBSERVATORY HILL),22/08/2012,1.6,0.0, ,24.7,10.6,80,32,0.00,13.61
SYDNEY (OBSERVATORY HILL),23/08/2012,1.7,0.0, ,29.2,16.1,89,21,0.00,12.76
SYDNEY (OBSERVATORY HILL),24/08/2012,1.7,10.2, ,19.3,12.4,87,22,0.00,16.15
SYDNEY (OBSERVATORY HILL),25/08/2012,1.6,0.0, ,20.7,10.7,66,26,0.00,16.07
SYDNEY (OBSERVATORY HILL),26/08/2012,1.6,0.0, ,20.9,8.3,68,28,0.00,16.07
SYDNEY (OBSERVATORY HILL),27/08/2012,1.8,0.0, ,19.5,7.9,100,46,0.00,15.95
SYDNEY (OBSERVATORY HILL),28/08/2012,2.0,0.0, ,18.5,9.0,100,96,0.00,16.49
SYDNEY (OBSERVATORY HILL),29/08/2012,1.5,0.0, ,22.5,9.4,100,32,0.00,11.62
SYDNEY (OBSERVATORY HILL),30/08/2012,1.8,0.0, ,22.1,12.0,77,17,0.00,16.43
SYDNEY (OBSERVATORY HILL),31/08/2012,1.7,0.0, ,18.4,9.7,76,21,0.00,15.78
Totals:,,41.1,19, ,,,,,, 
