'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY HARBOUR (WEDDING CAKE WEST) New South Wales for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY HARBOUR (WEDDING CAKE WEST),01/10/2012,4.8, , ,17.8,10.7,47,31,4.59,20.68
SYDNEY HARBOUR (WEDDING CAKE WEST),02/10/2012,5.1, , ,17.8,13.3,39,30,4.65,20.54
SYDNEY HARBOUR (WEDDING CAKE WEST),03/10/2012,5.4, , ,22.0,12.3,42,25,3.75,23.63
SYDNEY HARBOUR (WEDDING CAKE WEST),04/10/2012,7.0, , ,30.6,15.8,33,14,3.60,23.84
SYDNEY HARBOUR (WEDDING CAKE WEST),05/10/2012,10.2, , ,32.5,19.8,31,13,6.89,24.08
SYDNEY HARBOUR (WEDDING CAKE WEST),06/10/2012,5.0, , ,18.1,15.4,35,30,5.68,7.52
SYDNEY HARBOUR (WEDDING CAKE WEST),07/10/2012,6.6, , ,17.1,13.9,38,31,9.07,24.41
SYDNEY HARBOUR (WEDDING CAKE WEST),08/10/2012,4.5, , ,16.6,13.4,39,33,4.01,16.74
SYDNEY HARBOUR (WEDDING CAKE WEST),09/10/2012,4.6, , ,16.4,12.2,42,33,4.15,20.42
SYDNEY HARBOUR (WEDDING CAKE WEST),10/10/2012,6.0, , ,21.9,12.7,41,24,4.42,25.02
SYDNEY HARBOUR (WEDDING CAKE WEST),11/10/2012,4.4, , ,17.0,13.6,40,31,4.82,8.71
SYDNEY HARBOUR (WEDDING CAKE WEST),12/10/2012,5.0, , ,16.0,8.9,54,34,9.98,11.99
SYDNEY HARBOUR (WEDDING CAKE WEST),13/10/2012,4.8, , ,16.8,8.8,47,32,4.77,23.10
SYDNEY HARBOUR (WEDDING CAKE WEST),14/10/2012,5.2, , ,17.4,12.9,41,31,4.76,22.28
SYDNEY HARBOUR (WEDDING CAKE WEST),15/10/2012,5.8, , ,19.7,12.9,40,27,4.44,25.87
SYDNEY HARBOUR (WEDDING CAKE WEST),16/10/2012,7.4, , ,30.3,14.7,33,15,3.84,24.92
SYDNEY HARBOUR (WEDDING CAKE WEST),17/10/2012,7.0, , ,18.5,17.8,32,18,5.86,25.19
SYDNEY HARBOUR (WEDDING CAKE WEST),18/10/2012,6.8, , ,18.9,16.7,32,28,6.76,22.66
SYDNEY HARBOUR (WEDDING CAKE WEST),19/10/2012,5.8, , ,20.9,16.4,32,26,3.33,26.12
SYDNEY HARBOUR (WEDDING CAKE WEST),20/10/2012,8.6, , ,28.4,17.7,31,16,5.45,28.01
SYDNEY HARBOUR (WEDDING CAKE WEST),21/10/2012,7.0, , ,27.1,15.3,35,17,4.58,20.62
SYDNEY HARBOUR (WEDDING CAKE WEST),22/10/2012,6.4, , ,15.9,13.7,42,32,10.01,22.15
SYDNEY HARBOUR (WEDDING CAKE WEST),23/10/2012,6.0, , ,17.5,11.6,36,31,5.95,27.19
SYDNEY HARBOUR (WEDDING CAKE WEST),24/10/2012,6.7, , ,18.8,12.6,41,28,7.34,28.59
SYDNEY HARBOUR (WEDDING CAKE WEST),25/10/2012,7.2, , ,24.4,15.2,35,23,4.85,27.68
SYDNEY HARBOUR (WEDDING CAKE WEST),26/10/2012,6.4, , ,19.3,17.0,31,23,5.71,17.69
SYDNEY HARBOUR (WEDDING CAKE WEST),27/10/2012,6.5, , ,17.2,14.4,37,29,6.75,27.98
SYDNEY HARBOUR (WEDDING CAKE WEST),28/10/2012,5.8, , ,18.2,15.7,34,30,4.81,22.19
SYDNEY HARBOUR (WEDDING CAKE WEST),29/10/2012,6.4, , ,18.9,13.8,38,28,5.51,27.90
SYDNEY HARBOUR (WEDDING CAKE WEST),30/10/2012,6.7, , ,20.2,15.1,35,27,5.00,29.06
SYDNEY HARBOUR (WEDDING CAKE WEST),31/10/2012,7.2, , ,24.6,16.9,31,20,3.91,29.64
Totals:,,192.3, , ,,,,,, 
