'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY HARBOUR (WEDDING CAKE WEST) New South Wales for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY HARBOUR (WEDDING CAKE WEST),01/07/2013,2.5, , ,19.4,11.0,46,29,2.65,11.84
SYDNEY HARBOUR (WEDDING CAKE WEST),02/07/2013,3.6, , ,19.7,10.6,47,28,4.63,12.31
SYDNEY HARBOUR (WEDDING CAKE WEST),03/07/2013,3.2, , ,18.1,9.8,50,31,4.28,12.74
SYDNEY HARBOUR (WEDDING CAKE WEST),04/07/2013,4.0, , ,21.9,10.3,47,23,4.53,12.80
SYDNEY HARBOUR (WEDDING CAKE WEST),05/07/2013,4.5, , ,18.9,15.6,44,28,6.18,12.37
SYDNEY HARBOUR (WEDDING CAKE WEST),06/07/2013,3.4, , ,16.5,9.0,52,33,5.47,13.03
SYDNEY HARBOUR (WEDDING CAKE WEST),07/07/2013,3.5, , ,17.2,10.3,48,31,5.01,12.72
SYDNEY HARBOUR (WEDDING CAKE WEST),08/07/2013,3.2, , ,17.2,10.1,49,32,4.48,12.54
SYDNEY HARBOUR (WEDDING CAKE WEST),09/07/2013,2.9, , ,13.9,9.7,49,39,4.74,7.83
SYDNEY HARBOUR (WEDDING CAKE WEST),10/07/2013,2.5, , ,15.4,10.2,48,36,3.15,8.45
SYDNEY HARBOUR (WEDDING CAKE WEST),11/07/2013,2.3, , ,17.7,9.1,51,31,2.54,12.59
SYDNEY HARBOUR (WEDDING CAKE WEST),12/07/2013,2.4, , ,18.6,9.8,49,30,2.58,12.76
SYDNEY HARBOUR (WEDDING CAKE WEST),13/07/2013,2.4, , ,20.0,10.5,48,29,2.27,9.45
SYDNEY HARBOUR (WEDDING CAKE WEST),14/07/2013,3.0, , ,19.3,11.4,45,31,3.40,11.87
SYDNEY HARBOUR (WEDDING CAKE WEST),15/07/2013,2.8, , ,19.2,12.8,37,28,2.67,8.12
SYDNEY HARBOUR (WEDDING CAKE WEST),16/07/2013,2.8, , ,19.6,15.4,35,27,2.46,8.70
SYDNEY HARBOUR (WEDDING CAKE WEST),17/07/2013,3.5, , ,22.3,14.6,36,24,3.31,12.93
SYDNEY HARBOUR (WEDDING CAKE WEST),18/07/2013,3.5, , ,20.0,14.3,37,27,3.63,10.20
SYDNEY HARBOUR (WEDDING CAKE WEST),19/07/2013,4.9, , ,19.8,15.9,34,27,5.83,6.61
SYDNEY HARBOUR (WEDDING CAKE WEST),20/07/2013,4.3, , ,19.2,15.0,42,28,5.30,12.39
SYDNEY HARBOUR (WEDDING CAKE WEST),21/07/2013,3.5, , ,15.7,9.4,51,35,5.56,14.53
SYDNEY HARBOUR (WEDDING CAKE WEST),22/07/2013,3.6, , ,16.4,9.5,51,33,5.54,14.24
SYDNEY HARBOUR (WEDDING CAKE WEST),23/07/2013,3.8, , ,15.9,9.2,50,34,6.72,12.52
SYDNEY HARBOUR (WEDDING CAKE WEST),24/07/2013,4.5, , ,15.3,11.5,44,36,8.65,10.06
SYDNEY HARBOUR (WEDDING CAKE WEST),25/07/2013,3.5, , ,18.1,8.7,54,32,4.53,14.65
SYDNEY HARBOUR (WEDDING CAKE WEST),26/07/2013,2.9, , ,19.9,9.0,52,28,2.83,14.61
SYDNEY HARBOUR (WEDDING CAKE WEST),27/07/2013,3.1, , ,18.7,9.3,51,31,3.45,14.70
SYDNEY HARBOUR (WEDDING CAKE WEST),28/07/2013,3.3, , ,17.2,9.4,51,31,4.22,13.79
SYDNEY HARBOUR (WEDDING CAKE WEST),29/07/2013,4.0, , ,20.3,10.5,39,26,4.40,14.80
SYDNEY HARBOUR (WEDDING CAKE WEST),30/07/2013,3.4, , ,20.6,12.3,42,28,3.43,9.84
SYDNEY HARBOUR (WEDDING CAKE WEST),31/07/2013,4.6, , ,16.2,12.8,41,34,7.45,12.03
Totals:,,105.4, , ,,,,,, 
