'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY HARBOUR (WEDDING CAKE WEST) New South Wales for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY HARBOUR (WEDDING CAKE WEST),01/08/2013,3.1, , ,17.2,9.9,49,32,3.71,14.43
SYDNEY HARBOUR (WEDDING CAKE WEST),02/08/2013,3.2, , ,19.4,10.4,48,28,3.15,12.59
SYDNEY HARBOUR (WEDDING CAKE WEST),03/08/2013,3.6, , ,17.7,10.6,44,31,4.14,15.68
SYDNEY HARBOUR (WEDDING CAKE WEST),04/08/2013,4.0, , ,17.7,11.5,45,31,5.06,15.60
SYDNEY HARBOUR (WEDDING CAKE WEST),05/08/2013,4.2, , ,19.5,10.4,47,27,4.91,16.12
SYDNEY HARBOUR (WEDDING CAKE WEST),06/08/2013,5.1, , ,22.7,12.5,42,23,5.55,15.37
SYDNEY HARBOUR (WEDDING CAKE WEST),07/08/2013, , , , ,11.8,44,32,3.95,15.11
SYDNEY HARBOUR (WEDDING CAKE WEST),08/08/2013, , , ,13.9, ,50,39,8.53,5.39
SYDNEY HARBOUR (WEDDING CAKE WEST),09/08/2013, , , ,16.7,9.2,52,32,4.97, 
SYDNEY HARBOUR (WEDDING CAKE WEST),10/08/2013,4.4, , ,24.4,11.0,42,23,3.54,17.06
SYDNEY HARBOUR (WEDDING CAKE WEST),11/08/2013,4.0, , ,18.6,12.0,43,30,4.03,17.40
SYDNEY HARBOUR (WEDDING CAKE WEST),12/08/2013,6.5, , ,25.0,13.3,38,20,7.09,10.46
SYDNEY HARBOUR (WEDDING CAKE WEST),13/08/2013,4.6, , ,21.5,10.8,47,25,4.63,17.80
SYDNEY HARBOUR (WEDDING CAKE WEST),14/08/2013,5.2, , ,22.9,12.8,41,22,4.90,17.94
SYDNEY HARBOUR (WEDDING CAKE WEST),15/08/2013,4.9, , ,16.3,11.2,45,30,7.42,18.19
SYDNEY HARBOUR (WEDDING CAKE WEST),16/08/2013,4.5, , ,17.8,9.4,51,30,5.99,18.50
SYDNEY HARBOUR (WEDDING CAKE WEST),17/08/2013,5.9, , ,23.4,10.9,38,21,6.10,17.64
SYDNEY HARBOUR (WEDDING CAKE WEST),18/08/2013,4.5, , ,22.0,12.5,42,23,3.61,18.86
SYDNEY HARBOUR (WEDDING CAKE WEST),19/08/2013,5.4, , ,19.4,13.7,46,28,7.27,16.74
SYDNEY HARBOUR (WEDDING CAKE WEST),20/08/2013,4.5, , ,14.5,9.5,51,37,8.60,19.44
SYDNEY HARBOUR (WEDDING CAKE WEST),21/08/2013,4.3, , ,15.7,9.1,52,35,6.90,18.68
SYDNEY HARBOUR (WEDDING CAKE WEST),22/08/2013,4.1, , ,17.2,8.4,54,31,5.71,17.15
SYDNEY HARBOUR (WEDDING CAKE WEST),23/08/2013,4.7, , ,17.9,11.8,41,30,6.28,10.89
SYDNEY HARBOUR (WEDDING CAKE WEST),24/08/2013,4.7, , ,19.2,14.0,38,29,4.56,19.32
SYDNEY HARBOUR (WEDDING CAKE WEST),25/08/2013,3.9, , ,19.2,11.5,45,29,3.02,19.96
SYDNEY HARBOUR (WEDDING CAKE WEST),26/08/2013, , , , ,12.4,42,28,4.45,19.99
SYDNEY HARBOUR (WEDDING CAKE WEST),27/08/2013, , , ,19.4, ,40,27,3.96,19.45
SYDNEY HARBOUR (WEDDING CAKE WEST),28/08/2013,4.8, , ,19.8,12.8,41,27,4.40,20.08
SYDNEY HARBOUR (WEDDING CAKE WEST),29/08/2013,5.5, , ,20.7,12.7,40,28,6.43,15.84
SYDNEY HARBOUR (WEDDING CAKE WEST),30/08/2013,6.3, , ,23.4,14.4,32,24,5.78,20.45
SYDNEY HARBOUR (WEDDING CAKE WEST),31/08/2013,4.9, , ,21.4,15.0,35,24,4.11,18.17
Totals:,,120.8, , ,,,,,, 
