'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY HARBOUR (WEDDING CAKE WEST) New South Wales for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY HARBOUR (WEDDING CAKE WEST),01/01/2014,9.6, , ,27.5,20.3,25,21,6.74,28.00
SYDNEY HARBOUR (WEDDING CAKE WEST),02/01/2014,8.6, , ,35.3,21.3,23,11,4.00,18.85
SYDNEY HARBOUR (WEDDING CAKE WEST),03/01/2014,7.8, , ,23.5,21.2,24,22,5.05,23.78
SYDNEY HARBOUR (WEDDING CAKE WEST),04/01/2014,9.1, , ,23.0,20.5,25,21,6.82,30.70
SYDNEY HARBOUR (WEDDING CAKE WEST),05/01/2014,9.4, , ,23.9,20.2,25,21,7.48,29.19
SYDNEY HARBOUR (WEDDING CAKE WEST),06/01/2014,10.1, , ,27.4,21.0,25,17,6.13,33.71
SYDNEY HARBOUR (WEDDING CAKE WEST),07/01/2014,6.1, , ,20.3,17.8,29,25,6.37,5.99
SYDNEY HARBOUR (WEDDING CAKE WEST),08/01/2014,5.4, , ,21.1,16.9,31,25,4.75,8.32
SYDNEY HARBOUR (WEDDING CAKE WEST),09/01/2014,6.6, , ,21.4,17.9,27,24,5.77,14.25
SYDNEY HARBOUR (WEDDING CAKE WEST),10/01/2014,7.3, , ,23.1,18.9,28,22,4.84,23.05
SYDNEY HARBOUR (WEDDING CAKE WEST),11/01/2014,8.1, , ,24.7,20.0,26,21,4.40,30.70
SYDNEY HARBOUR (WEDDING CAKE WEST),12/01/2014,7.6, , ,24.9,21.0,24,20,4.11,26.00
SYDNEY HARBOUR (WEDDING CAKE WEST),13/01/2014,7.6, , ,23.1,20.4,25,22,4.70,26.11
SYDNEY HARBOUR (WEDDING CAKE WEST),14/01/2014,8.6, , ,23.8,19.5,27,21,5.79,30.20
SYDNEY HARBOUR (WEDDING CAKE WEST),15/01/2014,9.7, , ,24.1,21.1,24,21,7.17,32.04
SYDNEY HARBOUR (WEDDING CAKE WEST),16/01/2014,9.2, , ,24.8,21.1,24,20,5.80,32.37
SYDNEY HARBOUR (WEDDING CAKE WEST),17/01/2014,9.5, , ,24.6,21.1,24,20,6.65,31.97
SYDNEY HARBOUR (WEDDING CAKE WEST),18/01/2014,9.0, , ,24.1,19.7,26,21,6.14,32.24
SYDNEY HARBOUR (WEDDING CAKE WEST),19/01/2014,8.4, , ,25.0,20.7,24,20,5.30,26.95
SYDNEY HARBOUR (WEDDING CAKE WEST),20/01/2014,6.6, , ,24.0,21.7,26,21,4.83,11.06
SYDNEY HARBOUR (WEDDING CAKE WEST),21/01/2014,5.6, , ,23.7,19.9,26,21,3.84,9.36
SYDNEY HARBOUR (WEDDING CAKE WEST),22/01/2014,6.1, , ,22.1,19.6,26,23,5.76,3.46
SYDNEY HARBOUR (WEDDING CAKE WEST),23/01/2014,7.4, , ,22.9,20.1,25,22,5.09,21.25
SYDNEY HARBOUR (WEDDING CAKE WEST),24/01/2014,7.5, , ,23.2,20.5,25,22,6.17,14.31
SYDNEY HARBOUR (WEDDING CAKE WEST),25/01/2014,8.7, , ,21.8,20.0,27,24,8.14,24.17
SYDNEY HARBOUR (WEDDING CAKE WEST),26/01/2014,5.9, , ,22.0,17.1,31,24,4.44,14.11
SYDNEY HARBOUR (WEDDING CAKE WEST),27/01/2014,8.1, , ,22.8,17.6,30,22,5.97,30.00
SYDNEY HARBOUR (WEDDING CAKE WEST),28/01/2014,9.7, , ,23.3,19.5,26,21,8.80,30.98
SYDNEY HARBOUR (WEDDING CAKE WEST),29/01/2014,9.1, , ,23.5,20.4,25,21,6.83,30.89
SYDNEY HARBOUR (WEDDING CAKE WEST),30/01/2014,9.6, , ,24.4,20.9,24,20,7.35,30.90
SYDNEY HARBOUR (WEDDING CAKE WEST),31/01/2014,9.1, , ,23.2,19.9,26,22,7.21,30.14
Totals:,,251.1, , ,,,,,, 
