'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY OLYMPIC PARK (ARCHERY CENTRE) New South Wales for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),01/02/2013,2.8,0.0, ,23.5,21.5,98,71,4.27,12.01
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),02/02/2013,2.5,47.8, ,20.7,13.5,98,56,4.02,7.79
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),03/02/2013,3.3,1.8, ,23.4,14.3,84,60,3.59,12.98
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),04/02/2013,4.6,0.0, ,25.6,16.5,95,51,3.16,22.49
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),05/02/2013,4.3,0.0, ,26.0,16.7,92,57,2.24,22.09
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),06/02/2013,5.0,0.8, ,27.0,18.2,98,45,2.01,25.55
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),07/02/2013,5.8,0.2, ,29.6,16.5,98,38,2.46,28.20
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),08/02/2013,6.1,0.0, ,32.8,17.4,97,34,2.12,27.94
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),09/02/2013,4.7,0.0, ,30.8,19.3,98,48,2.05,21.09
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),10/02/2013,5.3,0.0, ,31.0,21.1,98,50,3.30,22.55
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),11/02/2013,2.0,11.2, ,21.7,18.5,98,73,3.59,7.35
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),12/02/2013,2.4,11.2, ,22.7,18.5,98,67,2.72,10.23
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),13/02/2013,3.6,0.4, ,24.9,18.2,97,59,2.51,17.10
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),14/02/2013,4.2,1.0, ,26.3,16.0,98,56,1.76,22.42
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),15/02/2013,3.5,0.2, ,25.6,18.5,98,53,2.27,15.87
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),16/02/2013,3.5,0.0, ,25.9,16.5,98,61,1.80,17.66
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),17/02/2013,4.1,2.4, ,25.9,17.0,98,47,1.75,20.60
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),18/02/2013,4.1,0.0, ,27.3,16.2,98,48,1.90,19.80
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),19/02/2013,4.8,0.0, ,28.5,17.8,98,56,1.92,24.70
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),20/02/2013,4.5,0.0, ,27.7,19.3,98,58,2.28,22.69
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),21/02/2013,4.6,3.0, ,27.8,19.2,99,53,3.37,21.18
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),22/02/2013,4.3,0.8, ,26.1,21.5,92,60,5.89,17.26
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),23/02/2013,2.1,28.6, ,24.3,19.3,98,77,7.21,6.11
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),24/02/2013,4.1,42.4, ,29.9,20.8,98,69,3.00,19.26
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),25/02/2013,4.5,0.8, ,30.7,22.5,98,64,3.03,20.60
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),26/02/2013,4.3,0.0, ,28.8,20.7,96,58,3.50,18.61
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),27/02/2013,4.9,0.0, ,30.6,20.9,92,55,2.65,21.99
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),28/02/2013,2.7,0.0, ,28.7,20.3,98,58,2.78,7.79
Totals:,,112.6,152.6, ,,,,,, 
