'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAMWORTH AIRPORT New South Wales for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAMWORTH AIRPORT,01/10/2009,6.6,0.0, ,31.2,4.4,72,11,3.13,26.11
TAMWORTH AIRPORT,02/10/2009,7.4,0.0, ,32.6,8.0,84,21,5.10,22.05
TAMWORTH AIRPORT,03/10/2009,4.8,2.6, ,24.4,12.5,90,32,4.38,19.56
TAMWORTH AIRPORT,04/10/2009,4.3,0.4, ,20.8,11.1,86,47,5.64,20.49
TAMWORTH AIRPORT,05/10/2009,4.9,1.2, ,24.4,10.3,84,29,4.03,19.12
TAMWORTH AIRPORT,06/10/2009,4.6,0.4, ,23.2,4.3,91,26,2.34,26.71
TAMWORTH AIRPORT,07/10/2009,5.1,0.0, ,19.6,3.5,84,19,5.18,24.24
TAMWORTH AIRPORT,08/10/2009,5.0,0.0, ,21.6,1.4,84,25,4.00,26.35
TAMWORTH AIRPORT,09/10/2009,5.5,0.0, ,21.7,3.8,85,19,4.73,26.89
TAMWORTH AIRPORT,10/10/2009,5.4,0.0, ,23.0,3.6,85,23,4.17,25.86
TAMWORTH AIRPORT,11/10/2009,4.6,0.2, ,23.1,11.2,89,32,4.25,18.93
TAMWORTH AIRPORT,12/10/2009,5.0,10.8, ,26.3,7.7,91,35,3.40,22.43
TAMWORTH AIRPORT,13/10/2009,7.1,0.2, ,25.8,10.6,90,18,7.00,26.02
TAMWORTH AIRPORT,14/10/2009,6.9,0.0, ,23.0,12.2,55,21,7.43,21.04
TAMWORTH AIRPORT,15/10/2009,6.5,0.0, ,25.5,5.7,73,21,4.93,27.04
TAMWORTH AIRPORT,16/10/2009,5.9,0.0, ,20.7,6.0,80,16,5.73,26.69
TAMWORTH AIRPORT,17/10/2009,5.1,0.0, ,23.1,0.6,76,18,2.42,28.85
TAMWORTH AIRPORT,18/10/2009,5.7,0.0, ,25.1,8.0,84,22,3.63,26.10
TAMWORTH AIRPORT,19/10/2009,5.7,0.0, ,26.7,7.3,86,22,2.75,28.64
TAMWORTH AIRPORT,20/10/2009,6.5,0.0, ,29.9,8.4,85,20,3.05,29.09
TAMWORTH AIRPORT,21/10/2009,7.0,0.0, ,32.7,10.3,71,14,2.73,29.11
TAMWORTH AIRPORT,22/10/2009,8.2,0.0, ,34.3,10.6,68,12,4.05,26.86
TAMWORTH AIRPORT,23/10/2009,9.1,0.0, ,34.7,12.5,67,12,4.96,27.68
TAMWORTH AIRPORT,24/10/2009,8.4,0.6, ,33.5,10.1,75,8,4.30,27.08
TAMWORTH AIRPORT,25/10/2009,7.2,0.0, ,31.5,8.5,84,13,4.01,23.27
TAMWORTH AIRPORT,26/10/2009,2.4,6.8, ,19.5,14.4,91,66,6.13,7.06
TAMWORTH AIRPORT,27/10/2009,5.1,13.0, ,24.1,14.6,77,48,6.28,19.18
TAMWORTH AIRPORT,28/10/2009,6.4,0.0, ,28.7,12.6,85,33,4.08,27.47
TAMWORTH AIRPORT,29/10/2009,6.2,0.0, ,28.6,14.0,87,31,3.53,26.95
TAMWORTH AIRPORT,30/10/2009,5.0,0.0, ,26.7,11.6,92,43,2.84,24.81
TAMWORTH AIRPORT,31/10/2009,7.1,0.4, ,29.9,12.6,91,24,4.18,29.24
Totals:,,184.7,36.6, ,,,,,, 
